region_index,error_rate_rest,error_rate_task,error_increase
227,0.0848214285714286,0.77,0.6851785714285714
211,0.0669642857142857,0.73,0.6630357142857143
226,0.0580357142857143,0.615,0.5569642857142857
210,0.0982142857142857,0.5900000000000001,0.4917857142857144
202,0.004464285714285698,0.44499999999999995,0.44053571428571425
205,0.0,0.41000000000000003,0.41000000000000003
208,0.0,0.4,0.4
55,0.008928571428571397,0.405,0.39607142857142863
142,0.0,0.385,0.385
204,0.008928571428571397,0.385,0.3760714285714286
201,0.004464285714285698,0.37,0.3655357142857143
217,0.004464285714285698,0.36,0.3555357142857143
161,0.0,0.33499999999999996,0.33499999999999996
224,0.008928571428571397,0.33999999999999997,0.33107142857142857
50,0.0,0.32499999999999996,0.32499999999999996
218,0.0,0.31999999999999995,0.31999999999999995
187,0.022321428571428603,0.32999999999999996,0.30767857142857136
162,0.004464285714285698,0.30500000000000005,0.30053571428571435
54,0.0,0.29500000000000004,0.29500000000000004
65,0.0,0.29000000000000004,0.29000000000000004
8,0.0,0.28500000000000003,0.28500000000000003
221,0.0,0.28500000000000003,0.28500000000000003
169,0.0,0.28,0.28
92,0.0,0.27,0.27
143,0.0,0.265,0.265
220,0.008928571428571397,0.27,0.2610714285714286
84,0.0,0.24,0.24
225,0.0,0.24,0.24
203,0.0,0.235,0.235
98,0.0,0.235,0.235
99,0.0,0.21999999999999997,0.21999999999999997
160,0.004464285714285698,0.21999999999999997,0.21553571428571427
209,0.0,0.21499999999999997,0.21499999999999997
229,0.0,0.20999999999999996,0.20999999999999996
219,0.0,0.20999999999999996,0.20999999999999996
216,0.0,0.20499999999999996,0.20499999999999996
223,0.0,0.20499999999999996,0.20499999999999996
125,0.0,0.20499999999999996,0.20499999999999996
52,0.0,0.19999999999999996,0.19999999999999996
24,0.0,0.19999999999999996,0.19999999999999996
213,0.0,0.19499999999999995,0.19499999999999995
167,0.0,0.18999999999999995,0.18999999999999995
206,0.0,0.18999999999999995,0.18999999999999995
22,0.0,0.18500000000000005,0.18500000000000005
53,0.0,0.18000000000000005,0.18000000000000005
147,0.0,0.18000000000000005,0.18000000000000005
190,0.0,0.18000000000000005,0.18000000000000005
200,0.0,0.18000000000000005,0.18000000000000005
144,0.0,0.17500000000000004,0.17500000000000004
207,0.0,0.17500000000000004,0.17500000000000004
126,0.0,0.17500000000000004,0.17500000000000004
174,0.0,0.17500000000000004,0.17500000000000004
193,0.0,0.17000000000000004,0.17000000000000004
184,0.0,0.17000000000000004,0.17000000000000004
47,0.0,0.16500000000000004,0.16500000000000004
63,0.0,0.16000000000000003,0.16000000000000003
181,0.0,0.16000000000000003,0.16000000000000003
109,0.0,0.15500000000000003,0.15500000000000003
197,0.0,0.15500000000000003,0.15500000000000003
215,0.0,0.15500000000000003,0.15500000000000003
222,0.0,0.15000000000000002,0.15000000000000002
127,0.0,0.15000000000000002,0.15000000000000002
231,0.0,0.14500000000000002,0.14500000000000002
196,0.0,0.14500000000000002,0.14500000000000002
79,0.0,0.14,0.14
189,0.0,0.14,0.14
131,0.0,0.14,0.14
48,0.0,0.14,0.14
228,0.0,0.135,0.135
62,0.0,0.135,0.135
140,0.0,0.135,0.135
199,0.0,0.13,0.13
42,0.0,0.13,0.13
20,0.0,0.13,0.13
70,0.0,0.13,0.13
123,0.0,0.125,0.125
0,0.0,0.12,0.12
212,0.0,0.12,0.12
134,0.0,0.12,0.12
166,0.0,0.12,0.12
230,0.0,0.12,0.12
41,0.0,0.12,0.12
40,0.0,0.12,0.12
94,0.0,0.12,0.12
107,0.0,0.11499999999999999,0.11499999999999999
124,0.0,0.11499999999999999,0.11499999999999999
198,0.0,0.11499999999999999,0.11499999999999999
128,0.0,0.10999999999999999,0.10999999999999999
56,0.0,0.10999999999999999,0.10999999999999999
61,0.0,0.10999999999999999,0.10999999999999999
83,0.0,0.10999999999999999,0.10999999999999999
82,0.0,0.10999999999999999,0.10999999999999999
136,0.0,0.10499999999999998,0.10499999999999998
7,0.0,0.10499999999999998,0.10499999999999998
23,0.0,0.10499999999999998,0.10499999999999998
33,0.0,0.10499999999999998,0.10499999999999998
170,0.0,0.10499999999999998,0.10499999999999998
12,0.0,0.09999999999999998,0.09999999999999998
163,0.0,0.09999999999999998,0.09999999999999998
38,0.0,0.09999999999999998,0.09999999999999998
135,0.0,0.09999999999999998,0.09999999999999998
156,0.0,0.09999999999999998,0.09999999999999998
30,0.0,0.09499999999999997,0.09499999999999997
185,0.0,0.09499999999999997,0.09499999999999997
158,0.0,0.09499999999999997,0.09499999999999997
101,0.0,0.08999999999999997,0.08999999999999997
151,0.0,0.08999999999999997,0.08999999999999997
85,0.0,0.08999999999999997,0.08999999999999997
154,0.0,0.08999999999999997,0.08999999999999997
171,0.0,0.08499999999999996,0.08499999999999996
