region,error_rate
RH_LimbicA_TempPole_3,0.004464285714285698
RH_LimbicA_TempPole_4,0.0
RH_ContA_IPS_1,0.0
RH_ContA_IPS_2,0.0
RH_ContA_PFCd_1,0.0
RH_ContA_PFCl_1,0.0
RH_ContA_PFCl_2,0.0
RH_ContA_Cingm_1,0.0
RH_ContB_Temp_1,0.0
RH_ContB_Temp_2,0.0
RH_ContB_IPL_1,0.0
RH_ContB_IPL_2,0.0
RH_ContB_PFCld_1,0.0
RH_ContB_PFCld_2,0.0
RH_ContB_PFClv_1,0.0
RH_ContB_PFClv_2,0.0
RH_ContB_PFCmp_1,0.0
RH_ContB_PFCld_3,0.0
RH_ContC_pCun_1,0.0
RH_ContC_pCun_2,0.0
RH_ContC_Cingp_1,0.0
RH_DefaultA_IPL_1,0.0
RH_DefaultA_PFCd_1,0.0
RH_DefaultA_pCunPCC_1,0.0
RH_DefaultA_PFCm_1,0.0
RH_DefaultA_PFCm_2,0.022321428571428603
RH_DefaultA_PFCm_3,0.0
RH_DefaultB_Temp_1,0.0
RH_DefaultB_AntTemp_1,0.0
RH_DefaultB_PFCd_1,0.0
RH_DefaultB_PFCv_1,0.0
RH_DefaultC_IPL_1,0.0
RH_DefaultC_Rsp_1,0.0
RH_DefaultC_PHC_1,0.0
RH_TempPar_1,0.0
RH_TempPar_2,0.0
RH_TempPar_3,0.0
RH_TempPar_4,0.0
aHIP-rh,0.0
pHIP-rh,0.004464285714285698
lAMY-rh,0.004464285714285698
mAMY-rh,0.0
THA-DP-rh,0.008928571428571397
THA-VP-rh,0.0
THA-VA-rh,0.0
THA-DA-rh,0.0
NAc-shell-rh,0.0
NAc-core-rh,0.0
pGP-rh,0.0982142857142857
aGP-rh,0.0669642857142857
aPUT-rh,0.0
pPUT-rh,0.0
aCAU-rh,0.0
pCAU-rh,0.0
aHIP-lh,0.0
pHIP-lh,0.004464285714285698
lAMY-lh,0.0
mAMY-lh,0.0
THA-DP-lh,0.008928571428571397
THA-VP-lh,0.0
THA-VA-lh,0.0
THA-DA-lh,0.0
NAc-shell-lh,0.008928571428571397
NAc-core-lh,0.0
pGP-lh,0.0580357142857143
aGP-lh,0.0848214285714286
aPUT-lh,0.0
pPUT-lh,0.0
aCAU-lh,0.0
pCAU-lh,0.0
