fold,train_accuracy,val_accuracy,n_train_subjects,n_val_subjects,n_train_samples,n_val_samples
1,1.0,0.916896551724138,149,75,34568,17400
2,1.0,0.9090229885057471,149,75,34568,17400
3,0.9999712643678161,0.9054636533084809,150,74,34800,17168
