region_idx,region_name,network,hemisphere,recall,n_samples
101,pHIP-rh,Subcortical,R,0.6,200
102,lAMY-rh,Subcortical,R,0.645,200
103,mAMY-rh,Subcortical,R,0.77,200
104,THA-DP-rh,Subcortical,R,0.46,200
105,THA-VP-rh,Subcortical,R,0.575,200
106,THA-VA-rh,Subcortical,R,0.54,200
107,THA-DA-rh,Subcortical,R,0.64,200
108,NAc-shell-rh,Subcortical,R,0.67,200
109,NAc-core-rh,Subcortical,R,0.8,200
110,pGP-rh,Subcortical,R,0.325,200
111,aGP-rh,Subcortical,R,0.175,200
112,aPUT-rh,Subcortical,R,0.885,200
113,pPUT-rh,Subcortical,R,0.795,200
114,aCAU-rh,Subcortical,R,0.905,200
115,pCAU-rh,Subcortical,R,0.875,200
