mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__max_iter,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
113.55206775665283,3.4891459210436926,0.27155296007792157,0.015861555212764666,0.0010253509690168502,500,lbfgs,"{'classifier__C': np.float64(0.0010253509690168502), 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.7489655172413793,0.7298850574712644,0.7384669151910531,0.7391058299678989,0.007802655331308559,26,0.7664313816246239,0.7759488544318445,0.7711494252873563,0.7711765537812748,0.0038855393555620723
176.74480525652567,11.578875565329922,0.24543245633443198,0.014834276012423934,0.009454306819536176,500,lbfgs,"{'classifier__C': np.float64(0.009454306819536176), 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.862183908045977,0.850287356321839,0.8488466915191053,0.8537726519623071,0.005976665762070809,13,0.9161363110391113,0.916975237213608,0.9181034482758621,0.9170716655095271,0.000805969825424952
40.49067044258118,1.1324678066814786,0.24876117706298828,0.033692756617613395,0.0002636875533972306,2000,lbfgs,"{'classifier__C': np.float64(0.0002636875533972306), 'classifier__max_iter': 2000, 'classifier__solver': 'lbfgs'}",0.5732758620689655,0.5637356321839081,0.5738000931966449,0.5702705291498394,0.004625823410328283,38,0.5847604721129368,0.5979518629946772,0.5889080459770115,0.5905401270282086,0.005507628937330047
30.38131848971049,2.6197661941917527,0.22278801600138345,0.029087228517481495,0.0001434715951720141,5000,lbfgs,"{'classifier__C': np.float64(0.0001434715951720141), 'classifier__max_iter': 5000, 'classifier__solver': 'lbfgs'}",0.4864367816091954,0.47879310344827586,0.4891076421248835,0.48477917572745155,0.004370977767975376,45,0.4924785929183059,0.5082446193010877,0.49830459770114943,0.499675936640181,0.006509087229400686
142.6019011338552,20.44316633849317,0.17313496271769205,0.0030194010891356534,0.004191711516695206,5000,lbfgs,"{'classifier__C': np.float64(0.004191711516695206), 'classifier__max_iter': 5000, 'classifier__solver': 'lbfgs'}",0.8390229885057471,0.8270689655172414,0.828925908667288,0.8316726208967588,0.005252490676245827,18,0.879339273316362,0.8832446193010877,0.8840229885057471,0.8822022937077323,0.0020492484761886216
131.06063357988992,30.257032875088267,0.1083069642384847,0.008437402854319601,0.00011364672700011186,1000,saga,"{'classifier__C': np.float64(0.00011364672700011186), 'classifier__max_iter': 1000, 'classifier__solver': 'saga'}",0.450632183908046,0.44494252873563217,0.45369291705498604,0.44975587656622135,0.0036256732572836677,49,0.4576197639435316,0.4729229345059014,0.46316091954022987,0.46456787266322097,0.006326209772734705
1112.1657789548237,44.50180074727502,0.12069336573282878,0.027810590965302945,0.017649715848175724,1000,saga,"{'classifier__C': np.float64(0.017649715848175724), 'classifier__max_iter': 1000, 'classifier__solver': 'saga'}",0.870632183908046,0.8602298850574712,0.8592730661696178,0.8633783783783784,0.005144067559996707,6,0.936010182828049,0.9380930340199028,0.9379022988505747,0.9373351718995089,0.0009401389988792988
19.45272437731425,1.155366273695903,0.13891013463338217,0.013920865037665545,0.00030955664602423704,500,lbfgs,"{'classifier__C': np.float64(0.00030955664602423704), 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.5964942528735632,0.5840804597701149,0.5957595526561044,0.5921114217665941,0.005686663289021299,37,0.6084239759314973,0.6226278639203888,0.6118678160919541,0.6143065519812801,0.0060496932734180305
32.87743465105692,0.7900781786749942,0.14857904116312662,0.005095533487016608,0.0006624310605949989,1000,lbfgs,"{'classifier__C': np.float64(0.0006624310605949989), 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs'}",0.6979310344827586,0.6855747126436782,0.6921015843429636,0.6918691104898,0.005047124951695268,32,0.7145915297384865,0.7276961351538995,0.7190517241379311,0.7204464630101057,0.005440076173767199
57.812209606170654,7.6379576344880915,0.1399384339650472,0.009007504606628818,0.0014648955132800737,500,lbfgs,"{'classifier__C': np.float64(0.0014648955132800737), 'classifier__max_iter': 500, 'classifier__solver': 'lbfgs'}",0.7794252873563219,0.762183908045977,0.7696877912395154,0.7704323288806049,0.0070584248646586014,24,0.8031705623698218,0.8107787549178431,0.8085919540229886,0.8075137571035511,0.003198231793742202
