network,accuracy,error_rate,n_samples
Limbic,0.8510841836734694,0.14891581632653061,3136
Subcortical,0.8872767857142857,0.1127232142857143,7168
Ventral Attention,0.9192994505494505,0.0807005494505495,5824
Dorsal Attention,0.9287743506493507,0.07122564935064934,4928
Default Mode,0.9315878378378378,0.06841216216216217,8288
Fronto-Parietal,0.933277027027027,0.06672297297297303,8288
Somatomotor,0.9611344537815126,0.03886554621848737,7616
Visual,0.9747023809523809,0.02529761904761907,5376
