network,accuracy,error_rate,n_samples
Pallidum,0.48375,0.51625,800
Hippocampus,0.7325,0.26749999999999996,800
Thal_post,0.7575,0.24250000000000005,800
Amygdala,0.76625,0.23375,800
Thal_ant,0.80625,0.19374999999999998,800
Accumbens,0.80875,0.19125000000000003,800
Putamen,0.84125,0.15874999999999995,800
Caudate,0.87375,0.12624999999999997,800
