network,accuracy,error_rate,n_samples
Limbic,0.8107142857142857,0.18928571428571428,2800
Subcortical,0.85,0.15000000000000002,6400
Ventral Attention,0.8607692307692307,0.13923076923076927,5200
Default Mode,0.8910810810810811,0.10891891891891892,7400
Fronto-Parietal,0.8943243243243243,0.1056756756756757,7400
Somatomotor,0.9138235294117647,0.0861764705882353,6800
Dorsal Attention,0.9156818181818182,0.08431818181818185,4400
Visual,0.925625,0.07437499999999997,4800
