fold,train_accuracy,val_accuracy,n_train_subjects,n_val_subjects,n_train_samples,n_val_samples
1,1.0,0.4364224137931034,6,4,1392,928
2,1.0,0.4870689655172414,7,3,1624,696
3,1.0,0.5272988505747126,7,3,1624,696
