fold,train_accuracy,val_accuracy,n_train_subjects,n_val_subjects,n_train_samples,n_val_samples
1,1.0,0.8327586206896552,149,75,34568,17400
2,0.9999710715112242,0.8263218390804598,149,75,34568,17400
3,0.9999137931034483,0.8253145386766076,150,74,34800,17168
