region_id,region_name,network,n_samples,accuracy,precision,recall,f1_score,support
96,LH_DefaultC_Rsp_1,DefaultC,224,1.0,0.986784140969163,1.0,0.9933481152993349,224
1,LH_VisCent_ExStr_1,VisCent,224,0.9955357142857143,0.9955357142857143,0.9955357142857143,0.9955357142857143,224
23,LH_SomMotB_S2_2,SomMotB,224,0.9955357142857143,1.0,0.9955357142857143,0.9977628635346756,224
11,LH_VisPeri_ExStrSup_2,VisPeri,224,0.9955357142857143,1.0,0.9955357142857143,0.9977628635346756,224
74,LH_DefaultA_IPL_1,DefaultA,224,0.9955357142857143,1.0,0.9955357142857143,0.9977628635346756,224
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,224,0.9910714285714286,0.9823008849557522,0.9910714285714286,0.9866666666666667,224
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,224,0.9910714285714286,1.0,0.9910714285714286,0.9955156950672646,224
87,LH_DefaultB_PFCd_1,DefaultB,224,0.9910714285714286,1.0,0.9910714285714286,0.9955156950672646,224
76,LH_DefaultA_pCunPCC_1,DefaultA,224,0.9910714285714286,0.9955156950672646,0.9910714285714286,0.9932885906040269,224
81,LH_DefaultA_PFCm_3,DefaultA,224,0.9910714285714286,0.9955156950672646,0.9910714285714286,0.9932885906040269,224
2,LH_VisCent_Striate_1,VisCent,224,0.9910714285714286,0.9779735682819384,0.9910714285714286,0.9844789356984479,224
5,LH_VisCent_ExStr_5,VisCent,224,0.9910714285714286,0.9955156950672646,0.9910714285714286,0.9932885906040269,224
57,LH_ContA_IPS_1,ContA,224,0.9866071428571429,0.9778761061946902,0.9866071428571429,0.9822222222222222,224
71,LH_ContC_pCun_1,ContC,224,0.9866071428571429,0.9910313901345291,0.9866071428571429,0.9888143176733781,224
77,LH_DefaultA_pCunPCC_2,DefaultA,224,0.9866071428571429,0.9866071428571429,0.9866071428571429,0.9866071428571429,224
9,LH_VisPeri_StriCal_1,VisPeri,224,0.9866071428571429,0.973568281938326,0.9866071428571429,0.9800443458980045,224
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,224,0.9866071428571429,0.9910313901345291,0.9866071428571429,0.9888143176733781,224
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,224,0.9866071428571429,0.9650655021834061,0.9866071428571429,0.9757174392935982,224
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,224,0.9866071428571429,0.9866071428571429,0.9866071428571429,0.9866071428571429,224
78,LH_DefaultA_pCunPCC_3,DefaultA,224,0.9866071428571429,0.9954954954954955,0.9866071428571429,0.9910313901345291,224
94,LH_DefaultB_PFCv_4,DefaultB,224,0.9866071428571429,0.9866071428571429,0.9866071428571429,0.9866071428571429,224
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,224,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,224
10,LH_VisPeri_ExStrSup_1,VisPeri,224,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,224
15,LH_SomMotA_4,SomMotA,224,0.9821428571428571,0.9777777777777777,0.9821428571428571,0.9799554565701559,224
4,LH_VisCent_ExStr_4,VisCent,224,0.9821428571428571,1.0,0.9821428571428571,0.990990990990991,224
88,LH_DefaultB_PFCd_2,DefaultB,224,0.9821428571428571,0.9865470852017937,0.9821428571428571,0.9843400447427293,224
16,LH_SomMotA_5,SomMotA,224,0.9776785714285714,0.9820627802690582,0.9776785714285714,0.9798657718120806,224
35,LH_DorsAttnB_PostC_2,DorsAttnB,224,0.9776785714285714,0.9909502262443439,0.9776785714285714,0.9842696629213483,224
25,LH_SomMotB_S2_3,SomMotB,224,0.9776785714285714,0.9820627802690582,0.9776785714285714,0.9798657718120806,224
37,LH_DorsAttnB_PostC_4,DorsAttnB,224,0.9776785714285714,0.9820627802690582,0.9776785714285714,0.9798657718120806,224
21,LH_SomMotB_Aud_2,SomMotB,224,0.9732142857142857,0.9646017699115044,0.9732142857142857,0.9688888888888889,224
75,LH_DefaultA_PFCd_1,DefaultA,224,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9732142857142857,224
112,aPUT-lh,Subcortical,224,0.9732142857142857,0.9356223175965666,0.9732142857142857,0.9540481400437637,224
34,LH_DorsAttnB_PostC_1,DorsAttnB,224,0.9732142857142857,0.9954337899543378,0.9732142857142857,0.9841986455981941,224
73,LH_ContC_Cingp_1,ContC,224,0.9732142857142857,0.9478260869565217,0.9732142857142857,0.960352422907489,224
14,LH_SomMotA_3,SomMotA,224,0.9732142857142857,0.9819819819819819,0.9732142857142857,0.9775784753363229,224
59,LH_ContA_IPS_3,ContA,224,0.9732142857142857,0.9864253393665159,0.9732142857142857,0.9797752808988764,224
72,LH_ContC_pCun_2,ContC,224,0.96875,0.9863636363636363,0.96875,0.9774774774774775,224
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,224,0.96875,0.9644444444444444,0.96875,0.9665924276169265,224
6,LH_VisPeri_ExStrInf_1,VisPeri,224,0.96875,0.96875,0.96875,0.96875,224
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,224,0.96875,0.9774774774774775,0.96875,0.9730941704035875,224
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,224,0.96875,0.9601769911504425,0.96875,0.9644444444444444,224
85,LH_DefaultB_Temp_4,DefaultB,224,0.96875,0.9730941704035875,0.96875,0.970917225950783,224
3,LH_VisCent_ExStr_3,VisCent,224,0.9642857142857143,0.968609865470852,0.9642857142857143,0.9664429530201343,224
7,LH_VisPeri_ExStrInf_2,VisPeri,224,0.9642857142857143,0.9473684210526315,0.9642857142857143,0.9557522123893806,224
32,LH_DorsAttnA_SPL_2,DorsAttnA,224,0.9642857142857143,0.9863013698630136,0.9642857142857143,0.9751693002257337,224
89,LH_DefaultB_PFCd_3,DefaultB,224,0.9642857142857143,0.968609865470852,0.9642857142857143,0.9664429530201343,224
13,LH_SomMotA_2,SomMotA,224,0.9642857142857143,0.968609865470852,0.9642857142857143,0.9664429530201343,224
58,LH_ContA_IPS_2,ContA,224,0.9642857142857143,0.9953917050691244,0.9642857142857143,0.9795918367346939,224
31,LH_DorsAttnA_SPL_1,DorsAttnA,224,0.9598214285714286,0.9907834101382489,0.9598214285714286,0.9750566893424036,224
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,224,0.9598214285714286,0.9817351598173516,0.9598214285714286,0.9706546275395034,224
33,LH_DorsAttnA_SPL_3,DorsAttnA,224,0.9598214285714286,0.9513274336283186,0.9598214285714286,0.9555555555555556,224
69,LH_ContB_PFClv_1,ContB,224,0.9598214285714286,0.9555555555555556,0.9598214285714286,0.9576837416481069,224
67,LH_ContB_IPL_1,ContB,224,0.9598214285714286,0.9641255605381166,0.9598214285714286,0.9619686800894854,224
17,LH_SomMotA_6,SomMotA,224,0.9598214285714286,0.9817351598173516,0.9598214285714286,0.9706546275395034,224
91,LH_DefaultB_PFCv_1,DefaultB,224,0.9598214285714286,0.9388646288209607,0.9598214285714286,0.9492273730684326,224
