region,error_rate
RH_DorsAttnB_PostC_1,0.2142857142857143
RH_DorsAttnB_PostC_2,0.2633928571428571
RH_DorsAttnB_PostC_3,0.1071428571428571
RH_DorsAttnB_PostC_4,0.1517857142857143
RH_DorsAttnB_FEF_1,0.3392857142857143
RH_SalVentAttnA_ParOper_1,0.1339285714285714
RH_SalVentAttnA_PrC_1,0.5223214285714286
RH_SalVentAttnA_Ins_1,0.4642857142857143
RH_SalVentAttnA_Ins_2,0.2142857142857143
RH_SalVentAttnA_FrOper_1,0.1026785714285714
RH_SalVentAttnA_FrMed_1,0.1339285714285714
RH_SalVentAttnA_ParMed_1,0.3794642857142857
RH_SalVentAttnA_ParMed_2,0.15625
RH_SalVentAttnA_FrMed_2,0.1875
RH_SalVentAttnB_IPL_1,0.2455357142857143
RH_SalVentAttnB_PFClv_1,0.1741071428571429
RH_SalVentAttnB_PFCl_1,0.25
RH_SalVentAttnB_Ins_1,0.34375
RH_SalVentAttnB_Ins_2,0.2098214285714286
RH_SalVentAttnB_PFCmp_1,0.2008928571428571
RH_LimbicB_OFC_1,0.2321428571428571
RH_LimbicB_OFC_2,0.2723214285714286
RH_LimbicB_OFC_3,0.1160714285714286
RH_LimbicB_OFC_4,0.2901785714285714
RH_LimbicA_TempPole_1,0.3660714285714286
RH_LimbicA_TempPole_2,0.4598214285714286
RH_LimbicA_TempPole_3,0.5491071428571428
RH_LimbicA_TempPole_4,0.1964285714285714
RH_ContA_IPS_1,0.0803571428571429
RH_ContA_IPS_2,0.1205357142857143
RH_ContA_PFCd_1,0.2589285714285714
RH_ContA_PFCl_1,0.1651785714285714
RH_ContA_PFCl_2,0.2008928571428571
RH_ContA_Cingm_1,0.1517857142857143
RH_ContB_Temp_1,0.1473214285714286
RH_ContB_Temp_2,0.2589285714285714
RH_ContB_IPL_1,0.1785714285714286
RH_ContB_IPL_2,0.1517857142857143
RH_ContB_PFCld_1,0.3348214285714286
RH_ContB_PFCld_2,0.1785714285714286
RH_ContB_PFClv_1,0.1964285714285714
RH_ContB_PFClv_2,0.3392857142857143
