atlas,rest_mean,rest_std,task_mean,task_std,mean_increase,pct_increase,cohens_d,n_networks
N7 Cortical,0.08618649690078262,0.03543301142637887,0.15513268203295774,0.04156398889126015,0.06894618513217514,79.99650480230747,4.066657300204901,8
N17 Cortical,0.10587847026603037,0.04148476313234975,0.19262444049257124,0.047902925812788676,0.08674597022654089,81.92975399869573,2.8903921105297985,18
Tian I Subcortical,0.1773158482142857,0.10648721439611733,0.3071875,0.12620446491422452,0.12987165178571425,73.24311565696301,2.7565210527830377,8
Tian II Subcortical,0.2625558035714286,0.11710810802747097,0.40484374999999995,0.1313217066025263,0.1422879464285714,54.1934112646121,2.6879142373020666,16
Combined,0.13175117255753416,0.08995680837060467,0.23116009101647886,0.1200190528279659,0.0994089184589447,75.45201801944799,2.1390039278989756,16
