comparison,condition,cortical_mean,cortical_std,subcortical_mean,subcortical_std,difference,pct_difference,cohens_d
N7 vs Tian I,Rest,0.08618649690078262,0.03543301142637887,0.1773158482142857,0.10648721439611733,0.09112935131350308,105.7350682420828,1.1483486324008578
N7 vs Tian I,Task,0.15513268203295777,0.04156398889126015,0.30718749999999995,0.12620446491422452,0.15205481796704218,98.01597959528495,1.618376998488245
N17 vs Tian II,Rest,0.10587847026603037,0.04148476313234975,0.2625558035714286,0.11710810802747097,0.15667733330539824,147.9784633379483,1.8284103373059841
N17 vs Tian II,Task,0.19262444049257127,0.04790292581278867,0.40484374999999995,0.1313217066025263,0.21221930950742868,110.17257673260477,2.200276851126766
