group1_name,group2_name,n1,n2,mean1,mean2,std1,std2,median1,median2,min1,min2,max1,max2,mean_diff,median_diff,pct_change,cohens_d,effect_interpretation,t_statistic,t_pvalue,welch_t,welch_p,mann_whitney_u,mann_whitney_p,levene_statistic,levene_p,significant_005,significant_001,significant_0001,ci95_lower1,ci95_upper1,ci95_lower2,ci95_upper2,paired_t,paired_p,wilcoxon_statistic,wilcoxon_p,atlas
Rest,Task,8,8,0.03722935990222784,0.08108581665337175,0.01413092723538278,0.02297391116294855,0.0343267374517374,0.07665962837837831,0.0141369047619047,0.0429166666666667,0.058673469387755,0.1125,0.04385645675114391,0.04233289092664091,117.80072734615968,2.299518490025795,large,-4.599036980051591,0.00041322031691745176,-4.59903698005159,0.0006628588852729992,3.0,0.0010878010878010878,1.9394557633967973,0.18545118599627644,True,True,True,0.025415609091420738,0.04904311071303494,0.06187914626948439,0.10029248703725911,-12.157634049140716,5.824829255873754e-06,0.0,0.0078125,N7 Cortical
Rest,Task,18,18,0.06138872466932674,0.12647797598571586,0.0256862007739052,0.036756025488827844,0.06433221726190474,0.1258333333333333,0.0297619047619047,0.0715624999999999,0.1104910714285714,0.1941666666666667,0.06508925131638912,0.06150111607142855,106.02802333326756,2.0527748254075506,large,-6.158324476222653,5.369431165822788e-07,-6.158324476222653,8.477009784046957e-07,20.0,7.564610341754308e-06,2.90780592060297,0.09727378586501068,True,True,True,0.048615277534699707,0.07416217180395376,0.10819963452941471,0.144756317442017,-12.053943224057061,9.394741901674552e-10,0.0,7.62939453125e-06,N17 Cortical
Rest,Task,8,8,0.13392857142857142,0.24421874999999996,0.09449676766399552,0.13214395812765284,0.10379464285714285,0.21187499999999995,0.0502232142857143,0.1149999999999999,0.34375,0.5525,0.11029017857142853,0.1080803571428571,82.34999999999997,0.9601043661355578,large,-1.9202087322711157,0.07543959783857282,-1.9202087322711157,0.07761662223071344,9.0,0.014763014763014764,0.05349781222916163,0.82043115212142,False,False,False,0.05492729663508919,0.21292984622205366,0.13374363633832165,0.35469386366167827,-4.81861723242075,0.0019245205092144936,0.0,0.0078125,Tian I Subcortical
Rest,Task,16,16,0.2314453125,0.3709375,0.1158873275276226,0.13641198322239387,0.2109375,0.3325,0.1071428571428571,0.2125,0.5089285714285714,0.745,0.13949218749999998,0.12156250000000002,60.270042194092824,1.1021266243633492,large,-3.117284839254252,0.004004055026765575,-3.117284839254252,0.0040730406053611735,44.0,0.0016477841232570949,0.03880512432414894,0.8451637729246102,True,True,False,0.1696933146012911,0.2931973103987089,0.2982486850879456,0.44362631491205434,-8.768330671716079,2.734624920156136e-07,0.0,3.0517578125e-05,Tian II Subcortical
