group1_name,group2_name,n1,n2,mean1,mean2,std1,std2,median1,median2,min1,min2,max1,max2,mean_diff,median_diff,pct_change,cohens_d,effect_interpretation,t_statistic,t_pvalue,welch_t,welch_p,mann_whitney_u,mann_whitney_p,levene_statistic,levene_p,significant_005,significant_001,significant_0001,ci95_lower1,ci95_upper1,ci95_lower2,ci95_upper2,comparison,condition
N7,N17,8,18,0.050407663933054514,0.057755022239158786,0.027683319980893142,0.03156140579983034,0.0485669313794313,0.05689174107142855,0.0159970238095238,0.0178571428571429,0.109375,0.1434151785714286,0.007347358306104272,0.008324809691997254,14.57587543803292,0.2410447192921378,small,-0.5672731049165103,0.5757968743161088,-0.5976506461559481,0.5588052942929778,55.5,0.3739811128165863,0.1396742730324206,0.7118862571350622,False,False,False,0.027263829248858028,0.073551498617251,0.04205990438084925,0.07345014009746832,Cortical N7 vs N17,Rest
N7,N17,8,18,0.10225451042316848,0.12095604616115446,0.03356247293588727,0.04131048990807033,0.1020700245700245,0.12575980392156855,0.0470833333333333,0.0547368421052631,0.1521428571428571,0.20625,0.018701535737985983,0.023689779351544052,18.28920373349971,0.4769689168219602,small,-1.1224956065780258,0.27275633546849765,-1.2183639783152695,0.24020337757190008,52.5,0.29108882732084573,0.18746928511074945,0.6688976125749201,False,False,False,0.07419558086713576,0.1303134399792012,0.10041282283315062,0.1414992694891583,Cortical N7 vs N17,Task
Tian I,Tian II,8,16,0.11286272321428568,0.14983258928571427,0.07799606137406251,0.10342275286904667,0.1026785714285714,0.1261160714285714,0.0357142857142857,0.0379464285714286,0.2790178571428571,0.3950892857142857,0.03696986607142859,0.0234375,32.75648949320151,0.3848412219754397,small,-0.8887527324111383,0.38375081863369287,-0.9780046261945574,0.3409176255063945,49.0,0.3741572555061313,0.34068098735028446,0.5653732001668252,False,False,False,0.04765638410085442,0.17806906232771696,0.09472249438490835,0.2049426841865202,Subcortical Tian I vs II,Rest
Tian I,Tian II,8,16,0.2465625,0.29859374999999994,0.12241751960868533,0.14986652047182963,0.208125,0.2774999999999999,0.125,0.13,0.525,0.72,0.052031249999999946,0.06937499999999991,21.102661596958153,0.3671654301634096,small,-0.847932239767877,0.4056068933501714,-0.9089201676909374,0.37611772472514504,45.5,0.2701357707379827,0.20558544203394186,0.6546903999934086,False,False,False,0.14421889243312364,0.34890610756687634,0.2187355182614404,0.3784519817385595,Subcortical Tian I vs II,Task
