iteration,best_score,C,max_iter,solver
2,0.8712371854613234,0.0343304473310619,1000,saga
14,0.8703849539194367,0.0343304473310619,1000,saga
6,0.8702195298747023,0.04038423798071561,1000,saga
18,0.8702187532359947,0.04138851334163269,1000,saga
15,0.8696010665838253,0.04038423798071561,1000,saga
19,0.8688588588588587,0.04038423798071561,1000,saga
8,0.8687975044009527,0.04138851334163269,1000,saga
9,0.8686253494874183,0.04038423798071561,1000,saga
0,0.8684218701460081,0.04038423798071561,1000,saga
7,0.8683033033033034,0.04138851334163269,1000,saga
12,0.8681704980842913,0.04038423798071561,1000,saga
3,0.8680542611577095,0.04138851334163269,1000,saga
5,0.8680244900072487,0.04138851334163269,1000,saga
11,0.867925856891374,0.04138851334163269,1000,saga
13,0.8679147250698974,0.0343304473310619,1000,saga
10,0.8675442684063374,0.0343304473310619,1000,saga
17,0.8672450036243139,0.0343304473310619,1000,saga
1,0.8671057264160713,0.0343304473310619,1000,saga
16,0.8670738842290566,0.04138851334163269,1000,saga
4,0.8670402298850575,0.04038423798071561,1000,saga
