region_idx,region_name,network,hemisphere,recall,n_samples
87,LH_DefaultB_PFCd_1,DefaultB,L,0.9910714285714286,224
88,LH_DefaultB_PFCd_2,DefaultB,L,0.9866071428571429,224
89,LH_DefaultB_PFCd_3,DefaultB,L,0.9598214285714286,224
90,LH_DefaultB_PFCd_4,DefaultB,L,0.9642857142857143,224
91,LH_DefaultB_PFCv_1,DefaultB,L,0.9508928571428571,224
92,LH_DefaultB_PFCv_2,DefaultB,L,0.8214285714285714,224
93,LH_DefaultB_PFCv_3,DefaultB,L,0.9598214285714286,224
94,LH_DefaultB_PFCv_4,DefaultB,L,0.9866071428571429,224
95,LH_DefaultC_IPL_1,DefaultC,L,0.9776785714285714,224
96,LH_DefaultC_Rsp_1,DefaultC,L,1.0,224
97,LH_DefaultC_PHC_1,DefaultC,L,0.9508928571428571,224
98,LH_TempPar_1,TempPar,L,0.9375,224
99,LH_TempPar_2,TempPar,L,0.875,224
100,aHIP-lh,Subcortical,L,0.9464285714285714,224
101,pHIP-lh,Subcortical,L,0.7142857142857143,224
102,lAMY-lh,Subcortical,L,0.8392857142857143,224
103,mAMY-lh,Subcortical,L,0.8258928571428571,224
104,THA-DP-lh,Subcortical,L,0.7008928571428571,224
105,THA-VP-lh,Subcortical,L,0.7857142857142857,224
106,THA-VA-lh,Subcortical,L,0.8214285714285714,224
107,THA-DA-lh,Subcortical,L,0.7723214285714286,224
108,NAc-shell-lh,Subcortical,L,0.8973214285714286,224
109,NAc-core-lh,Subcortical,L,0.9330357142857143,224
110,pGP-lh,Subcortical,L,0.5446428571428571,224
111,aGP-lh,Subcortical,L,0.4375,224
112,aPUT-lh,Subcortical,L,0.9776785714285714,224
113,pPUT-lh,Subcortical,L,0.8973214285714286,224
114,aCAU-lh,Subcortical,L,0.96875,224
115,pCAU-lh,Subcortical,L,0.8883928571428571,224
