region_idx,region_name,network,hemisphere,recall,n_samples
101,pHIP-lh,Subcortical,L,0.59,200
102,lAMY-lh,Subcortical,L,0.78,200
103,mAMY-lh,Subcortical,L,0.81,200
104,THA-DP-lh,Subcortical,L,0.67,200
105,THA-VP-lh,Subcortical,L,0.745,200
106,THA-VA-lh,Subcortical,L,0.53,200
107,THA-DA-lh,Subcortical,L,0.66,200
108,NAc-shell-lh,Subcortical,L,0.75,200
109,NAc-core-lh,Subcortical,L,0.8,200
110,pGP-lh,Subcortical,L,0.34,200
111,aGP-lh,Subcortical,L,0.155,200
112,aPUT-lh,Subcortical,L,0.865,200
113,pPUT-lh,Subcortical,L,0.735,200
114,aCAU-lh,Subcortical,L,0.915,200
115,pCAU-lh,Subcortical,L,0.805,200
