region_idx,region_name,network,hemisphere,recall_rest,recall_task,drop
66,LH_ContB_Temp_1,ContB,L,0.9285714285714286,0.92,0.008571428571428563
67,LH_ContB_IPL_1,ContB,L,0.9776785714285714,0.975,0.002678571428571419
68,LH_ContB_PFCl_1,ContB,L,0.9732142857142857,0.98,-0.006785714285714284
69,LH_ContB_PFClv_1,ContB,L,0.9553571428571429,0.965,-0.009642857142857064
70,LH_ContB_PFClv_2,ContB,L,0.8526785714285714,0.78,0.07267857142857137
71,LH_ContC_pCun_1,ContC,L,0.9910714285714286,0.955,0.03607142857142864
72,LH_ContC_pCun_2,ContC,L,0.96875,0.98,-0.011249999999999982
73,LH_ContC_Cingp_1,ContC,L,0.9732142857142857,0.895,0.07821428571428568
74,LH_DefaultA_IPL_1,DefaultA,L,0.9955357142857143,0.99,0.0055357142857143105
75,LH_DefaultA_PFCd_1,DefaultA,L,0.96875,0.89,0.07874999999999999
76,LH_DefaultA_pCunPCC_1,DefaultA,L,0.9955357142857143,0.975,0.020535714285714324
77,LH_DefaultA_pCunPCC_2,DefaultA,L,0.9776785714285714,0.955,0.022678571428571437
78,LH_DefaultA_pCunPCC_3,DefaultA,L,0.9955357142857143,0.95,0.045535714285714346
79,LH_DefaultA_PFCm_1,DefaultA,L,0.9598214285714286,0.91,0.04982142857142857
80,LH_DefaultA_PFCm_2,DefaultA,L,0.9508928571428571,0.95,0.0008928571428571397
81,LH_DefaultA_PFCm_3,DefaultA,L,0.9910714285714286,0.985,0.0060714285714286165
82,LH_DefaultB_Temp_1,DefaultB,L,0.96875,0.91,0.05874999999999997
83,LH_DefaultB_Temp_2,DefaultB,L,0.8660714285714286,0.865,0.001071428571428612
84,LH_DefaultB_Temp_3,DefaultB,L,0.9508928571428571,0.865,0.0858928571428571
85,LH_DefaultB_Temp_4,DefaultB,L,0.9732142857142857,0.93,0.04321428571428565
86,LH_DefaultB_IPL_1,DefaultB,L,0.8973214285714286,0.915,-0.017678571428571432
87,LH_DefaultB_PFCd_1,DefaultB,L,0.9910714285714286,0.99,0.001071428571428612
88,LH_DefaultB_PFCd_2,DefaultB,L,0.9866071428571429,0.99,-0.0033928571428570864
89,LH_DefaultB_PFCd_3,DefaultB,L,0.9598214285714286,0.975,-0.015178571428571375
90,LH_DefaultB_PFCd_4,DefaultB,L,0.9642857142857143,0.985,-0.020714285714285685
91,LH_DefaultB_PFCv_1,DefaultB,L,0.9508928571428571,0.93,0.020892857142857046
92,LH_DefaultB_PFCv_2,DefaultB,L,0.8214285714285714,0.71,0.11142857142857143
93,LH_DefaultB_PFCv_3,DefaultB,L,0.9598214285714286,0.945,0.014821428571428652
94,LH_DefaultB_PFCv_4,DefaultB,L,0.9866071428571429,0.975,0.011607142857142927
95,LH_DefaultC_IPL_1,DefaultC,L,0.9776785714285714,0.95,0.02767857142857144
96,LH_DefaultC_Rsp_1,DefaultC,L,1.0,0.98,0.020000000000000018
97,LH_DefaultC_PHC_1,DefaultC,L,0.9508928571428571,0.95,0.0008928571428571397
98,LH_TempPar_1,TempPar,L,0.9375,0.825,0.11250000000000004
99,LH_TempPar_2,TempPar,L,0.875,0.8,0.07499999999999996
100,aHIP-lh,Subcortical,L,0.9464285714285714,0.845,0.10142857142857142
101,pHIP-lh,Subcortical,L,0.7142857142857143,0.59,0.12428571428571433
102,lAMY-lh,Subcortical,L,0.8392857142857143,0.78,0.059285714285714275
103,mAMY-lh,Subcortical,L,0.8258928571428571,0.81,0.015892857142857042
104,THA-DP-lh,Subcortical,L,0.7008928571428571,0.67,0.030892857142857055
105,THA-VP-lh,Subcortical,L,0.7857142857142857,0.745,0.0407142857142857
106,THA-VA-lh,Subcortical,L,0.8214285714285714,0.53,0.29142857142857137
107,THA-DA-lh,Subcortical,L,0.7723214285714286,0.66,0.11232142857142857
108,NAc-shell-lh,Subcortical,L,0.8973214285714286,0.75,0.1473214285714286
109,NAc-core-lh,Subcortical,L,0.9330357142857143,0.8,0.13303571428571426
110,pGP-lh,Subcortical,L,0.5446428571428571,0.34,0.20464285714285707
111,aGP-lh,Subcortical,L,0.4375,0.155,0.2825
112,aPUT-lh,Subcortical,L,0.9776785714285714,0.865,0.1126785714285714
113,pPUT-lh,Subcortical,L,0.8973214285714286,0.735,0.16232142857142862
114,aCAU-lh,Subcortical,L,0.96875,0.915,0.053749999999999964
115,pCAU-lh,Subcortical,L,0.8883928571428571,0.805,0.08339285714285705
