feature,left_importance,right_importance,importance_diff
connection_to_RH_TempPar_1,0.0,0.008910873,0.008910873
connection_to_lAMY-lh,0.008903283,0.0,0.008903283
connection_to_mAMY-rh,0.0,0.008878312,0.008878312
connection_to_LH_DefaultB_PFCd_2,0.008866079,0.0,0.008866079
connection_to_LH_VisPeri_ExStrInf_2,0.008831008,0.0,0.008831008
connection_to_aCAU-rh,0.0,0.008821632,0.008821632
connection_to_RH_SalVentAttnB_Ins_1,0.0,0.008801844,0.008801844
connection_to_RH_LimbicB_OFC_3,0.0,0.008798094,0.008798094
connection_to_RH_DorsAttnB_FEF_1,0.0,0.008783153,0.008783153
connection_to_LH_SalVentAttnB_PFCl_1,0.0087535195,0.0,0.0087535195
connection_to_THA-VP-rh,0.0,0.008739282,0.008739282
connection_to_RH_DorsAttnB_PostC_1,0.0,0.008734342,0.008734342
connection_to_LH_LimbicA_TempPole_3,0.008731387,0.0,0.008731387
connection_to_RH_SalVentAttnA_PrC_1,0.0,0.008725074,0.008725074
connection_to_LH_DefaultB_PFCv_2,0.008714136,0.0,0.008714136
connection_to_RH_DorsAttnB_PostC_4,0.0,0.008712608,0.008712608
connection_to_RH_LimbicA_TempPole_3,0.0,0.008711959,0.008711959
connection_to_mAMY-lh,0.008692913,0.0,0.008692913
connection_to_RH_SomMotB_S2_3,0.0,0.008682336,0.008682336
connection_to_LH_LimbicA_TempPole_2,0.008670845,0.0,0.008670845
connection_to_aPUT-rh,0.0,0.00865634,0.00865634
connection_to_RH_ContB_PFCld_3,0.0,0.008643126,0.008643126
connection_to_LH_ContA_IPS_2,0.008631811,0.0,0.008631811
connection_to_RH_ContC_pCun_2,0.0,0.008611095,0.008611095
connection_to_RH_SalVentAttnA_FrOper_1,0.0,0.0086032385,0.0086032385
connection_to_RH_LimbicB_OFC_4,0.0,0.008581884,0.008581884
connection_to_LH_SomMotA_7,0.008572784,0.0,0.008572784
connection_to_LH_DefaultA_PFCd_1,0.008542591,0.0,0.008542591
connection_to_LH_ContA_PFCl_3,0.008496228,0.0,0.008496228
connection_to_THA-DA-lh,0.008495897,0.0,0.008495897
connection_to_RH_ContB_PFCmp_1,0.0,0.008476827,0.008476827
connection_to_pCAU-rh,0.0,0.008414396,0.008414396
connection_to_RH_SomMotA_8,0.0,0.00839553,0.00839553
connection_to_THA-DA-rh,0.0,0.008394316,0.008394316
connection_to_LH_ContA_PFCd_1,0.008391151,0.0,0.008391151
connection_to_LH_SomMotB_Cent_1,0.008382738,0.0,0.008382738
connection_to_THA-VP-lh,0.008380027,0.0,0.008380027
connection_to_LH_DorsAttnA_SPL_2,0.008258405,0.0,0.008258405
connection_to_LH_DefaultC_Rsp_1,0.008240986,0.0,0.008240986
connection_to_LH_SomMotA_1,0.008224744,0.0,0.008224744
connection_to_lAMY-rh,0.0,0.008223441,0.008223441
connection_to_RH_VisPeri_ExStrSup_3,0.0,0.008214885,0.008214885
connection_to_RH_VisPeri_ExStrInf_2,0.0,0.00819059,0.00819059
connection_to_LH_TempPar_1,0.008179769,0.0,0.008179769
connection_to_LH_ContB_IPL_1,0.008176193,0.0,0.008176193
connection_to_LH_DorsAttnA_SPL_1,0.008167497,0.0,0.008167497
connection_to_aPUT-lh,0.008149307,0.0,0.008149307
connection_to_LH_SomMotB_Aud_3,0.008145585,0.0,0.008145585
connection_to_RH_LimbicB_OFC_1,0.0,0.008135737,0.008135737
connection_to_LH_SomMotA_2,0.008135128,0.0,0.008135128
connection_to_THA-DP-rh,0.0,0.008110436,0.008110436
connection_to_LH_DorsAttnA_ParOcc_1,0.008092127,0.0,0.008092127
connection_to_pCAU-lh,0.008081931,0.0,0.008081931
connection_to_RH_SalVentAttnA_ParMed_2,0.0,0.008080305,0.008080305
connection_to_RH_ContB_IPL_1,0.0,0.008042126,0.008042126
connection_to_RH_LimbicB_OFC_2,0.0,0.008015041,0.008015041
connection_to_RH_DorsAttnA_ParOcc_1,0.0,0.007997437,0.007997437
connection_to_aCAU-lh,0.0079953605,0.0,0.0079953605
connection_to_RH_ContB_IPL_2,0.0,0.007993058,0.007993058
connection_to_LH_DefaultB_Temp_4,0.007968755,0.0,0.007968755
connection_to_LH_ContC_pCun_1,0.0079322,0.0,0.0079322
connection_to_LH_SalVentAttnA_FrMed_1,0.00792767,0.0,0.00792767
connection_to_NAc-core-lh,0.007896415,0.0,0.007896415
connection_to_RH_SalVentAttnA_ParOper_1,0.0,0.00787898,0.00787898
connection_to_RH_DefaultC_Rsp_1,0.0,0.007878319,0.007878319
connection_to_LH_DorsAttnB_PostC_4,0.007810641,0.0,0.007810641
connection_to_LH_SomMotB_Aud_1,0.0077941213,0.0,0.0077941213
connection_to_RH_ContB_PFClv_2,0.0,0.0077938647,0.0077938647
connection_to_RH_SomMotA_3,0.0,0.007791448,0.007791448
connection_to_LH_SalVentAttnB_Ins_1,0.0077767596,0.0,0.0077767596
connection_to_RH_TempPar_4,0.0,0.0077742003,0.0077742003
connection_to_RH_SomMotB_Cent_1,0.0,0.0077588246,0.0077588246
connection_to_RH_SalVentAttnB_PFCmp_1,0.0,0.007753247,0.007753247
connection_to_LH_SalVentAttnA_ParMed_1,0.0077264183,0.0,0.0077264183
connection_to_LH_DefaultB_Temp_2,0.0076845386,0.0,0.0076845386
connection_to_RH_TempPar_2,0.0,0.0076587535,0.0076587535
connection_to_RH_SomMotA_11,0.0,0.007642785,0.007642785
connection_to_RH_ContA_PFCd_1,0.0,0.0076373345,0.0076373345
connection_to_LH_VisCent_Striate_1,0.0076061147,0.0,0.0076061147
connection_to_LH_DefaultA_pCunPCC_2,0.0075690835,0.0,0.0075690835
connection_to_LH_DefaultB_IPL_1,0.0075649545,0.0,0.0075649545
connection_to_RH_SalVentAttnB_PFCl_1,0.0,0.007518087,0.007518087
connection_to_RH_DefaultC_IPL_1,0.0,0.007513358,0.007513358
connection_to_RH_SalVentAttnA_FrMed_1,0.0,0.0074687637,0.0074687637
connection_to_LH_ContB_Temp_1,0.0074559315,0.0,0.0074559315
connection_to_RH_ContA_PFCl_2,0.0,0.0074533266,0.0074533266
connection_to_LH_SomMotB_S2_1,0.007446427,0.0,0.007446427
connection_to_LH_SalVentAttnA_FrOper_2,0.0074123386,0.0,0.0074123386
connection_to_RH_DefaultA_pCunPCC_1,0.0,0.0073793475,0.0073793475
connection_to_RH_SalVentAttnA_FrMed_2,0.0,0.0073713902,0.0073713902
connection_to_RH_DorsAttnB_PostC_3,0.0,0.00735098,0.00735098
connection_to_RH_SalVentAttnA_Ins_2,0.0,0.0073323403,0.0073323403
connection_to_RH_SalVentAttnB_Ins_2,0.0,0.007311988,0.007311988
connection_to_LH_DefaultB_PFCd_4,0.007304697,0.0,0.007304697
connection_to_RH_ContB_PFClv_1,0.0,0.007253852,0.007253852
connection_to_LH_VisCent_ExStr_1,0.007248493,0.0,0.007248493
connection_to_LH_SomMotA_5,0.007241286,0.0,0.007241286
connection_to_LH_SalVentAttnA_ParOper_1,0.0072364346,0.0,0.0072364346
connection_to_aHIP-lh,0.0072333985,0.0,0.0072333985
connection_to_RH_SalVentAttnB_PFClv_1,0.0,0.007222989,0.007222989
connection_to_LH_TempPar_2,0.0072202873,0.0,0.0072202873
connection_to_RH_ContA_IPS_2,0.0,0.007215681,0.007215681
connection_to_RH_SalVentAttnB_IPL_1,0.0,0.00716749,0.00716749
connection_to_LH_ContB_PFClv_1,0.0071639433,0.0,0.0071639433
connection_to_LH_SomMotA_6,0.007132443,0.0,0.007132443
connection_to_RH_DefaultC_PHC_1,0.0,0.0071161245,0.0071161245
connection_to_RH_ContA_PFCl_1,0.0,0.007109486,0.007109486
connection_to_LH_DorsAttnA_SPL_3,0.0070890076,0.0,0.0070890076
connection_to_RH_VisCent_Striate_1,0.0,0.007031461,0.007031461
connection_to_LH_DefaultB_PFCv_1,0.0070079584,0.0,0.0070079584
connection_to_LH_DefaultC_PHC_1,0.0069373995,0.0,0.0069373995
connection_to_aHIP-rh,0.0,0.006937249,0.006937249
connection_to_RH_DefaultB_PFCv_1,0.0,0.0069093867,0.0069093867
connection_to_LH_ContA_IPS_1,0.00690107,0.0,0.00690107
connection_to_LH_ContA_Temp_1,0.0068642343,0.0,0.0068642343
connection_to_NAc-core-rh,0.0,0.0068398234,0.0068398234
connection_to_RH_ContA_IPS_1,0.0,0.006821957,0.006821957
connection_to_RH_DorsAttnA_SPL_2,0.0,0.006727776,0.006727776
connection_to_RH_VisCent_ExStr_2,0.0,0.0067221546,0.0067221546
connection_to_LH_DorsAttnA_TempOcc_2,0.006682591,0.0,0.006682591
connection_to_RH_SomMotA_2,0.0,0.0066269613,0.0066269613
connection_to_LH_SalVentAttnA_Ins_1,0.0066083837,0.0,0.0066083837
connection_to_LH_VisPeri_ExStrInf_3,0.0066043236,0.0,0.0066043236
connection_to_RH_SomMotA_7,0.0,0.0065947226,0.0065947226
connection_to_RH_LimbicA_TempPole_4,0.0,0.0065888558,0.0065888558
connection_to_RH_DorsAttnA_SPL_1,0.0,0.0065284385,0.0065284385
connection_to_RH_DefaultA_IPL_1,0.0,0.006523063,0.006523063
connection_to_LH_DefaultC_IPL_1,0.006449589,0.0,0.006449589
connection_to_LH_ContC_pCun_2,0.006372581,0.0,0.006372581
connection_to_RH_ContC_pCun_1,0.0,0.0063432064,0.0063432064
connection_to_LH_SomMotB_Cent_2,0.006231459,0.0,0.006231459
connection_to_LH_DefaultA_IPL_1,0.006191894,0.0,0.006191894
connection_to_LH_SalVentAttnB_IPL_1,0.006159539,0.0,0.006159539
connection_to_LH_ContA_PFClv_1,0.006009709,0.0,0.006009709
connection_to_LH_DefaultB_PFCd_3,0.005986948,0.0,0.005986948
connection_to_RH_ContB_PFCld_1,0.0,0.005967211,0.005967211
connection_to_LH_ContA_PFCl_2,0.005891777,0.0,0.005891777
connection_to_RH_DefaultB_Temp_1,0.0,0.005821155,0.005821155
connection_to_RH_VisPeri_ExStrSup_2,0.0,0.0057738745,0.0057738745
connection_to_LH_SalVentAttnB_PFCmp_1,0.005642455,0.0,0.005642455
connection_to_LH_DefaultA_PFCm_2,0.0056384555,0.0,0.0056384555
connection_to_LH_VisPeri_ExStrSup_1,0.004631243,0.0,0.004631243
