region_index,region_name,misclassification_rate,n_samples
17,LH_SomMotA_6,0.1696428571428571,224
13,LH_SomMotA_2,0.1696428571428571,224
28,LH_DorsAttnA_TempOcc_1,0.1696428571428571,224
7,LH_VisPeri_ExStrInf_2,0.1651785714285714,224
154,RH_SalVentAttnB_Ins_2,0.1651785714285714,224
134,RH_DorsAttnA_SPL_3,0.1651785714285714,224
167,RH_ContA_PFCl_1,0.1651785714285714,224
192,RH_DefaultB_PFCv_1,0.1607142857142857,224
155,RH_SalVentAttnB_PFCmp_1,0.1607142857142857,224
84,LH_DefaultB_Temp_3,0.1607142857142857,224
172,RH_ContB_IPL_1,0.15625,224
115,RH_SomMotA_4,0.15625,224
68,LH_ContB_PFCl_1,0.15625,224
149,RH_SalVentAttnA_FrMed_2,0.1517857142857143,224
45,LH_SalVentAttnA_FrMed_2,0.1517857142857143,224
43,LH_SalVentAttnA_ParMed_1,0.1517857142857143,224
230,aCAU-lh,0.1473214285714286,224
206,THA-VA-rh,0.1473214285714286,224
175,RH_ContB_PFCld_2,0.1473214285714286,224
214,aCAU-rh,0.1473214285714286,224
29,LH_DorsAttnA_TempOcc_2,0.1473214285714286,224
97,LH_DefaultC_PHC_1,0.1473214285714286,224
80,LH_DefaultA_PFCm_2,0.1428571428571429,224
25,LH_SomMotB_S2_3,0.1428571428571429,224
77,LH_DefaultA_pCunPCC_2,0.1428571428571429,224
34,LH_DorsAttnB_PostC_1,0.1428571428571429,224
0,LH_VisCent_ExStr_2,0.1428571428571429,224
79,LH_DefaultA_PFCm_1,0.1428571428571429,224
125,RH_SomMotB_S2_1,0.1428571428571429,224
133,RH_DorsAttnA_SPL_2,0.1428571428571429,224
113,RH_SomMotA_2,0.1383928571428571,224
148,RH_SalVentAttnA_ParMed_2,0.1383928571428571,224
82,LH_DefaultB_Temp_1,0.1383928571428571,224
93,LH_DefaultB_PFCv_3,0.1383928571428571,224
85,LH_DefaultB_Temp_4,0.1339285714285714,224
6,LH_VisPeri_ExStrInf_1,0.1294642857142857,224
132,RH_DorsAttnA_SPL_1,0.1294642857142857,224
58,LH_ContA_IPS_2,0.1294642857142857,224
126,RH_SomMotB_S2_2,0.1294642857142857,224
120,RH_SomMotA_9,0.1294642857142857,224
32,LH_DorsAttnA_SPL_2,0.125,224
103,RH_VisCent_ExStr_3,0.125,224
127,RH_SomMotB_S2_3,0.125,224
135,RH_DorsAttnA_SPL_4,0.125,224
107,RH_VisPeri_ExStrInf_2,0.125,224
165,RH_ContA_IPS_2,0.125,224
12,LH_SomMotA_1,0.1205357142857143,224
111,RH_VisPeri_ExStrSup_3,0.1205357142857143,224
195,RH_DefaultC_PHC_1,0.1205357142857143,224
186,RH_DefaultA_PFCm_1,0.1205357142857143,224
101,RH_VisCent_ExStr_2,0.1205357142857143,224
94,LH_DefaultB_PFCv_4,0.1116071428571429,224
37,LH_DorsAttnB_PostC_4,0.1116071428571429,224
146,RH_SalVentAttnA_FrMed_1,0.1071428571428571,224
57,LH_ContA_IPS_1,0.1071428571428571,224
117,RH_SomMotA_6,0.1071428571428571,224
122,RH_SomMotA_11,0.1071428571428571,224
112,RH_SomMotA_1,0.1071428571428571,224
3,LH_VisCent_ExStr_3,0.1026785714285714,224
123,RH_SomMotB_Aud_1,0.0982142857142857,224
19,LH_SomMotA_8,0.0982142857142857,224
212,aPUT-rh,0.0982142857142857,224
130,RH_DorsAttnA_TempOcc_1,0.09375,224
72,LH_ContC_pCun_2,0.09375,224
109,RH_VisPeri_ExStrSup_1,0.0892857142857143,224
104,RH_VisCent_ExStr_4,0.0892857142857143,224
49,LH_SalVentAttnB_PFCmp_1,0.0848214285714286,224
10,LH_VisPeri_ExStrSup_1,0.0848214285714286,224
21,LH_SomMotB_Aud_2,0.0848214285714286,224
78,LH_DefaultA_pCunPCC_3,0.0848214285714286,224
106,RH_VisPeri_ExStrInf_1,0.0848214285714286,224
164,RH_ContA_IPS_1,0.0848214285714286,224
139,RH_DorsAttnB_PostC_4,0.0803571428571429,224
128,RH_SomMotB_S2_4,0.0803571428571429,224
74,LH_DefaultA_IPL_1,0.0758928571428571,224
88,LH_DefaultB_PFCd_2,0.0758928571428571,224
4,LH_VisCent_ExStr_4,0.0714285714285714,224
44,LH_SalVentAttnA_FrMed_1,0.0714285714285714,224
158,RH_LimbicB_OFC_3,0.0714285714285714,224
121,RH_SomMotA_10,0.0714285714285714,224
141,RH_SalVentAttnA_ParOper_1,0.0714285714285714,224
138,RH_DorsAttnB_PostC_3,0.0714285714285714,224
2,LH_VisCent_Striate_1,0.0669642857142857,224
228,aPUT-lh,0.0669642857142857,224
100,RH_VisCent_ExStr_1,0.0669642857142857,224
39,LH_SalVentAttnA_ParOper_1,0.0580357142857143,224
23,LH_SomMotB_S2_2,0.0580357142857143,224
71,LH_ContC_pCun_1,0.0535714285714286,224
180,RH_ContC_pCun_1,0.049107142857142905,224
1,LH_VisCent_ExStr_1,0.049107142857142905,224
81,LH_DefaultA_PFCm_3,0.044642857142857095,224
76,LH_DefaultA_pCunPCC_1,0.044642857142857095,224
18,LH_SomMotA_7,0.044642857142857095,224
102,RH_VisCent_Striate_1,0.044642857142857095,224
182,RH_ContC_Cingp_1,0.044642857142857095,224
145,RH_SalVentAttnA_FrOper_1,0.044642857142857095,224
73,LH_ContC_Cingp_1,0.0401785714285714,224
87,LH_DefaultB_PFCd_1,0.0357142857142857,224
5,LH_VisCent_ExStr_5,0.03125,224
110,RH_VisPeri_ExStrSup_2,0.03125,224
11,LH_VisPeri_ExStrSup_2,0.03125,224
96,LH_DefaultC_Rsp_1,0.0267857142857143,224
194,RH_DefaultC_Rsp_1,0.0267857142857143,224
188,RH_DefaultA_PFCm_3,0.0267857142857143,224
105,RH_VisCent_ExStr_5,0.0267857142857143,224
26,LH_SomMotB_Cent_1,0.022321428571428603,224
185,RH_DefaultA_pCunPCC_1,0.022321428571428603,224
9,LH_VisPeri_StriCal_1,0.017857142857142905,224
129,RH_SomMotB_Cent_1,0.017857142857142905,224
108,RH_VisPeri_StriCal_1,0.008928571428571397,224
