region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
LH_ContA_PFCl_3,0.0,0.36,0.36
RH_DorsAttnA_SPL_3,0.0,0.36,0.36
RH_DorsAttnB_FEF_1,0.0,0.36,0.36
RH_DefaultA_PFCd_1,0.0,0.36,0.36
THA-VA-lh,0.0,0.36,0.36
RH_SalVentAttnB_PFCmp_1,0.0,0.355,0.355
LH_SomMotB_Aud_3,0.0,0.35,0.35
pPUT-lh,0.0,0.35,0.35
RH_ContA_Cingm_1,0.0,0.35,0.35
RH_DorsAttnA_ParOcc_1,0.0,0.35,0.35
LH_SomMotB_Aud_2,0.0,0.345,0.345
LH_DefaultB_PFCd_1,0.0,0.345,0.345
LH_DorsAttnA_ParOcc_1,0.0,0.345,0.345
aPUT-lh,0.0,0.345,0.345
aHIP-rh,0.0,0.345,0.345
LH_DorsAttnB_PostC_2,0.0,0.33999999999999997,0.33999999999999997
aPUT-rh,0.0,0.33999999999999997,0.33999999999999997
pPUT-rh,0.0,0.33499999999999996,0.33499999999999996
RH_ContC_pCun_2,0.0,0.33499999999999996,0.33499999999999996
RH_VisPeri_ExStrSup_2,0.0,0.33499999999999996,0.33499999999999996
LH_DorsAttnB_PostC_4,0.0,0.33499999999999996,0.33499999999999996
LH_DefaultA_IPL_1,0.0,0.33499999999999996,0.33499999999999996
LH_DorsAttnB_FEF_1,0.0,0.32999999999999996,0.32999999999999996
LH_DefaultA_pCunPCC_1,0.0,0.32999999999999996,0.32999999999999996
RH_LimbicB_OFC_4,0.0,0.32999999999999996,0.32999999999999996
THA-DA-lh,0.0,0.32999999999999996,0.32999999999999996
pCAU-lh,0.0,0.32499999999999996,0.32499999999999996
LH_ContA_PFCd_1,0.0,0.32499999999999996,0.32499999999999996
LH_ContB_PFClv_1,0.0,0.31999999999999995,0.31999999999999995
LH_SalVentAttnB_Ins_1,0.0,0.31999999999999995,0.31999999999999995
LH_VisPeri_ExStrInf_2,0.0,0.31999999999999995,0.31999999999999995
LH_VisCent_ExStr_4,0.0,0.31499999999999995,0.31499999999999995
LH_ContA_IPS_1,0.0,0.31499999999999995,0.31499999999999995
LH_DorsAttnA_SPL_1,0.0,0.31499999999999995,0.31499999999999995
RH_ContB_Temp_2,0.0,0.31000000000000005,0.31000000000000005
RH_SomMotA_9,0.0,0.31000000000000005,0.31000000000000005
LH_DefaultC_IPL_1,0.0,0.30000000000000004,0.30000000000000004
RH_SomMotA_6,0.0,0.30000000000000004,0.30000000000000004
RH_DorsAttnA_SPL_2,0.0,0.30000000000000004,0.30000000000000004
LH_SomMotA_5,0.0,0.29500000000000004,0.29500000000000004
RH_ContB_PFClv_2,0.0,0.29500000000000004,0.29500000000000004
RH_SomMotA_2,0.0,0.29500000000000004,0.29500000000000004
LH_DefaultB_PFCd_3,0.0,0.29500000000000004,0.29500000000000004
RH_ContB_PFCld_3,0.0,0.29000000000000004,0.29000000000000004
RH_LimbicB_OFC_1,0.0,0.29000000000000004,0.29000000000000004
LH_VisCent_ExStr_2,0.0,0.29000000000000004,0.29000000000000004
RH_SalVentAttnB_PFCl_1,0.0,0.28500000000000003,0.28500000000000003
RH_ContA_PFCl_2,0.0,0.28500000000000003,0.28500000000000003
RH_DefaultC_IPL_1,0.0,0.28500000000000003,0.28500000000000003
LH_SalVentAttnA_FrMed_2,0.0,0.28500000000000003,0.28500000000000003
LH_ContB_Temp_1,0.0,0.28500000000000003,0.28500000000000003
RH_VisPeri_ExStrInf_1,0.0,0.28500000000000003,0.28500000000000003
RH_ContA_IPS_2,0.0,0.28,0.28
RH_DefaultB_Temp_1,0.0,0.28,0.28
LH_VisCent_ExStr_1,0.0,0.28,0.28
LH_SomMotA_1,0.0,0.28,0.28
LH_VisCent_ExStr_5,0.0,0.275,0.275
LH_LimbicB_OFC_2,0.0,0.275,0.275
RH_SalVentAttnA_ParOper_1,0.0,0.275,0.275
LH_SomMotB_S2_3,0.0,0.275,0.275
LH_SomMotB_Cent_2,0.0,0.27,0.27
RH_SalVentAttnA_FrMed_1,0.0,0.27,0.27
RH_DorsAttnA_SPL_1,0.0,0.27,0.27
RH_SalVentAttnB_IPL_1,0.0,0.27,0.27
RH_SomMotA_10,0.0,0.265,0.265
