data_type,strategy,n_regions,cv_accuracy,cv_balanced_accuracy,cv_top5_accuracy,cv_f1_score,best_C,solver,task_accuracy,rest_train_accuracy,accuracy_drop,accuracy_drop_pct
full,multinomial,232,0.9241263854679803,0.9241263854679802,0.9833358990147784,,0.12110362753541154,lbfgs,0.8923922413793104,0.9902055110837439,0.031734144088669924,3.4339614783966654
full,ovr,232,0.931707974137931,0.931707974137931,0.9837207512315271,,0.5097584006216225,saga,0.8963362068965517,0.9856450123152709,0.03537176724137936,3.796443544889408
full,ovo,232,0.8687846366995073,0.8687846366995075,0.9615725061576355,,9.600341441672175,lbfgs,0.8304956896551724,1.0,0.03828894704433494,4.4071850982303005
left,multinomial,116,0.9181804187192119,0.9181804187192119,0.9826816502463054,0.9189565749505898,0.24637685958997463,saga,0.8693103448275862,0.9773322044334976,0.048870073891625676,5.322491407494348
left,ovr,116,0.9226447044334976,0.9226447044334976,0.9837207512315271,0.9227752976528023,0.24637685958997463,saga,0.8756896551724138,0.9655172413793104,0.04695504926108374,5.0891799449403505
left,ovo,116,0.8814270320197044,0.8814270320197043,0.9702509236453202,0.8832264668709718,7.687405824506018,lbfgs,0.8358620689655173,1.0,0.04556496305418711,5.169453783347151
right,multinomial,116,0.9135621921182266,0.9135621921182265,0.9820658866995073,0.914946866110722,0.2993509795709992,lbfgs,0.8630603448275862,0.9773706896551724,0.050501847290640445,5.528014154520184
right,ovr,116,0.9208358990147784,0.9208358990147782,0.9828355911330049,0.9209915046058741,0.1440391093220847,saga,0.8710344827586207,0.9616687192118226,0.04980141625615764,5.408283529067581
right,ovo,116,0.8752693965517241,0.8752693965517241,0.9674799876847291,0.8779794889771153,1.6839123065172783,saga,0.8235775862068966,0.999692118226601,0.051691810344827505,5.905817174515226
