region_id,region_name,network,n_samples,accuracy,precision,recall,f1_score,support
97,LH_DefaultC_PHC_1,DefaultC,10,0.7,0.5384615384615384,0.7,0.6086956521739131,10
15,LH_SomMotA_4,SomMotA,10,0.7,0.7777777777777778,0.7,0.7368421052631579,10
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,10,0.7,1.0,0.7,0.8235294117647058,10
35,LH_DorsAttnB_PostC_2,DorsAttnB,10,0.7,0.875,0.7,0.7777777777777778,10
25,LH_SomMotB_S2_3,SomMotB,10,0.7,0.7777777777777778,0.7,0.7368421052631579,10
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,10,0.7,0.7,0.7,0.7,10
19,LH_SomMotA_8,SomMotA,10,0.7,0.7,0.7,0.7,10
2,LH_VisCent_Striate_1,VisCent,10,0.7,0.875,0.7,0.7777777777777778,10
18,LH_SomMotA_7,SomMotA,10,0.7,0.875,0.7,0.7777777777777778,10
66,LH_ContB_Temp_1,ContB,10,0.7,1.0,0.7,0.8235294117647058,10
36,LH_DorsAttnB_PostC_3,DorsAttnB,10,0.7,1.0,0.7,0.8235294117647058,10
69,LH_ContB_PFClv_1,ContB,10,0.7,0.7,0.7,0.7,10
60,LH_ContA_PFCd_1,ContA,10,0.7,0.6363636363636364,0.7,0.6666666666666666,10
54,LH_LimbicA_TempPole_3,LimbicA,10,0.6,0.6666666666666666,0.6,0.631578947368421,10
20,LH_SomMotB_Aud_1,SomMotB,10,0.6,1.0,0.6,0.75,10
13,LH_SomMotA_2,SomMotA,10,0.6,0.5454545454545454,0.6,0.5714285714285714,10
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,10,0.6,0.5454545454545454,0.6,0.5714285714285714,10
22,LH_SomMotB_S2_1,SomMotB,10,0.6,0.8571428571428571,0.6,0.7058823529411765,10
100,aHIP-lh,Subcortical,10,0.6,0.8571428571428571,0.6,0.7058823529411765,10
64,LH_ContA_PFCl_3,ContA,10,0.6,0.6666666666666666,0.6,0.631578947368421,10
34,LH_DorsAttnB_PostC_1,DorsAttnB,10,0.6,1.0,0.6,0.75,10
24,LH_SomMotB_Aud_3,SomMotB,10,0.6,0.6666666666666666,0.6,0.631578947368421,10
63,LH_ContA_PFCl_2,ContA,10,0.6,0.8571428571428571,0.6,0.7058823529411765,10
86,LH_DefaultB_IPL_1,DefaultB,10,0.6,0.8571428571428571,0.6,0.7058823529411765,10
89,LH_DefaultB_PFCd_3,DefaultB,10,0.6,1.0,0.6,0.75,10
53,LH_LimbicA_TempPole_2,LimbicA,10,0.6,0.8571428571428571,0.6,0.7058823529411765,10
67,LH_ContB_IPL_1,ContB,10,0.6,0.6666666666666666,0.6,0.631578947368421,10
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,10,0.5,0.5555555555555556,0.5,0.5263157894736842,10
8,LH_VisPeri_ExStrInf_3,VisPeri,10,0.5,0.7142857142857143,0.5,0.5882352941176471,10
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,10,0.5,0.625,0.5,0.5555555555555556,10
105,THA-VP-lh,Subcortical,10,0.5,0.3333333333333333,0.5,0.4,10
56,LH_ContA_Temp_1,ContA,10,0.5,0.4166666666666667,0.5,0.45454545454545453,10
114,aCAU-lh,Subcortical,10,0.5,0.8333333333333334,0.5,0.625,10
115,pCAU-lh,Subcortical,10,0.5,0.7142857142857143,0.5,0.5882352941176471,10
103,mAMY-lh,Subcortical,10,0.5,0.5,0.5,0.5,10
108,NAc-shell-lh,Subcortical,10,0.4,0.6666666666666666,0.4,0.5,10
14,LH_SomMotA_3,SomMotA,10,0.4,0.8,0.4,0.5333333333333333,10
106,THA-VA-lh,Subcortical,10,0.4,0.19047619047619047,0.4,0.25806451612903225,10
102,lAMY-lh,Subcortical,10,0.4,0.5,0.4,0.4444444444444444,10
98,LH_TempPar_1,TempPar,10,0.4,0.8,0.4,0.5333333333333333,10
104,THA-DP-lh,Subcortical,10,0.4,0.8,0.4,0.5333333333333333,10
83,LH_DefaultB_Temp_2,DefaultB,10,0.4,0.5714285714285714,0.4,0.47058823529411764,10
72,LH_ContC_pCun_2,ContC,10,0.4,0.6666666666666666,0.4,0.5,10
101,pHIP-lh,Subcortical,10,0.4,0.5,0.4,0.4444444444444444,10
107,THA-DA-lh,Subcortical,10,0.4,0.23529411764705882,0.4,0.2962962962962963,10
26,LH_SomMotB_Cent_1,SomMotB,10,0.3,0.42857142857142855,0.3,0.35294117647058826,10
50,LH_LimbicB_OFC_1,LimbicB,10,0.3,0.5,0.3,0.375,10
111,aGP-lh,Subcortical,10,0.3,0.13043478260869565,0.3,0.18181818181818182,10
55,LH_LimbicA_TempPole_4,LimbicA,10,0.3,0.15,0.3,0.2,10
65,LH_ContA_Cingm_1,ContA,10,0.3,0.23076923076923078,0.3,0.2608695652173913,10
109,NAc-core-lh,Subcortical,10,0.3,0.375,0.3,0.3333333333333333,10
70,LH_ContB_PFClv_2,ContB,10,0.2,0.16666666666666666,0.2,0.18181818181818182,10
99,LH_TempPar_2,TempPar,10,0.2,0.2,0.2,0.2,10
110,pGP-lh,Subcortical,10,0.2,0.125,0.2,0.15384615384615385,10
