region_idx,region_name,network,hemisphere,recall,n_samples
87,LH_DefaultB_PFCd_1,DefaultB,left,0.8616071428571429,224
88,LH_DefaultB_PFCd_2,DefaultB,left,0.8214285714285714,224
89,LH_DefaultB_PFCd_3,DefaultB,left,0.7678571428571429,224
90,LH_DefaultB_PFCd_4,DefaultB,left,0.7232142857142857,224
91,LH_DefaultB_PFCv_1,DefaultB,left,0.7767857142857143,224
92,LH_DefaultB_PFCv_2,DefaultB,left,0.65625,224
93,LH_DefaultB_PFCv_3,DefaultB,left,0.7723214285714286,224
94,LH_DefaultB_PFCv_4,DefaultB,left,0.7544642857142857,224
95,LH_DefaultC_IPL_1,DefaultC,left,0.7991071428571429,224
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9107142857142857,224
97,LH_DefaultC_PHC_1,DefaultC,left,0.7857142857142857,224
98,LH_TempPar_1,TempPar,left,0.7544642857142857,224
99,LH_TempPar_2,TempPar,left,0.6205357142857143,224
100,RH_VisCent_ExStr_1,VisCent,right,0.8392857142857143,224
101,RH_VisCent_ExStr_2,VisCent,right,0.7767857142857143,224
102,RH_VisCent_Striate_1,VisCent,right,0.8705357142857143,224
103,RH_VisCent_ExStr_3,VisCent,right,0.7633928571428571,224
104,RH_VisCent_ExStr_4,VisCent,right,0.8080357142857143,224
105,RH_VisCent_ExStr_5,VisCent,right,0.90625,224
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.8839285714285714,224
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.7857142857142857,224
108,RH_VisPeri_StriCal_1,VisPeri,right,0.9017857142857143,224
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.8571428571428571,224
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.8839285714285714,224
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.8258928571428571,224
112,RH_SomMotA_1,SomMotA,right,0.7991071428571429,224
113,RH_SomMotA_2,SomMotA,right,0.7946428571428571,224
114,RH_SomMotA_3,SomMotA,right,0.7633928571428571,224
115,RH_SomMotA_4,SomMotA,right,0.8348214285714286,224
116,RH_SomMotA_5,SomMotA,right,0.78125,224
117,RH_SomMotA_6,SomMotA,right,0.8258928571428571,224
118,RH_SomMotA_7,SomMotA,right,0.7321428571428571,224
119,RH_SomMotA_8,SomMotA,right,0.7544642857142857,224
