fold,train_accuracy,val_accuracy,n_train_subjects,n_val_subjects,n_train_samples,n_val_samples
1,0.9770018514232817,0.9209195402298851,149,75,34568,17400
2,0.9789979171488081,0.9117241379310345,149,75,34568,17400
3,0.9789080459770115,0.9129193849021435,150,74,34800,17168
