region_index,error_rate_rest,error_rate_task,error_increase
142,0.2678571428571429,0.5900000000000001,0.3221428571428572
167,0.0803571428571429,0.38,0.2996428571428571
65,0.1026785714285714,0.345,0.24232142857142858
22,0.0714285714285714,0.30500000000000005,0.23357142857142865
211,0.6741071428571428,0.905,0.23089285714285723
140,0.125,0.35,0.22499999999999998
84,0.0669642857142857,0.29000000000000004,0.22303571428571434
201,0.2053571428571429,0.42000000000000004,0.21464285714285714
42,0.0758928571428571,0.29000000000000004,0.21410714285714294
63,0.125,0.33499999999999996,0.20999999999999996
24,0.1160714285714286,0.32499999999999996,0.20892857142857135
229,0.0535714285714286,0.26,0.2064285714285714
181,0.0535714285714286,0.255,0.2014285714285714
208,0.2008928571428571,0.4,0.19910714285714293
222,0.0758928571428571,0.27,0.19410714285714292
206,0.0625,0.255,0.1925
161,0.2410714285714286,0.43000000000000005,0.18892857142857145
169,0.1026785714285714,0.29000000000000004,0.18732142857142864
61,0.09375,0.265,0.17125
196,0.0892857142857143,0.26,0.1707142857142857
190,0.0758928571428571,0.245,0.1691071428571429
202,0.3571428571428571,0.525,0.16785714285714293
217,0.2455357142857143,0.405,0.15946428571428573
135,0.044642857142857095,0.19999999999999996,0.15535714285714286
127,0.022321428571428603,0.17500000000000004,0.15267857142857144
213,0.0758928571428571,0.22499999999999998,0.14910714285714288
203,0.1517857142857143,0.30000000000000004,0.14821428571428574
184,0.125,0.265,0.14
47,0.1026785714285714,0.24,0.1373214285714286
125,0.0535714285714286,0.18500000000000005,0.13142857142857145
99,0.2589285714285714,0.39,0.13107142857142862
226,0.5892857142857143,0.72,0.13071428571428567
227,0.75,0.88,0.13
40,0.1205357142857143,0.25,0.1294642857142857
98,0.1517857142857143,0.28,0.12821428571428573
70,0.1517857142857143,0.28,0.12821428571428573
231,0.0625,0.18999999999999995,0.12749999999999995
197,0.1383928571428571,0.265,0.12660714285714292
145,0.008928571428571397,0.135,0.1260714285714286
134,0.0848214285714286,0.20999999999999996,0.12517857142857136
126,0.0803571428571429,0.20499999999999996,0.12464285714285706
174,0.15625,0.28,0.12375000000000003
77,0.017857142857142905,0.14,0.12214285714285711
221,0.2232142857142857,0.33999999999999997,0.11678571428571427
20,0.0982142857142857,0.21499999999999997,0.11678571428571427
200,0.0892857142857143,0.20499999999999996,0.11571428571428566
48,0.0758928571428571,0.18999999999999995,0.11410714285714285
216,0.1160714285714286,0.22999999999999998,0.11392857142857138
143,0.2678571428571429,0.38,0.1121428571428571
136,0.0580357142857143,0.17000000000000004,0.11196428571428574
14,0.0535714285714286,0.16500000000000004,0.11142857142857143
8,0.1875,0.29500000000000004,0.10750000000000004
