region_idx,region_name,network,hemisphere
126,RH_SomMotB_S2_2,SomMotB,right
127,RH_SomMotB_S2_3,SomMotB,right
128,RH_SomMotB_S2_4,SomMotB,right
129,RH_SomMotB_Cent_1,SomMotB,right
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right
132,RH_DorsAttnA_SPL_1,DorsAttnA,right
133,RH_DorsAttnA_SPL_2,DorsAttnA,right
134,RH_DorsAttnA_SPL_3,DorsAttnA,right
135,RH_DorsAttnA_SPL_4,DorsAttnA,right
136,RH_DorsAttnB_PostC_1,DorsAttnB,right
137,RH_DorsAttnB_PostC_2,DorsAttnB,right
138,RH_DorsAttnB_PostC_3,DorsAttnB,right
139,RH_DorsAttnB_PostC_4,DorsAttnB,right
140,RH_DorsAttnB_FEF_1,DorsAttnB,right
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right
156,RH_LimbicB_OFC_1,LimbicB,right
157,RH_LimbicB_OFC_2,LimbicB,right
158,RH_LimbicB_OFC_3,LimbicB,right
159,RH_LimbicB_OFC_4,LimbicB,right
160,RH_LimbicA_TempPole_1,LimbicA,right
161,RH_LimbicA_TempPole_2,LimbicA,right
162,RH_LimbicA_TempPole_3,LimbicA,right
163,RH_LimbicA_TempPole_4,LimbicA,right
164,RH_ContA_IPS_1,ContA,right
165,RH_ContA_IPS_2,ContA,right
166,RH_ContA_PFCd_1,ContA,right
167,RH_ContA_PFCl_1,ContA,right
168,RH_ContA_PFCl_2,ContA,right
169,RH_ContA_Cingm_1,ContA,right
170,RH_ContB_Temp_1,ContB,right
171,RH_ContB_Temp_2,ContB,right
172,RH_ContB_IPL_1,ContB,right
173,RH_ContB_IPL_2,ContB,right
174,RH_ContB_PFCld_1,ContB,right
175,RH_ContB_PFCld_2,ContB,right
176,RH_ContB_PFClv_1,ContB,right
177,RH_ContB_PFClv_2,ContB,right
178,RH_ContB_PFCmp_1,ContB,right
179,RH_ContB_PFCld_3,ContB,right
180,RH_ContC_pCun_1,ContC,right
181,RH_ContC_pCun_2,ContC,right
182,RH_ContC_Cingp_1,ContC,right
183,RH_DefaultA_IPL_1,DefaultA,right
184,RH_DefaultA_PFCd_1,DefaultA,right
185,RH_DefaultA_pCunPCC_1,DefaultA,right
186,RH_DefaultA_PFCm_1,DefaultA,right
187,RH_DefaultA_PFCm_2,DefaultA,right
188,RH_DefaultA_PFCm_3,DefaultA,right
189,RH_DefaultB_Temp_1,DefaultB,right
190,RH_DefaultB_AntTemp_1,DefaultB,right
191,RH_DefaultB_PFCd_1,DefaultB,right
192,RH_DefaultB_PFCv_1,DefaultB,right
193,RH_DefaultC_IPL_1,DefaultC,right
194,RH_DefaultC_Rsp_1,DefaultC,right
195,RH_DefaultC_PHC_1,DefaultC,right
196,RH_TempPar_1,TempPar,right
197,RH_TempPar_2,TempPar,right
198,RH_TempPar_3,TempPar,right
199,RH_TempPar_4,TempPar,right
200,aHIP-rh,Hippocampus_ant,right
201,pHIP-rh,Hippocampus_post,right
202,lAMY-rh,Amygdala_lat,right
203,mAMY-rh,Amygdala_med,right
204,THA-DP-rh,Thalamus_DP,right
205,THA-VP-rh,Thalamus_VP,right
206,THA-VA-rh,Thalamus_VA,right
207,THA-DA-rh,Thalamus_DA,right
208,NAc-shell-rh,Accumbens_shell,right
209,NAc-core-rh,Accumbens_core,right
210,pGP-rh,Pallidum_post,right
211,aGP-rh,Pallidum_ant,right
212,aPUT-rh,Putamen_ant,right
213,pPUT-rh,Putamen_post,right
214,aCAU-rh,Caudate_ant,right
215,pCAU-rh,Caudate_post,right
216,aHIP-lh,Hippocampus_ant,left
217,pHIP-lh,Hippocampus_post,left
218,lAMY-lh,Amygdala_lat,left
219,mAMY-lh,Amygdala_med,left
220,THA-DP-lh,Thalamus_DP,left
221,THA-VP-lh,Thalamus_VP,left
222,THA-VA-lh,Thalamus_VA,left
223,THA-DA-lh,Thalamus_DA,left
224,NAc-shell-lh,Accumbens_shell,left
225,NAc-core-lh,Accumbens_core,left
226,pGP-lh,Pallidum_post,left
227,aGP-lh,Pallidum_ant,left
228,aPUT-lh,Putamen_ant,left
229,pPUT-lh,Putamen_post,left
230,aCAU-lh,Caudate_ant,left
231,pCAU-lh,Caudate_post,left
