region_i,region_j,network_i,network_j,rest,task,change,abs_change
RH_LimbicA_TempPole_3,RH_SomMotB_S2_2,Limbic,Somatomotor,0.020419502485365882,-0.0012633881501190243,-0.021682890635484908,0.021682890635484908
RH_ContB_PFCmp_1,RH_VisCent_ExStr_1,FrontoParietal,Visual,-0.19917718901620743,-0.17749831223893583,0.021678876777271594,0.021678876777271594
LH_SomMotB_Aud_2,RH_DefaultA_PFCm_2,Somatomotor,DefaultMode,-0.005630304147779582,0.016045456165011563,0.021675760312791146,0.021675760312791146
LH_SomMotA_8,RH_SalVentAttnA_FrOper_1,Somatomotor,VentralAttention,0.05142672513264777,0.0731014248651038,0.02167469973245604,0.02167469973245604
LH_DefaultB_Temp_2,RH_DorsAttnA_TempOcc_1,DefaultMode,DorsalAttention,-0.1633934707053513,-0.1417195871037529,0.021673883601598387,0.021673883601598387
LH_DefaultB_IPL_1,RH_DorsAttnA_SPL_2,DefaultMode,DorsalAttention,-0.23227415476296281,-0.21060655952505236,0.021667595237910453,0.021667595237910453
LH_VisPeri_ExStrSup_1,RH_LimbicB_OFC_2,Visual,Limbic,-0.16379084993398868,-0.14212592218476114,0.02166492774922754,0.02166492774922754
RH_ContB_PFCmp_1,RH_VisCent_ExStr_3,FrontoParietal,Visual,-0.13484590424157303,-0.113181584943462,0.021664319298111023,0.021664319298111023
LH_SomMotA_7,LH_VisPeri_ExStrSup_1,Somatomotor,Visual,-0.00465224140523357,0.017011332560006896,0.021663573965240466,0.021663573965240466
LH_DorsAttnA_SPL_2,RH_DorsAttnB_FEF_1,DorsalAttention,DorsalAttention,0.281246766550388,0.30290920759228307,0.021662441041895075,0.021662441041895075
LH_VisPeri_ExStrSup_1,RH_SalVentAttnB_Ins_1,Visual,VentralAttention,-0.08768443311069074,-0.10934328434709512,-0.021658851236404375,0.021658851236404375
LH_SomMotA_6,RH_SalVentAttnA_Ins_2,Somatomotor,VentralAttention,0.21144520882686738,0.2330996338060011,0.021654424979133724,0.021654424979133724
RH_DefaultB_AntTemp_1,RH_SalVentAttnA_ParOper_1,DefaultMode,VentralAttention,-0.29946673381836053,-0.2778136108859994,0.021653122932361157,0.021653122932361157
RH_LimbicA_TempPole_2,RH_VisCent_ExStr_1,Limbic,Visual,-0.15764750102118122,-0.1359948602547364,0.021652640766444825,0.021652640766444825
LH_DefaultB_PFCd_4,RH_DorsAttnB_PostC_4,DefaultMode,DorsalAttention,-0.158170548169248,-0.17982134501072758,-0.02165079684147958,0.02165079684147958
RH_DorsAttnA_SPL_3,RH_LimbicB_OFC_2,DorsalAttention,Limbic,-0.17659666097119983,-0.15494870192793708,0.02164795904326275,0.02164795904326275
LH_ContB_PFCl_1,LH_DefaultA_PFCm_2,FrontoParietal,DefaultMode,0.3758813167023373,0.3542387389370376,-0.02164257776529971,0.02164257776529971
LH_ContA_PFCd_1,LH_VisCent_ExStr_2,FrontoParietal,Visual,-0.11799094084054876,-0.09635570573477112,0.02163523510577764,0.02163523510577764
LH_SalVentAttnB_PFCl_1,RH_DefaultC_Rsp_1,VentralAttention,DefaultMode,-0.07620712985065829,-0.054573656683784305,0.021633473166873987,0.021633473166873987
RH_ContA_IPS_2,RH_ContB_Temp_2,FrontoParietal,FrontoParietal,0.2640596903404983,0.2856910760382867,0.021631385697788386,0.021631385697788386
