region_i,region_j,network_i,network_j,rest_connectivity,task_connectivity,change,abs_change,pct_change
NAc-shell-rh,pGP-rh,Accumbens,Pallidum,0.03892876632012572,-0.025788667187457426,-0.06471743350758315,0.06471743350758315,-166.24578589361815
aPUT-rh,pHIP-lh,Putamen,Hippocampus,-0.0852687583133225,-0.020615141503609383,0.06465361680971313,0.06465361680971313,75.82333563735214
THA-VA-lh,THA-VA-rh,Thal_ant,Thal_ant,0.6450579773576267,0.580417922715702,-0.06464005464192468,0.06464005464192468,-10.020813153371417
aPUT-lh,pCAU-rh,Putamen,Caudate,0.3239462696680847,0.25966265670163646,-0.06428361296644824,0.06428361296644824,-19.8439120883575
aCAU-lh,pGP-rh,Caudate,Pallidum,0.007256958192745545,-0.056876303700467125,-0.06413326189321267,0.06413326189321267,-883.7485374702007
NAc-core-rh,NAc-shell-rh,Accumbens,Accumbens,0.41929053424183016,0.35566280922922283,-0.06362772501260733,0.06362772501260733,-15.175092165545855
pGP-lh,pGP-rh,Pallidum,Pallidum,0.22471383149316132,0.16136824669006183,-0.06334558480309949,0.06334558480309949,-28.18944627581915
THA-DP-lh,mAMY-lh,Thal_post,Amygdala,0.12038333060746685,0.05756533789621988,-0.06281799271124697,0.06281799271124697,-52.18163710395851
aPUT-rh,pCAU-lh,Putamen,Caudate,0.3164821074789077,0.2537066077798601,-0.06277549969904761,0.06277549969904761,-19.835402449483293
THA-DP-rh,pHIP-rh,Thal_post,Hippocampus,0.24309828661785202,0.18121461002092254,-0.06188367659692948,0.06188367659692948,-25.456237251976184
