,DefaultMode,DorsalAttention,FrontoParietal,Limbic,Somatomotor,VentralAttention,Visual
DefaultMode,-0.008484099355836272,0.011343890460119882,-0.009409656118848916,-0.006988222082297296,-0.0023563095704225434,0.006598982734941486,0.03404210925567924
DorsalAttention,0.011343890460119882,-0.025621881456998286,0.0034256296467144783,0.0017610142921522937,-0.002599598945713405,0.014075697568022669,-0.00436851965042144
FrontoParietal,-0.009409656118848916,0.0034256296467144697,-0.003374755171138555,-0.0003135070464236403,-0.005070625421003144,-0.01301178160872685,0.01986941876922911
Limbic,-0.006988222082297296,0.0017610142921523075,-0.00031350704642363857,-0.007989220417845944,-0.0012030171908416556,-0.004391213889344485,0.018286138239504923
Somatomotor,-0.0023563095704225573,-0.002599598945713419,-0.005070625421003144,-0.0012030171908416556,-0.05660459161770498,-0.006374998502828494,0.021036532084173325
VentralAttention,0.006598982734941486,0.014075697568022669,-0.01301178160872685,-0.004391213889344485,-0.0063749985028285355,-0.0257576485119953,-0.001664852174232111
Visual,0.034042109255679256,-0.004368519650421468,0.01986941876922911,0.018286138239504923,0.021036532084173325,-0.001664852174232112,-0.012483146111699817
