region_i,region_j,network_i,network_j,rest,task,change,abs_change
aHIP-lh,pPUT-lh,Hippocampus,Putamen,-0.040193741236971794,-0.05983109350970559,-0.019637352272733798,0.019637352272733798
THA-DP-lh,aCAU-lh,Thal_post,Caudate,-0.033468011532975274,-0.014160623040189953,0.01930738849278532,0.01930738849278532
NAc-shell-lh,aPUT-lh,Accumbens,Putamen,0.2231957407180562,0.20398390789107043,-0.01921183282698577,0.01921183282698577
NAc-shell-lh,aCAU-lh,Accumbens,Caudate,0.23945473192613745,0.22027076352174693,-0.019183968404390517,0.019183968404390517
pGP-rh,pHIP-lh,Pallidum,Hippocampus,-0.012399367469971879,0.006709411455110633,0.01910877892508251,0.01910877892508251
THA-DA-rh,NAc-core-lh,Thal_ant,Accumbens,0.06403931326344434,0.04494058723258737,-0.019098726030856966,0.019098726030856966
THA-DP-rh,THA-DP-lh,Thal_post,Thal_post,0.4434638887496955,0.4245407740408487,-0.018923114708846778,0.018923114708846778
pPUT-rh,lAMY-lh,Putamen,Amygdala,0.009463069397013532,0.028334540650000108,0.018871471252986577,0.018871471252986577
pHIP-rh,lAMY-rh,Hippocampus,Amygdala,0.09457320631958012,0.07579182989177441,-0.01878137642780571,0.01878137642780571
THA-DA-rh,pPUT-rh,Thal_ant,Putamen,0.1459335120826132,0.12715727767405152,-0.018776234408561687,0.018776234408561687
THA-DA-rh,pCAU-rh,Thal_ant,Caudate,0.1532017886407328,0.13446566192768786,-0.018736126713044948,0.018736126713044948
THA-VA-rh,NAc-shell-rh,Thal_ant,Accumbens,0.09025948670602761,0.07160882808638117,-0.018650658619646446,0.018650658619646446
THA-VA-rh,lAMY-lh,Thal_ant,Amygdala,-0.05703266177561108,-0.038428721663907456,0.018603940111703625,0.018603940111703625
THA-DP-rh,aPUT-rh,Thal_post,Putamen,0.0023742364605887785,0.020912469799537026,0.01853823333894825,0.01853823333894825
aHIP-rh,THA-DA-rh,Hippocampus,Thal_ant,-0.04609741990569315,-0.06462479347766827,-0.018527373571975113,0.018527373571975113
THA-DA-rh,aPUT-lh,Thal_ant,Putamen,0.12025876909644487,0.10174904048613528,-0.018509728610309584,0.018509728610309584
aPUT-rh,THA-DP-lh,Putamen,Thal_post,-0.023075452179625994,-0.004642719497956685,0.01843273268166931,0.01843273268166931
THA-VA-rh,pHIP-lh,Thal_ant,Hippocampus,-0.04056130542370826,-0.022173611189936313,0.01838769423377195,0.01838769423377195
aHIP-rh,pCAU-lh,Hippocampus,Caudate,-0.10840896741552188,-0.09024726594275184,0.018161701472770034,0.018161701472770034
NAc-shell-rh,aPUT-rh,Accumbens,Putamen,0.2175348893305526,0.19944166705227484,-0.018093222278277754,0.018093222278277754
THA-DA-rh,aGP-lh,Thal_ant,Pallidum,0.06797417613285764,0.04991732933957678,-0.01805684679328086,0.01805684679328086
THA-DP-rh,aCAU-rh,Thal_post,Caudate,-0.04842859166292917,-0.030434942708764668,0.017993648954164502,0.017993648954164502
pPUT-rh,aHIP-lh,Putamen,Hippocampus,-0.0605500130272555,-0.042565224076597186,0.017984788950658318,0.017984788950658318
THA-DP-lh,aPUT-lh,Thal_post,Putamen,0.0019899845617314975,0.019807189511163774,0.017817204949432276,0.017817204949432276
pHIP-rh,THA-DA-lh,Hippocampus,Thal_ant,0.013225259259278328,0.030769195095356913,0.017543935836078585,0.017543935836078585
aGP-lh,aPUT-lh,Pallidum,Putamen,0.19797336752271483,0.1804371097830158,-0.017536257739699024,0.017536257739699024
NAc-shell-rh,pCAU-lh,Accumbens,Caudate,0.06806735187640213,0.05068044877571763,-0.017386903100684498,0.017386903100684498
aHIP-lh,aGP-lh,Hippocampus,Pallidum,-0.0658571753122963,-0.08310965867999495,-0.01725248336769865,0.01725248336769865
NAc-core-rh,pCAU-rh,Accumbens,Caudate,0.19465280372732763,0.1775872746344251,-0.017065529092902515,0.017065529092902515
aHIP-rh,pGP-lh,Hippocampus,Pallidum,-0.02499648658258472,-0.008025438731167074,0.016971047851417644,0.016971047851417644
pPUT-rh,mAMY-lh,Putamen,Amygdala,0.03474771386154961,0.05143272327056206,0.01668500940901245,0.01668500940901245
aPUT-rh,THA-DA-lh,Putamen,Thal_ant,0.1157114023807445,0.099400142625881,-0.0163112597548635,0.0163112597548635
mAMY-rh,NAc-core-rh,Amygdala,Accumbens,0.013025987367090892,-0.003279518104802355,-0.016305505471893248,0.016305505471893248
THA-DP-rh,NAc-core-lh,Thal_post,Accumbens,-0.008553831207595262,-0.024711983866708014,-0.016158152659112753,0.016158152659112753
THA-DP-rh,NAc-shell-rh,Thal_post,Accumbens,0.04335287233568417,0.027361225382628033,-0.015991646953056136,0.015991646953056136
aHIP-rh,THA-DA-lh,Hippocampus,Thal_ant,-0.023799452740744208,-0.03951265015651055,-0.015713197415766343,0.015713197415766343
NAc-shell-rh,THA-VA-lh,Accumbens,Thal_ant,0.13964044817818308,0.12406192352887463,-0.01557852464930845,0.01557852464930845
NAc-core-rh,aPUT-lh,Accumbens,Putamen,0.32042106466424786,0.30484538877039136,-0.0155756758938565,0.0155756758938565
THA-DP-lh,NAc-core-lh,Thal_post,Accumbens,-0.0073746774108859195,-0.02292941492247897,-0.015554737511593052,0.015554737511593052
aHIP-rh,THA-VA-rh,Hippocampus,Thal_ant,-0.09391252985731935,-0.0786344915695693,0.015278038287750054,0.015278038287750054
THA-DP-lh,THA-VP-lh,Thal_post,Thal_post,0.37626841189579013,0.36111022505044865,-0.015158186845341481,0.015158186845341481
mAMY-rh,THA-VP-rh,Amygdala,Thal_post,0.03866661250916414,0.05361004179863781,0.014943429289473675,0.014943429289473675
NAc-shell-lh,pGP-lh,Accumbens,Pallidum,0.025418119578740968,0.010503940597713281,-0.014914178981027686,0.014914178981027686
lAMY-rh,NAc-core-rh,Amygdala,Accumbens,-0.029104852345980963,-0.043959449816252556,-0.014854597470271593,0.014854597470271593
pGP-lh,pPUT-lh,Pallidum,Putamen,0.21883912730351862,0.2336139629865394,0.014774835683020765,0.014774835683020765
THA-VP-lh,aPUT-lh,Thal_post,Putamen,0.10488952127970201,0.09032433371555591,-0.014565187564146098,0.014565187564146098
THA-VA-rh,pGP-rh,Thal_ant,Pallidum,0.16082204164970282,0.1462573218149485,-0.014564719834754325,0.014564719834754325
NAc-core-rh,NAc-shell-lh,Accumbens,Accumbens,0.36124594876493427,0.34676208037047973,-0.014483868394454535,0.014483868394454535
lAMY-rh,pCAU-lh,Amygdala,Caudate,-0.052199898635236594,-0.037789360147663605,0.01441053848757299,0.01441053848757299
aGP-rh,lAMY-lh,Pallidum,Amygdala,-0.031481216400726104,-0.01711388216637844,0.014367334234347665,0.014367334234347665
lAMY-lh,pCAU-lh,Amygdala,Caudate,-0.06949911140799929,-0.055148800371228136,0.014350311036771153,0.014350311036771153
pHIP-rh,pGP-rh,Hippocampus,Pallidum,-0.0033323437544793494,0.01100079104230329,0.01433313479678264,0.01433313479678264
lAMY-rh,aGP-lh,Amygdala,Pallidum,-0.029972606428711794,-0.04425571289768841,-0.014283106468976618,0.014283106468976618
THA-DP-lh,aGP-lh,Thal_post,Pallidum,0.027747978751353295,0.013474310488184071,-0.014273668263169224,0.014273668263169224
pHIP-rh,lAMY-lh,Hippocampus,Amygdala,0.09023301058500406,0.07602518418229136,-0.014207826402712703,0.014207826402712703
NAc-core-rh,pHIP-lh,Accumbens,Hippocampus,-0.007834107766134314,0.006353985999668772,0.014188093765803086,0.014188093765803086
