region_i,region_j,network_i,network_j,rest_connectivity,task_connectivity,change,abs_change,pct_change
LH_SomMotA_3,RH_SomMotA_3,Somatomotor,Somatomotor,0.3908143484379427,0.19554390818487885,-0.19527044025306386,0.19527044025306386,-49.965013064015174
RH_ContA_IPS_2,RH_ContC_pCun_2,FrontoParietal,FrontoParietal,-0.09431028644508758,0.1009029778755784,0.195213264320666,0.195213264320666,206.99042668514153
LH_SomMotA_2,RH_SomMotA_2,Somatomotor,Somatomotor,0.27621416656017567,0.08143708063712385,-0.19477708592305182,0.19477708592305182,-70.51668940398751
LH_DorsAttnB_PostC_2,LH_SomMotB_Cent_1,DorsalAttention,Somatomotor,0.2551212434304593,0.06068565381887426,-0.19443558961158502,0.19443558961158502,-76.21301425045152
LH_DefaultC_IPL_1,RH_ContB_IPL_1,DefaultMode,FrontoParietal,0.03925448011681521,-0.15493024344309148,-0.19418472355990668,0.19418472355990668,-494.6816846944431
RH_ContA_IPS_1,RH_SalVentAttnA_ParMed_2,FrontoParietal,VentralAttention,0.010521453036243853,-0.1810919502989443,-0.19161340333518814,0.19161340333518814,-1821.168641585211
LH_SomMotA_3,RH_SomMotA_5,Somatomotor,Somatomotor,0.345081523595868,0.15370320935432394,-0.19137831424154408,0.19137831424154408,-55.458870196038404
LH_DefaultC_IPL_1,RH_SalVentAttnA_ParOper_1,DefaultMode,VentralAttention,-0.1447117186614161,0.046205628050351534,0.19091734671176763,0.19091734671176763,131.92943078677646
LH_SomMotA_7,RH_SomMotA_6,Somatomotor,Somatomotor,0.4663421344210369,0.27572317356749637,-0.19061896085354052,0.19061896085354052,-40.875345971084876
LH_ContA_IPS_1,LH_DefaultB_Temp_4,FrontoParietal,DefaultMode,-0.07439722198873586,0.11547405818360806,0.18987128017234392,0.18987128017234392,255.21286292261215
LH_SalVentAttnA_ParOper_1,RH_DefaultC_Rsp_1,VentralAttention,DefaultMode,-0.10793501919607602,0.08188270480530611,0.18981772400138214,0.18981772400138214,175.8629640455773
RH_DefaultC_Rsp_1,RH_VisCent_ExStr_4,DefaultMode,Visual,-0.05540240542934737,0.13376976596610765,0.18917217139545503,0.18917217139545503,341.45118777685434
LH_SomMotB_Cent_1,RH_DorsAttnB_PostC_1,Somatomotor,DorsalAttention,0.38635272627620326,0.1997902827164048,-0.18656244355979845,0.18656244355979845,-48.28811365146809
RH_ContA_IPS_2,RH_SomMotA_2,FrontoParietal,Somatomotor,0.14677220932748677,-0.03811133721997372,-0.1848835465474605,0.1848835465474605,-125.96631705320827
LH_ContC_pCun_1,LH_SalVentAttnA_ParOper_1,FrontoParietal,VentralAttention,-0.13204414221519184,0.05271874880203071,0.18476289101722254,0.18476289101722254,139.92509468243972
LH_DefaultA_pCunPCC_1,RH_ContC_pCun_1,DefaultMode,FrontoParietal,0.26060560320508896,0.07618210064372931,-0.18442350256135964,0.18442350256135964,-70.76728216631004
LH_DefaultC_Rsp_1,LH_SalVentAttnA_ParOper_1,DefaultMode,VentralAttention,-0.15799505006868153,0.025926706022751392,0.1839217560914329,0.1839217560914329,116.40982170737682
LH_DefaultC_PHC_1,LH_SalVentAttnA_Ins_1,DefaultMode,VentralAttention,-0.06831316293442201,0.11490995065965386,0.18322311359407586,0.18322311359407586,268.21055521900365
RH_DefaultC_Rsp_1,RH_SalVentAttnA_FrOper_1,DefaultMode,VentralAttention,-0.23998711678791337,-0.05725994179579108,0.1827271749921223,0.1827271749921223,76.14041013443482
LH_DefaultC_PHC_1,RH_ContA_IPS_1,DefaultMode,FrontoParietal,0.054907215467827175,-0.12564800608682958,-0.18055522155465675,0.18055522155465675,-328.8369661733309
