region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.875,0.125,0.8177570093457944,0.875,0.8454106280193237,0.125,0.0008441558441558442,200,175,25,39
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.965,0.03500000000000003,0.9554455445544554,0.965,0.9601990049751244,0.035,0.0001948051948051948,200,193,7,9
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.85,0.15000000000000002,0.918918918918919,0.85,0.8831168831168831,0.15,0.0003246753246753247,200,170,30,15
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.86,0.14,0.9247311827956989,0.86,0.8911917098445595,0.14,0.00030303030303030303,200,172,28,14
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.875,0.125,0.9722222222222222,0.875,0.9210526315789473,0.125,0.00010822510822510823,200,175,25,5
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.99,0.010000000000000009,0.9295774647887324,0.99,0.9588377723970944,0.01,0.0003246753246753247,200,198,2,15
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.965,0.03500000000000003,0.9948453608247423,0.965,0.9796954314720813,0.035,2.1645021645021645e-05,200,193,7,1
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.94,0.06000000000000005,0.9447236180904522,0.94,0.9423558897243106,0.06,0.0002380952380952381,200,188,12,11
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.92,0.07999999999999996,0.9435897435897436,0.92,0.9316455696202531,0.08,0.0002380952380952381,200,184,16,11
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.845,0.15500000000000003,0.8848167539267016,0.845,0.8644501278772379,0.155,0.0004761904761904762,200,169,31,22
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.885,0.11499999999999999,0.9672131147540983,0.885,0.9242819843342036,0.115,0.00012987012987012987,200,177,23,6
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.965,0.03500000000000003,0.9948453608247423,0.965,0.9796954314720813,0.035,2.1645021645021645e-05,200,193,7,1
50,LH_LimbicB_OFC_1,LimbicB,left,0.765,0.235,0.7574257425742574,0.765,0.7611940298507464,0.235,0.0010606060606060607,200,153,47,49
51,LH_LimbicB_OFC_2,LimbicB,left,0.955,0.04500000000000004,0.9502487562189055,0.955,0.9526184538653366,0.045,0.00021645021645021645,200,191,9,10
52,LH_LimbicA_TempPole_1,LimbicA,left,0.865,0.135,0.7899543378995434,0.865,0.8257756563245824,0.135,0.0009956709956709957,200,173,27,46
53,LH_LimbicA_TempPole_2,LimbicA,left,0.81,0.18999999999999995,0.6923076923076923,0.81,0.7465437788018433,0.19,0.0015584415584415584,200,162,38,72
54,LH_LimbicA_TempPole_3,LimbicA,left,0.78,0.21999999999999997,0.6753246753246753,0.78,0.7238979118329466,0.22,0.0016233766233766235,200,156,44,75
55,LH_LimbicA_TempPole_4,LimbicA,left,0.65,0.35,0.625,0.65,0.6372549019607844,0.35,0.0016883116883116883,200,130,70,78
56,LH_ContA_Temp_1,ContA,left,0.86,0.14,0.7381974248927039,0.86,0.7944572748267897,0.14,0.0013203463203463205,200,172,28,61
57,LH_ContA_IPS_1,ContA,left,0.97,0.030000000000000027,0.9651741293532339,0.97,0.9675810473815462,0.03,0.00015151515151515152,200,194,6,7
58,LH_ContA_IPS_2,ContA,left,0.975,0.025000000000000022,0.9948979591836735,0.975,0.984848484848485,0.025,2.1645021645021645e-05,200,195,5,1
59,LH_ContA_IPS_3,ContA,left,0.955,0.04500000000000004,0.9009433962264151,0.955,0.9271844660194173,0.045,0.00045454545454545455,200,191,9,21
60,LH_ContA_PFCd_1,ContA,left,0.92,0.07999999999999996,0.8888888888888888,0.92,0.9041769041769042,0.08,0.0004978354978354978,200,184,16,23
61,LH_ContA_PFClv_1,ContA,left,0.825,0.17500000000000004,0.9428571428571428,0.825,0.88,0.175,0.00021645021645021645,200,165,35,10
62,LH_ContA_PFCl_1,ContA,left,0.9,0.09999999999999998,0.9782608695652174,0.9,0.9375,0.1,8.658008658008658e-05,200,180,20,4
63,LH_ContA_PFCl_2,ContA,left,0.82,0.18000000000000005,0.9479768786127167,0.82,0.8793565683646112,0.18,0.0001948051948051948,200,164,36,9
64,LH_ContA_PFCl_3,ContA,left,0.915,0.08499999999999996,0.7120622568093385,0.915,0.8008752735229759,0.085,0.0016017316017316017,200,183,17,74
65,LH_ContA_Cingm_1,ContA,left,0.76,0.24,0.8888888888888888,0.76,0.8194070080862534,0.24,0.00041125541125541126,200,152,48,19
66,LH_ContB_Temp_1,ContB,left,0.945,0.05500000000000005,0.9043062200956937,0.945,0.9242053789731052,0.055,0.0004329004329004329,200,189,11,20
67,LH_ContB_IPL_1,ContB,left,0.99,0.010000000000000009,0.9,0.99,0.9428571428571428,0.01,0.0004761904761904762,200,198,2,22
68,LH_ContB_PFCl_1,ContB,left,0.97,0.030000000000000027,0.9556650246305419,0.97,0.9627791563275433,0.03,0.0001948051948051948,200,194,6,9
69,LH_ContB_PFClv_1,ContB,left,0.98,0.020000000000000018,0.9423076923076923,0.98,0.9607843137254902,0.02,0.00025974025974025974,200,196,4,12
70,LH_ContB_PFClv_2,ContB,left,0.885,0.11499999999999999,0.9123711340206185,0.885,0.8984771573604061,0.115,0.00036796536796536797,200,177,23,17
71,LH_ContC_pCun_1,ContC,left,0.935,0.06499999999999995,1.0,0.935,0.9664082687338501,0.065,0.0,200,187,13,0
72,LH_ContC_pCun_2,ContC,left,0.97,0.030000000000000027,0.97,0.97,0.97,0.03,0.00012987012987012987,200,194,6,6
73,LH_ContC_Cingp_1,ContC,left,0.95,0.050000000000000044,0.9895833333333334,0.95,0.9693877551020408,0.05,4.329004329004329e-05,200,190,10,2
74,LH_DefaultA_IPL_1,DefaultA,left,0.955,0.04500000000000004,0.9845360824742269,0.955,0.9695431472081217,0.045,6.493506493506494e-05,200,191,9,3
75,LH_DefaultA_PFCd_1,DefaultA,left,0.94,0.06000000000000005,0.9842931937172775,0.94,0.9616368286445013,0.06,6.493506493506494e-05,200,188,12,3
