region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
71,LH_ContC_pCun_1,ContC,left,224,1,0,0.9999999999,True,False
72,LH_ContC_pCun_2,ContC,left,218,3,6,-0.3333333333296296,False,True
73,LH_ContC_Cingp_1,ContC,left,221,0,3,-0.9999999999666667,False,True
74,LH_DefaultA_IPL_1,DefaultA,left,216,0,8,-0.9999999999875,False,True
75,LH_DefaultA_PFCd_1,DefaultA,left,215,7,9,-0.12499999999921876,False,False
76,LH_DefaultA_pCunPCC_1,DefaultA,left,221,2,3,-0.199999999996,False,False
77,LH_DefaultA_pCunPCC_2,DefaultA,left,217,7,7,0.0,False,False
78,LH_DefaultA_pCunPCC_3,DefaultA,left,218,2,6,-0.49999999999375,False,True
79,LH_DefaultA_PFCm_1,DefaultA,left,210,3,14,-0.6470588235256056,False,True
80,LH_DefaultA_PFCm_2,DefaultA,left,213,4,11,-0.46666666666355555,False,True
81,LH_DefaultA_PFCm_3,DefaultA,left,220,2,4,-0.33333333332777776,False,True
82,LH_DefaultB_Temp_1,DefaultB,left,210,7,14,-0.3333333333317461,False,True
83,LH_DefaultB_Temp_2,DefaultB,left,196,20,28,-0.16666666666631944,False,False
84,LH_DefaultB_Temp_3,DefaultB,left,209,10,15,-0.1999999999992,False,False
85,LH_DefaultB_Temp_4,DefaultB,left,214,5,10,-0.3333333333311111,False,True
86,LH_DefaultB_IPL_1,DefaultB,left,195,27,29,-0.03571428571422194,False,False
87,LH_DefaultB_PFCd_1,DefaultB,left,221,0,3,-0.9999999999666667,False,True
88,LH_DefaultB_PFCd_2,DefaultB,left,220,3,4,-0.14285714285510204,False,False
89,LH_DefaultB_PFCd_3,DefaultB,left,212,9,12,-0.1428571428564626,False,False
90,LH_DefaultB_PFCd_4,DefaultB,left,214,7,10,-0.17647058823425607,False,False
91,LH_DefaultB_PFCv_1,DefaultB,left,207,13,17,-0.1333333333328889,False,False
92,LH_DefaultB_PFCv_2,DefaultB,left,191,35,33,0.0294117647058391,False,False
93,LH_DefaultB_PFCv_3,DefaultB,left,214,9,10,-0.05263157894709142,False,False
94,LH_DefaultB_PFCv_4,DefaultB,left,215,6,9,-0.19999999999866666,False,False
95,LH_DefaultC_IPL_1,DefaultC,left,214,13,10,0.13043478260812855,False,False
96,LH_DefaultC_Rsp_1,DefaultC,left,222,1,2,-0.3333333333222222,False,True
97,LH_DefaultC_PHC_1,DefaultC,left,213,4,11,-0.46666666666355555,False,True
98,LH_TempPar_1,TempPar,left,201,16,23,-0.17948717948671924,False,False
99,LH_TempPar_2,TempPar,left,190,50,34,0.1904761904759637,False,False
100,RH_VisCent_ExStr_1,VisCent,right,220,1,4,-0.599999999988,False,True
101,RH_VisCent_ExStr_2,VisCent,right,208,5,16,-0.5238095238070295,False,True
102,RH_VisCent_Striate_1,VisCent,right,222,1,2,-0.3333333333222222,False,True
103,RH_VisCent_ExStr_3,VisCent,right,209,8,15,-0.30434782608563327,False,True
104,RH_VisCent_ExStr_4,VisCent,right,218,0,6,-0.9999999999833333,False,True
105,RH_VisCent_ExStr_5,VisCent,right,221,2,3,-0.199999999996,False,False
106,RH_VisPeri_ExStrInf_1,VisPeri,right,221,2,3,-0.199999999996,False,False
107,RH_VisPeri_ExStrInf_2,VisPeri,right,217,4,7,-0.2727272727247934,False,True
108,RH_VisPeri_StriCal_1,VisPeri,right,223,0,1,-0.9999999999,False,True
109,RH_VisPeri_ExStrSup_1,VisPeri,right,217,3,7,-0.399999999996,False,True
110,RH_VisPeri_ExStrSup_2,VisPeri,right,221,0,3,-0.9999999999666667,False,True
111,RH_VisPeri_ExStrSup_3,VisPeri,right,217,5,7,-0.16666666666527777,False,False
112,RH_SomMotA_1,SomMotA,right,213,5,11,-0.3749999999976563,False,True
113,RH_SomMotA_2,SomMotA,right,215,5,9,-0.2857142857122449,False,True
114,RH_SomMotA_3,SomMotA,right,208,10,16,-0.23076923076834321,False,True
115,RH_SomMotA_4,SomMotA,right,215,4,9,-0.38461538461242606,False,True
116,RH_SomMotA_5,SomMotA,right,209,15,15,0.0,False,False
117,RH_SomMotA_6,SomMotA,right,216,2,8,-0.599999999994,False,True
118,RH_SomMotA_7,SomMotA,right,214,14,10,0.16666666666597224,False,False
119,RH_SomMotA_8,SomMotA,right,211,9,13,-0.18181818181735537,False,False
120,RH_SomMotA_9,SomMotA,right,213,9,11,-0.0999999999995,False,False
121,RH_SomMotA_10,SomMotA,right,218,5,6,-0.09090909090826446,False,False
122,RH_SomMotA_11,SomMotA,right,217,6,7,-0.0769230769224852,False,False
123,RH_SomMotB_Aud_1,SomMotB,right,212,6,12,-0.3333333333314815,False,True
124,RH_SomMotB_Aud_2,SomMotB,right,209,10,15,-0.1999999999992,False,False
125,RH_SomMotB_S2_1,SomMotB,right,209,6,15,-0.4285714285693878,False,True
126,RH_SomMotB_S2_2,SomMotB,right,213,5,11,-0.3749999999976563,False,True
127,RH_SomMotB_S2_3,SomMotB,right,217,4,7,-0.2727272727247934,False,True
128,RH_SomMotB_S2_4,SomMotB,right,216,2,8,-0.599999999994,False,True
129,RH_SomMotB_Cent_1,SomMotB,right,220,0,4,-0.999999999975,False,True
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,211,9,13,-0.18181818181735537,False,False
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,197,20,27,-0.14893617021244906,False,False
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,213,6,11,-0.2941176470570935,False,True
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,215,9,9,0.0,False,False
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,214,10,10,0.0,False,False
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,215,4,9,-0.38461538461242606,False,True
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,213,5,11,-0.3749999999976563,False,True
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,206,13,18,-0.16129032258012488,False,False
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,218,5,6,-0.09090909090826446,False,False
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,218,7,6,0.0769230769224852,False,False
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,205,28,19,0.19148936170172023,False,False
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,220,3,4,-0.14285714285510204,False,False
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,186,53,38,0.1648351648349837,False,False
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,187,58,37,0.2210526315787147,True,False
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,203,13,21,-0.23529411764636676,False,True
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,220,1,4,-0.599999999988,False,True
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,217,6,7,-0.0769230769224852,False,False
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,192,30,32,-0.032258064516077004,False,False
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,211,9,13,-0.18181818181735537,False,False
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,209,7,15,-0.36363636363471075,False,True
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,204,16,20,-0.11111111111080246,False,False
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,209,4,15,-0.5789473684180056,False,True
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,212,22,12,0.29411764705795845,True,False
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,197,30,27,0.05263157894727608,False,False
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,214,7,10,-0.17647058823425607,False,False
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,211,6,13,-0.3684210526296399,False,True
156,RH_LimbicB_OFC_1,LimbicB,right,202,13,22,-0.2571428571421224,False,True
157,RH_LimbicB_OFC_2,LimbicB,right,206,14,18,-0.12499999999960937,False,False
158,RH_LimbicB_OFC_3,LimbicB,right,219,4,5,-0.11111111110987654,False,False
159,RH_LimbicB_OFC_4,LimbicB,right,204,12,20,-0.24999999999921874,False,True
160,RH_LimbicA_TempPole_1,LimbicA,right,191,47,33,0.17499999999978125,False,False
161,RH_LimbicA_TempPole_2,LimbicA,right,184,42,40,0.024390243902409278,False,False
162,RH_LimbicA_TempPole_3,LimbicA,right,177,70,47,0.19658119658102857,False,False
163,RH_LimbicA_TempPole_4,LimbicA,right,203,23,21,0.04545454545444215,False,False
164,RH_ContA_IPS_1,ContA,right,216,5,8,-0.23076923076745562,False,True
165,RH_ContA_IPS_2,ContA,right,218,2,6,-0.49999999999375,False,True
166,RH_ContA_PFCd_1,ContA,right,205,10,19,-0.31034482758513676,False,True
167,RH_ContA_PFCl_1,ContA,right,210,16,14,0.06666666666644445,False,False
168,RH_ContA_PFCl_2,ContA,right,209,12,15,-0.1111111111106996,False,False
169,RH_ContA_Cingm_1,ContA,right,210,15,14,0.03448275862057075,False,False
170,RH_ContB_Temp_1,ContB,right,213,8,11,-0.15789473684127425,False,False
171,RH_ContB_Temp_2,ContB,right,206,41,18,0.38983050847391554,True,False
172,RH_ContB_IPL_1,ContB,right,214,1,10,-0.8181818181743802,False,True
173,RH_ContB_IPL_2,ContB,right,213,8,11,-0.15789473684127425,False,False
174,RH_ContB_PFCld_1,ContB,right,204,21,20,0.024390243902379535,False,False
175,RH_ContB_PFCld_2,ContB,right,211,7,13,-0.2999999999985,False,True
176,RH_ContB_PFClv_1,ContB,right,209,12,15,-0.1111111111106996,False,False
177,RH_ContB_PFClv_2,ContB,right,206,13,18,-0.16129032258012488,False,False
178,RH_ContB_PFCmp_1,ContB,right,214,5,10,-0.3333333333311111,False,True
