region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
70,LH_ContB_PFClv_2,ContB,left,177,17,23,-0.149999999999625,False,False
71,LH_ContC_pCun_1,ContC,left,187,0,13,-0.9999999999923077,False,True
72,LH_ContC_pCun_2,ContC,left,194,6,6,0.0,False,False
73,LH_ContC_Cingp_1,ContC,left,190,2,10,-0.6666666666611111,False,True
74,LH_DefaultA_IPL_1,DefaultA,left,191,3,9,-0.49999999999583333,False,True
75,LH_DefaultA_PFCd_1,DefaultA,left,188,3,12,-0.599999999996,False,True
76,LH_DefaultA_pCunPCC_1,DefaultA,left,193,0,7,-0.9999999999857143,False,True
77,LH_DefaultA_pCunPCC_2,DefaultA,left,190,3,10,-0.5384615384573964,False,True
78,LH_DefaultA_pCunPCC_3,DefaultA,left,185,0,15,-0.9999999999933333,False,True
79,LH_DefaultA_PFCm_1,DefaultA,left,180,3,20,-0.7391304347793951,False,True
80,LH_DefaultA_PFCm_2,DefaultA,left,189,2,11,-0.6923076923023669,False,True
81,LH_DefaultA_PFCm_3,DefaultA,left,197,0,3,-0.9999999999666667,False,True
82,LH_DefaultB_Temp_1,DefaultB,left,173,3,27,-0.7999999999973334,False,True
83,LH_DefaultB_Temp_2,DefaultB,left,175,25,25,0.0,False,False
84,LH_DefaultB_Temp_3,DefaultB,left,162,3,38,-0.8536585365832837,False,True
85,LH_DefaultB_Temp_4,DefaultB,left,179,5,21,-0.6153846153822485,False,True
86,LH_DefaultB_IPL_1,DefaultB,left,183,28,17,0.24444444444390123,True,False
87,LH_DefaultB_PFCd_1,DefaultB,left,188,0,12,-0.9999999999916667,False,True
88,LH_DefaultB_PFCd_2,DefaultB,left,197,3,3,0.0,False,False
89,LH_DefaultB_PFCd_3,DefaultB,left,194,13,6,0.3684210526296399,True,False
90,LH_DefaultB_PFCd_4,DefaultB,left,194,5,6,-0.09090909090826446,False,False
91,LH_DefaultB_PFCv_1,DefaultB,left,189,13,11,0.08333333333298612,False,False
92,LH_DefaultB_PFCv_2,DefaultB,left,156,31,44,-0.17333333333310222,False,False
