true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
7,204,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,THA-DP-rh,VisPeri,Thalamus_DP,left,right
7,226,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_2,pGP-lh,VisPeri,Pallidum_post,left,left
8,7,0.008928571428571428,within_network,LH_VisPeri_ExStrInf_3,LH_VisPeri_ExStrInf_2,VisPeri,VisPeri,left,left
8,15,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_SomMotA_4,VisPeri,SomMotA,left,left
8,27,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_SomMotB_Cent_2,VisPeri,SomMotB,left,left
8,28,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DorsAttnA_TempOcc_1,VisPeri,DorsAttnA,left,left
8,30,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DorsAttnA_ParOcc_1,VisPeri,DorsAttnA,left,left
8,45,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_SalVentAttnA_FrMed_2,VisPeri,SalVentAttnA,left,left
8,54,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_LimbicA_TempPole_3,VisPeri,LimbicA,left,left
8,60,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_ContA_PFCd_1,VisPeri,ContA,left,left
8,99,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_TempPar_2,VisPeri,TempPar,left,left
8,109,0.004464285714285714,within_network,LH_VisPeri_ExStrInf_3,RH_VisPeri_ExStrSup_1,VisPeri,VisPeri,left,right
8,143,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_SalVentAttnA_Ins_1,VisPeri,SalVentAttnA,left,right
8,148,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_SalVentAttnA_ParMed_2,VisPeri,SalVentAttnA,left,right
8,162,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_LimbicA_TempPole_3,VisPeri,LimbicA,left,right
8,187,0.008928571428571428,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_DefaultA_PFCm_2,VisPeri,DefaultA,left,right
8,200,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,aHIP-rh,VisPeri,Hippocampus_ant,left,right
8,201,0.013392857142857142,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,pHIP-rh,VisPeri,Hippocampus_post,left,right
8,204,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,THA-DP-rh,VisPeri,Thalamus_DP,left,right
8,205,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,THA-VP-rh,VisPeri,Thalamus_VP,left,right
8,208,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,NAc-shell-rh,VisPeri,Accumbens_shell,left,right
8,210,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,pGP-rh,VisPeri,Pallidum_post,left,right
8,211,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,aGP-rh,VisPeri,Pallidum_ant,left,right
8,216,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,aHIP-lh,VisPeri,Hippocampus_ant,left,left
8,217,0.008928571428571428,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,pHIP-lh,VisPeri,Hippocampus_post,left,left
8,218,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,lAMY-lh,VisPeri,Amygdala_lat,left,left
8,221,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,THA-VP-lh,VisPeri,Thalamus_VP,left,left
8,224,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,NAc-shell-lh,VisPeri,Accumbens_shell,left,left
8,226,0.008928571428571428,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,pGP-lh,VisPeri,Pallidum_post,left,left
8,229,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,pPUT-lh,VisPeri,Putamen_post,left,left
10,8,0.008928571428571428,within_network,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrInf_3,VisPeri,VisPeri,left,left
10,95,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrSup_1,LH_DefaultC_IPL_1,VisPeri,DefaultC,left,left
10,99,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrSup_1,LH_TempPar_2,VisPeri,TempPar,left,left
10,163,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,RH_LimbicA_TempPole_4,VisPeri,LimbicA,left,right
10,187,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,RH_DefaultA_PFCm_2,VisPeri,DefaultA,left,right
10,211,0.004464285714285714,cross_hemi_diff_network,LH_VisPeri_ExStrSup_1,aGP-rh,VisPeri,Pallidum_ant,left,right
10,217,0.004464285714285714,cross_network_same_hemi,LH_VisPeri_ExStrSup_1,pHIP-lh,VisPeri,Hippocampus_post,left,left
11,107,0.004464285714285714,within_network,LH_VisPeri_ExStrSup_2,RH_VisPeri_ExStrInf_2,VisPeri,VisPeri,left,right
12,22,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_SomMotB_S2_1,SomMotA,SomMotB,left,left
12,27,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_SomMotB_Cent_2,SomMotA,SomMotB,left,left
12,35,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_DorsAttnB_PostC_2,SomMotA,DorsAttnB,left,left
12,54,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_LimbicA_TempPole_3,SomMotA,LimbicA,left,left
12,86,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_DefaultB_IPL_1,SomMotA,DefaultB,left,left
12,98,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,LH_TempPar_1,SomMotA,TempPar,left,left
12,120,0.004464285714285714,within_network,LH_SomMotA_1,RH_SomMotA_9,SomMotA,SomMotA,left,right
12,154,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_1,RH_SalVentAttnB_Ins_2,SomMotA,SalVentAttnB,left,right
12,162,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_1,RH_LimbicA_TempPole_3,SomMotA,LimbicA,left,right
12,203,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_1,mAMY-rh,SomMotA,Amygdala_med,left,right
12,205,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_1,THA-VP-rh,SomMotA,Thalamus_VP,left,right
12,211,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_1,aGP-rh,SomMotA,Pallidum_ant,left,right
12,222,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,THA-VA-lh,SomMotA,Thalamus_VA,left,left
12,226,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_1,pGP-lh,SomMotA,Pallidum_post,left,left
13,19,0.004464285714285714,within_network,LH_SomMotA_2,LH_SomMotA_8,SomMotA,SomMotA,left,left
13,20,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,LH_SomMotB_Aud_1,SomMotA,SomMotB,left,left
13,24,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,LH_SomMotB_Aud_3,SomMotA,SomMotB,left,left
13,30,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,LH_DorsAttnA_ParOcc_1,SomMotA,DorsAttnA,left,left
13,54,0.008928571428571428,cross_network_same_hemi,LH_SomMotA_2,LH_LimbicA_TempPole_3,SomMotA,LimbicA,left,left
13,116,0.004464285714285714,within_network,LH_SomMotA_2,RH_SomMotA_5,SomMotA,SomMotA,left,right
13,122,0.004464285714285714,within_network,LH_SomMotA_2,RH_SomMotA_11,SomMotA,SomMotA,left,right
13,137,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_2,RH_DorsAttnB_PostC_2,SomMotA,DorsAttnB,left,right
13,218,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,lAMY-lh,SomMotA,Amygdala_lat,left,left
13,224,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,NAc-shell-lh,SomMotA,Accumbens_shell,left,left
13,227,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_2,aGP-lh,SomMotA,Pallidum_ant,left,left
14,35,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_3,LH_DorsAttnB_PostC_2,SomMotA,DorsAttnB,left,left
14,54,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_3,LH_LimbicA_TempPole_3,SomMotA,LimbicA,left,left
14,64,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_3,LH_ContA_PFCl_3,SomMotA,ContA,left,left
14,116,0.004464285714285714,within_network,LH_SomMotA_3,RH_SomMotA_5,SomMotA,SomMotA,left,right
14,203,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_3,mAMY-rh,SomMotA,Amygdala_med,left,right
14,226,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_3,pGP-lh,SomMotA,Pallidum_post,left,left
15,27,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_4,LH_SomMotB_Cent_2,SomMotA,SomMotB,left,left
15,37,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_4,LH_DorsAttnB_PostC_4,SomMotA,DorsAttnB,left,left
15,92,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_4,LH_DefaultB_PFCv_2,SomMotA,DefaultB,left,left
15,112,0.004464285714285714,within_network,LH_SomMotA_4,RH_SomMotA_1,SomMotA,SomMotA,left,right
15,114,0.004464285714285714,within_network,LH_SomMotA_4,RH_SomMotA_3,SomMotA,SomMotA,left,right
15,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_4,RH_SalVentAttnA_ParMed_1,SomMotA,SalVentAttnA,left,right
15,187,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_4,RH_DefaultA_PFCm_2,SomMotA,DefaultA,left,right
15,203,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_4,mAMY-rh,SomMotA,Amygdala_med,left,right
15,228,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_4,aPUT-lh,SomMotA,Putamen_ant,left,left
16,12,0.004464285714285714,within_network,LH_SomMotA_5,LH_SomMotA_1,SomMotA,SomMotA,left,left
16,13,0.004464285714285714,within_network,LH_SomMotA_5,LH_SomMotA_2,SomMotA,SomMotA,left,left
16,34,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_5,LH_DorsAttnB_PostC_1,SomMotA,DorsAttnB,left,left
16,210,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_5,pGP-rh,SomMotA,Pallidum_post,left,right
17,19,0.004464285714285714,within_network,LH_SomMotA_6,LH_SomMotA_8,SomMotA,SomMotA,left,left
17,38,0.008928571428571428,cross_network_same_hemi,LH_SomMotA_6,LH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,left,left
17,116,0.004464285714285714,within_network,LH_SomMotA_6,RH_SomMotA_5,SomMotA,SomMotA,left,right
17,118,0.004464285714285714,within_network,LH_SomMotA_6,RH_SomMotA_7,SomMotA,SomMotA,left,right
17,121,0.004464285714285714,within_network,LH_SomMotA_6,RH_SomMotA_10,SomMotA,SomMotA,left,right
17,137,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_6,RH_DorsAttnB_PostC_2,SomMotA,DorsAttnB,left,right
17,211,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_6,aGP-rh,SomMotA,Pallidum_ant,left,right
17,217,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_6,pHIP-lh,SomMotA,Hippocampus_post,left,left
18,139,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_7,RH_DorsAttnB_PostC_4,SomMotA,DorsAttnB,left,right
18,196,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_7,RH_TempPar_1,SomMotA,TempPar,left,right
18,204,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_7,THA-DP-rh,SomMotA,Thalamus_DP,left,right
18,205,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_7,THA-VP-rh,SomMotA,Thalamus_VP,left,right
19,13,0.004464285714285714,within_network,LH_SomMotA_8,LH_SomMotA_2,SomMotA,SomMotA,left,left
19,45,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_8,LH_SalVentAttnA_FrMed_2,SomMotA,SalVentAttnA,left,left
19,51,0.004464285714285714,cross_network_same_hemi,LH_SomMotA_8,LH_LimbicB_OFC_2,SomMotA,LimbicB,left,left
19,114,0.004464285714285714,within_network,LH_SomMotA_8,RH_SomMotA_3,SomMotA,SomMotA,left,right
19,120,0.004464285714285714,within_network,LH_SomMotA_8,RH_SomMotA_9,SomMotA,SomMotA,left,right
19,143,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_8,RH_SalVentAttnA_Ins_1,SomMotA,SalVentAttnA,left,right
19,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_8,RH_SalVentAttnA_ParMed_1,SomMotA,SalVentAttnA,left,right
19,210,0.004464285714285714,cross_hemi_diff_network,LH_SomMotA_8,pGP-rh,SomMotA,Pallidum_post,left,right
20,25,0.004464285714285714,within_network,LH_SomMotB_Aud_1,LH_SomMotB_S2_3,SomMotB,SomMotB,left,left
20,41,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_SalVentAttnA_FrOper_1,SomMotB,SalVentAttnA,left,left
20,55,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_1,LH_LimbicA_TempPole_4,SomMotB,LimbicA,left,left
20,124,0.004464285714285714,within_network,LH_SomMotB_Aud_1,RH_SomMotB_Aud_2,SomMotB,SomMotB,left,right
20,127,0.004464285714285714,within_network,LH_SomMotB_Aud_1,RH_SomMotB_S2_3,SomMotB,SomMotB,left,right
20,142,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnA_PrC_1,SomMotB,SalVentAttnA,left,right
20,143,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,right
20,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,right
20,150,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,RH_SalVentAttnB_IPL_1,SomMotB,SalVentAttnB,left,right
20,205,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,THA-VP-rh,SomMotB,Thalamus_VP,left,right
20,208,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,NAc-shell-rh,SomMotB,Accumbens_shell,left,right
20,209,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_1,NAc-core-rh,SomMotB,Accumbens_core,left,right
