region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
0,LH_VisCent_ExStr_2,VisCent,left,0.0580357142857143,0.10499999999999998,0.04696428571428568,80.92307678364016
1,LH_VisCent_ExStr_1,VisCent,left,0.022321428571428603,0.025000000000000022,0.002678571428571419,11.999999946239939
2,LH_VisCent_Striate_1,VisCent,left,0.004464285714285698,0.020000000000000018,0.01553571428571432,347.9999922048022
3,LH_VisCent_ExStr_3,VisCent,left,0.03125,0.06000000000000005,0.028750000000000053,91.99999970560016
4,LH_VisCent_ExStr_4,VisCent,left,0.017857142857142905,0.020000000000000018,0.002142857142857113,11.9999999327998
5,LH_VisCent_ExStr_5,VisCent,left,0.013392857142857095,0.010000000000000009,-0.0033928571428570864,-25.333333144177452
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.03125,0.05500000000000005,0.02375000000000005,75.99999975680015
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.0401785714285714,0.06999999999999995,0.029821428571428554,74.22222203749136
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.1517857142857143,0.22499999999999998,0.07321428571428568,48.23529408586848
9,LH_VisPeri_StriCal_1,VisPeri,left,0.0,0.015000000000000013,0.015000000000000013,15000000000.000011
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.0357142857142857,0.050000000000000044,0.014285714285714346,39.99999988800019
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.004464285714285698,0.010000000000000009,0.0055357142857143105,123.99999722240108
12,LH_SomMotA_1,SomMotA,left,0.0625,0.06499999999999995,0.0024999999999999467,3.9999999935999146
13,LH_SomMotA_2,SomMotA,left,0.0535714285714286,0.04500000000000004,-0.008571428571428563,-15.999999970133308
14,LH_SomMotA_3,SomMotA,left,0.0267857142857143,0.08999999999999997,0.06321428571428567,235.99999911893298
15,LH_SomMotA_4,SomMotA,left,0.0401785714285714,0.010000000000000009,-0.030178571428571388,-75.11111092416786
16,LH_SomMotA_5,SomMotA,left,0.017857142857142905,0.03500000000000003,0.017142857142857126,95.99999946239964
17,LH_SomMotA_6,SomMotA,left,0.0401785714285714,0.03500000000000003,-0.005178571428571366,-12.88888885680973
18,LH_SomMotA_7,SomMotA,left,0.017857142857142905,0.010000000000000009,-0.007857142857142896,-43.9999997536001
19,LH_SomMotA_8,SomMotA,left,0.0357142857142857,0.04500000000000004,0.009285714285714342,25.999999927200168
20,LH_SomMotB_Aud_1,SomMotB,left,0.0625,0.15000000000000002,0.08750000000000002,139.99999977600004
21,LH_SomMotB_Aud_2,SomMotB,left,0.017857142857142905,0.06999999999999995,0.052142857142857046,291.99999836479867
22,LH_SomMotB_S2_1,SomMotB,left,0.0758928571428571,0.18999999999999995,0.11410714285714285,150.3529409783586
23,LH_SomMotB_S2_2,SomMotB,left,0.008928571428571397,0.06499999999999995,0.05607142857142855,627.999992966402
24,LH_SomMotB_Aud_3,SomMotB,left,0.0580357142857143,0.18999999999999995,0.13196428571428565,227.384614992814
25,LH_SomMotB_S2_3,SomMotB,left,0.03125,0.07499999999999996,0.043749999999999956,139.99999955199985
26,LH_SomMotB_Cent_1,SomMotB,left,0.008928571428571397,0.03500000000000003,0.026071428571428634,291.9999967296018
27,LH_SomMotB_Cent_2,SomMotB,left,0.049107142857142905,0.10999999999999999,0.06089285714285708,123.99999974749065
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.0535714285714286,0.03500000000000003,-0.018571428571428572,-34.666666601955534
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.049107142857142905,0.050000000000000044,0.0008928571428571397,1.8181818144793305
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.1160714285714286,0.09999999999999998,-0.016071428571428625,-13.846153834224895
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.0625,0.030000000000000027,-0.03249999999999997,-51.999999916799965
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,0.044642857142857095,0.040000000000000036,-0.00464285714285706,-10.399999976703825
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.0803571428571429,0.11499999999999999,0.034642857142857086,43.111111057461635
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,0.03125,0.010000000000000009,-0.02124999999999999,-67.99999978239997
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.049107142857142905,0.015000000000000013,-0.03410714285714289,-69.45454531311074
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.0758928571428571,0.040000000000000036,-0.03589285714285706,-47.29411758474179
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.049107142857142905,0.015000000000000013,-0.03410714285714289,-69.45454531311074
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.1026785714285714,0.125,0.022321428571428603,21.739130413610624
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.022321428571428603,0.03500000000000003,0.012678571428571428,56.799999745535914
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.09375,0.15000000000000002,0.05625000000000002,59.99999993600002
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.0625,0.14,0.07750000000000001,123.99999980160004
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.0625,0.125,0.0625,99.99999984000002
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.0401785714285714,0.010000000000000009,-0.030178571428571388,-75.11111092416786
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.008928571428571397,0.03500000000000003,0.026071428571428634,291.9999967296018
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.0401785714285714,0.06000000000000005,0.019821428571428656,49.333333210548396
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.0892857142857143,0.07999999999999996,-0.009285714285714342,-10.39999998835206
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.0714285714285714,0.15500000000000003,0.08357142857142863,116.99999983620015
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.0535714285714286,0.11499999999999999,0.06142857142857139,114.66666645262207
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.0357142857142857,0.03500000000000003,-0.0007142857142856673,-1.9999999943998692
50,LH_LimbicB_OFC_1,LimbicB,left,0.1875,0.235,0.04749999999999999,25.333333319822216
51,LH_LimbicB_OFC_2,LimbicB,left,0.0580357142857143,0.04500000000000004,-0.013035714285714262,-22.461538422835456
52,LH_LimbicA_TempPole_1,LimbicA,left,0.1205357142857143,0.135,0.014464285714285707,11.999999990044438
53,LH_LimbicA_TempPole_2,LimbicA,left,0.1919642857142857,0.18999999999999995,-0.0019642857142857517,-1.023255813420463
54,LH_LimbicA_TempPole_3,LimbicA,left,0.1875,0.21999999999999997,0.03249999999999997,17.333333324088873
55,LH_LimbicA_TempPole_4,LimbicA,left,0.3080357142857143,0.35,0.041964285714285676,13.623188401374486
56,LH_ContA_Temp_1,ContA,left,0.1294642857142857,0.14,0.010535714285714315,8.137931028196931
57,LH_ContA_IPS_1,ContA,left,0.044642857142857095,0.030000000000000027,-0.014642857142857069,-32.79999992652787
