true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
6,220,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_1,THA-DP-lh,VisPeri,Thalamus_DP,left,left
7,8,0.005,within_network,LH_VisPeri_ExStrInf_2,LH_VisPeri_ExStrInf_3,VisPeri,VisPeri,left,left
7,50,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_2,LH_LimbicB_OFC_1,VisPeri,LimbicB,left,left
7,112,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,RH_SomMotA_1,VisPeri,SomMotA,left,right
7,120,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,RH_SomMotA_9,VisPeri,SomMotA,left,right
7,202,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,lAMY-rh,VisPeri,Amygdala_lat,left,right
7,204,0.01,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,THA-DP-rh,VisPeri,Thalamus_DP,left,right
7,207,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,THA-DA-rh,VisPeri,Thalamus_DA,left,right
7,210,0.015,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,pGP-rh,VisPeri,Pallidum_post,left,right
7,211,0.015,cross_hemi_diff_network,LH_VisPeri_ExStrInf_2,aGP-rh,VisPeri,Pallidum_ant,left,right
8,2,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_VisCent_Striate_1,VisPeri,VisCent,left,left
8,10,0.005,within_network,LH_VisPeri_ExStrInf_3,LH_VisPeri_ExStrSup_1,VisPeri,VisPeri,left,left
8,28,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DorsAttnA_TempOcc_1,VisPeri,DorsAttnA,left,left
8,30,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DorsAttnA_ParOcc_1,VisPeri,DorsAttnA,left,left
8,52,0.01,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_LimbicA_TempPole_1,VisPeri,LimbicA,left,left
8,55,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_LimbicA_TempPole_4,VisPeri,LimbicA,left,left
8,56,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_ContA_Temp_1,VisPeri,ContA,left,left
8,66,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_ContB_Temp_1,VisPeri,ContB,left,left
8,70,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_ContB_PFClv_2,VisPeri,ContB,left,left
8,83,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DefaultB_Temp_2,VisPeri,DefaultB,left,left
8,93,0.005,cross_network_same_hemi,LH_VisPeri_ExStrInf_3,LH_DefaultB_PFCv_3,VisPeri,DefaultB,left,left
8,109,0.005,within_network,LH_VisPeri_ExStrInf_3,RH_VisPeri_ExStrSup_1,VisPeri,VisPeri,left,right
8,144,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_SalVentAttnA_Ins_2,VisPeri,SalVentAttnA,left,right
8,148,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_SalVentAttnA_ParMed_2,VisPeri,SalVentAttnA,left,right
8,160,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_LimbicA_TempPole_1,VisPeri,LimbicA,left,right
8,161,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_LimbicA_TempPole_2,VisPeri,LimbicA,left,right
8,162,0.015,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_LimbicA_TempPole_3,VisPeri,LimbicA,left,right
8,184,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_DefaultA_PFCd_1,VisPeri,DefaultA,left,right
8,187,0.01,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_DefaultA_PFCm_2,VisPeri,DefaultA,left,right
8,195,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,RH_DefaultC_PHC_1,VisPeri,DefaultC,left,right
8,201,0.02,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,pHIP-rh,VisPeri,Hippocampus_post,left,right
8,203,0.005,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,mAMY-rh,VisPeri,Amygdala_med,left,right
8,204,0.02,cross_hemi_diff_network,LH_VisPeri_ExStrInf_3,THA-DP-rh,VisPeri,Thalamus_DP,left,right
