region_idx,region_name,network,mean_error_rate,std_error_rate,cv_error_rate,min_error_rate,max_error_rate
0,LH_VisCent_ExStr_2,VisCent,0.04888888888888891,0.04309048762147849,0.8813963359092034,0.0,0.11111111111111116
1,LH_VisCent_ExStr_1,VisCent,0.01333333333333333,0.017777777777777767,1.3333333233333329,0.0,0.0444444444444444
2,LH_VisCent_Striate_1,VisCent,0.0,0.0,0.0,0.0,0.0
3,LH_VisCent_ExStr_3,VisCent,0.02222222222222221,0.028109134757052248,1.264911058375252,0.0,0.06666666666666665
4,LH_VisCent_ExStr_4,VisCent,0.01333333333333333,0.017777777777777767,1.3333333233333329,0.0,0.0444444444444444
5,LH_VisCent_ExStr_5,VisCent,0.0044444444444444505,0.008888888888888901,1.9999999550000012,0.0,0.022222222222222254
6,LH_VisPeri_ExStrInf_1,VisPeri,0.01777777777777778,0.025915341754868,1.4577379655115486,0.0,0.06666666666666665
7,LH_VisPeri_ExStrInf_2,VisPeri,0.03555555555555554,0.03014368881389007,0.8477912455062456,0.0,0.06666666666666665
8,LH_VisPeri_ExStrInf_3,VisPeri,0.12444444444444444,0.07774602526460402,0.6247448453742552,0.0,0.24444444444444446
9,LH_VisPeri_StriCal_1,VisPeri,0.0,0.0,0.0,0.0,0.0
10,LH_VisPeri_ExStrSup_1,VisPeri,0.01777777777777776,0.02177324215807267,1.224744864502399,0.0,0.0444444444444444
11,LH_VisPeri_ExStrSup_2,VisPeri,0.0,0.0,0.0,0.0,0.0
12,LH_SomMotA_1,SomMotA,0.04444444444444444,0.03142696805273544,0.7071067795955572,0.0,0.0888888888888889
13,LH_SomMotA_2,SomMotA,0.040000000000000015,0.03823255674241169,0.9558139161707571,0.0,0.11111111111111116
14,LH_SomMotA_3,SomMotA,0.013333333333333353,0.010886621079036363,0.8164965748040017,0.0,0.022222222222222254
15,LH_SomMotA_4,SomMotA,0.03555555555555558,0.03874576838702822,1.089724732820317,0.0,0.11111111111111116
16,LH_SomMotA_5,SomMotA,0.01777777777777778,0.025915341754868,1.4577379655115486,0.0,0.06666666666666665
17,LH_SomMotA_6,SomMotA,0.02666666666666666,0.025915341754867992,0.9718253121632049,0.0,0.06666666666666665
18,LH_SomMotA_7,SomMotA,0.013333333333333353,0.010886621079036363,0.8164965748040017,0.0,0.022222222222222254
19,LH_SomMotA_8,SomMotA,0.02222222222222221,0.028109134757052248,1.264911058375252,0.0,0.06666666666666665
20,LH_SomMotB_Aud_1,SomMotB,0.04888888888888887,0.025915341754868,0.5300865348107595,0.0,0.06666666666666665
21,LH_SomMotB_Aud_2,SomMotB,0.01333333333333333,0.026666666666666658,1.9999999849999999,0.0,0.06666666666666665
22,LH_SomMotB_S2_1,SomMotB,0.06666666666666668,0.048686449556014755,0.7302967422447761,0.0,0.1333333333333333
23,LH_SomMotB_S2_2,SomMotB,0.0044444444444444505,0.008888888888888901,1.9999999550000012,0.0,0.022222222222222254
24,LH_SomMotB_Aud_3,SomMotB,0.04888888888888887,0.025915341754868,0.5300865348107595,0.0,0.06666666666666665
25,LH_SomMotB_S2_3,SomMotB,0.02666666666666666,0.02591534175486799,0.9718253121632048,0.0,0.06666666666666665
26,LH_SomMotB_Cent_1,SomMotB,0.0044444444444444505,0.008888888888888901,1.9999999550000012,0.0,0.022222222222222254
27,LH_SomMotB_Cent_2,SomMotB,0.04444444444444444,0.03142696805273545,0.7071067795955573,0.0,0.0888888888888889
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,0.04444444444444444,0.037184890068181146,0.8366600246515908,0.0,0.11111111111111116
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,0.04444444444444444,0.03142696805273545,0.7071067795955573,0.0,0.0888888888888889
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,0.09777777777777778,0.06378977819736588,0.6523954581694739,0.0,0.1777777777777778
31,LH_DorsAttnA_SPL_1,DorsAttnA,0.04888888888888889,0.03265986323710904,0.6680426557562339,0.0,0.0888888888888889
32,LH_DorsAttnA_SPL_2,DorsAttnA,0.02222222222222221,0.01987615979999811,0.8944271869749931,0.0,0.0444444444444444
33,LH_DorsAttnA_SPL_3,DorsAttnA,0.057777777777777796,0.0537024265493092,0.9294650732832002,0.0,0.1333333333333333
34,LH_DorsAttnB_PostC_1,DorsAttnB,0.022222222222222233,0.034426518632954824,1.5491933315115962,0.0,0.0888888888888889
35,LH_DorsAttnB_PostC_2,DorsAttnB,0.04444444444444447,0.03975231959999627,0.8944271889874544,0.0,0.11111111111111116
36,LH_DorsAttnB_PostC_3,DorsAttnB,0.057777777777777796,0.04121608220220314,0.7133552676496315,0.0,0.11111111111111116
