cv_error_rate_mean,task_error_rate_mean,error_increase_mean,error_increase_std,relative_increase_pct_mean,region_idx_count
0.48660714285714285,0.7475,0.26089285714285715,0.01136421612621233,53.60404039302579,2
0.1763392857142857,0.31749999999999995,0.14116071428571425,0.019319167414561057,80.86486481835928,2
0.16964285714285715,0.2975,0.12785714285714284,0.057073618767199845,78.74509799026464,2
0.15848214285714285,0.28500000000000003,0.12651785714285718,0.011995561466557461,84.74418598729608,2
0.078125,0.2025,0.12437500000000001,0.02790546404325483,160.05228737557326,2
0.07366071428571425,0.16500000000000004,0.09133928571428579,0.024369930137322093,124.8235292410327,2
0.08035714285714285,0.16000000000000003,0.07964285714285718,0.012626906806902668,101.59999986884807,2
0.22544642857142855,0.2975,0.07205357142857144,0.09861614216190957,32.26980390711624,2
0.1160714285714286,0.1875,0.0714285714285714,0.05227539418057685,62.85629624092586,2
0.042261904761904764,0.11166666666666665,0.06940476190476189,0.036328560862015316,203.89765420379644,15
0.04017857142857145,0.10249999999999998,0.06232142857142853,0.009091372900969927,166.90909044120315,2
0.1049107142857143,0.16250000000000003,0.05758928571428573,0.020076781822975242,55.9854544908264,2
0.013392857142857132,0.06916666666666667,0.05577380952380954,0.04099599698394321,10833333655.999987,6
0.5066964285714286,0.5599999999999999,0.053303571428571395,0.08270623958521227,11.331981909334528,2
0.10714285714285714,0.155,0.047857142857142855,0.026851585671263882,46.265691463214154,6
0.140625,0.1875,0.046875,0.014520942827937899,33.22580642805619,2
0.06919642857142855,0.11499999999999999,0.045803571428571443,0.023612315728907905,69.17647048296752,2
0.068359375,0.11343750000000002,0.04507812500000002,0.06263498921479173,92.22090801545774,16
0.06808035714285715,0.11031250000000001,0.042232142857142864,0.07369326481376409,67.11703130694914,16
0.2388392857142857,0.27499999999999997,0.03616071428571427,0.09205015062232016,17.556650237883247,2
0.03236607142857142,0.06625000000000002,0.0338839285714286,0.02931145180806426,1250000135.760348,12
0.1796875,0.21125,0.03156249999999998,0.04219457545137605,17.0661907902667,8
0.06407563025210083,0.08705882352941176,0.022983193277310937,0.0494521873382059,54.47608434267711,17
0.04464285714285715,0.0625,0.01785714285714285,0.03257741956180869,35.19191912317187,2
0.03794642857142857,0.053333333333333365,0.015386904761904796,0.01703066586871965,105.95555368114982,6
0.02938988095238095,0.04416666666666668,0.014776785714285728,0.016200084783270664,78.15469987600906,12
0.06026785714285714,0.0735714285714286,0.013303571428571455,0.038741342654724,3214285783.2197633,14
0.06830357142857144,0.07949999999999999,0.011196428571428562,0.04084383541886531,25.40450137471587,10
0.06324404761904763,0.06541666666666668,0.002172619047619053,0.036001510073633614,11.508952740641655,12
0.0892857142857143,0.09083333333333332,0.00154761904761902,0.03725287050073077,22.035534696614175,6
0.042528195488721804,0.039473684210526334,-0.003054511278195472,0.024499011874484083,2.1560380781721133,19
0.05758928571428573,0.05400000000000001,-0.003589285714285717,0.03911012799362849,-10.461506133590897,10
0.06279761904761906,0.057,-0.005797619047619063,0.039883946227356505,-11.599772058379688,15
