Hypothesis,High_Demand_Mean,Moderate_Demand_Mean,Supported,Low_Demand_Mean,Model
H1: Control > Visual/Attention,0.024956563706563704,0.018643543956043965,YES ✓,,Full
H2: Visual/Attention > Default,,0.018643543956043965,NO ✗,0.023284773211610224,Full
H3: Control > Default,0.024956563706563704,,YES ✓,0.023284773211610224,Full
H1: Control > Visual/Attention,0.040099206349206364,0.03016819985569989,YES ✓,,Left
H2: Visual/Attention > Default,,0.03016819985569989,NO ✗,0.033915693681318686,Left
H3: Control > Default,0.040099206349206364,,YES ✓,0.033915693681318686,Left
H1: Control > Visual/Attention,0.027208646616541366,0.036155844155844157,NO ✗,,Right
H2: Visual/Attention > Default,,0.036155844155844157,YES ✓,0.03375972611266728,Right
H3: Control > Default,0.027208646616541366,,NO ✗,0.03375972611266728,Right
