region_idx,mean_confidence,std_confidence,mean_conf_correct,mean_conf_incorrect,confidence_gap,region_name,network
0,0.832408587777217,0.2390205910077802,0.8622471419014788,0.34810590160650967,0.5141412402949691,LH_VisCent_ExStr_2,VisCent
1,0.913315084241521,0.15234642666244205,0.9270470110772602,0.3118566888361492,0.615190322241111,LH_VisCent_ExStr_1,VisCent
2,0.9078929996935438,0.15409142196019152,0.9111440239495866,0.1829145905960028,0.7282294333535838,LH_VisCent_Striate_1,VisCent
3,0.8819268911335961,0.18198760497248526,0.894628059606931,0.48819066846021547,0.40643739114671557,LH_VisCent_ExStr_3,VisCent
4,0.9041685889182549,0.14815516890962818,0.9119069190956461,0.4785604291617318,0.43334648993391434,LH_VisCent_ExStr_4,VisCent
5,0.9216218090440904,0.11967386443541368,0.9282980102589663,0.4298083195482212,0.4984896907107451,LH_VisCent_ExStr_5,VisCent
6,0.8678357174916156,0.19653109670292185,0.8830956307740683,0.394778405735582,0.4883172250384863,LH_VisPeri_ExStrInf_1,VisPeri
7,0.8703028879639011,0.1959272814045541,0.8948223670711309,0.2845597759578512,0.6102625911132797,LH_VisPeri_ExStrInf_2,VisPeri
8,0.7441998200406017,0.2749975126674919,0.8169432480520025,0.3376924282121853,0.47925081983981715,LH_VisPeri_ExStrInf_3,VisPeri
9,0.9475551386168435,0.08665691215730974,0.9475551386168435,0.0,0.9475551386168435,LH_VisPeri_StriCal_1,VisPeri
10,0.900117690710383,0.1709490284944223,0.9204764851240786,0.3504302415406013,0.5700462435834773,LH_VisPeri_ExStrSup_1,VisPeri
11,0.9359503873762562,0.10711558802958186,0.9388743921483542,0.28389732319837485,0.6549770689499794,LH_VisPeri_ExStrSup_2,VisPeri
12,0.8563144588163282,0.20857202299577762,0.8860680269255882,0.41001093717742904,0.47605708974815913,LH_SomMotA_1,SomMotA
13,0.8404185276441646,0.22347141374727178,0.8715357307577537,0.29068127263742555,0.5808544581203281,LH_SomMotA_2,SomMotA
14,0.8691868618846978,0.1905959207495615,0.8814618213629912,0.42319666750670343,0.4582651538562878,LH_SomMotA_3,SomMotA
15,0.847210273945859,0.2109923626021943,0.8717541839844422,0.2608835341352647,0.6108706498491774,LH_SomMotA_4,SomMotA
16,0.8651545721138684,0.19393713960417286,0.8756967138959159,0.28533677410125247,0.5903599397946634,LH_SomMotA_5,SomMotA
17,0.8445733706238536,0.21642568739574006,0.8678183407609432,0.2892768617933792,0.578541478967564,LH_SomMotA_6,SomMotA
18,0.9067036078499687,0.16718221726377178,0.9192823356587992,0.21487357836427962,0.7044087572945197,LH_SomMotA_7,SomMotA
19,0.8720024770212967,0.20216824488133722,0.8922930585428752,0.3241567759386837,0.5681362826041916,LH_SomMotA_8,SomMotA
20,0.8356149463864325,0.2029051822029126,0.8618752662430752,0.44171014853679064,0.42016511770628456,LH_SomMotB_Aud_1,SomMotB
21,0.8826243917715958,0.16693356288601818,0.8934829997340875,0.28540095383454633,0.6080820458995412,LH_SomMotB_Aud_2,SomMotB
22,0.8108269214852718,0.22722069914010054,0.8457266476433213,0.385871432384316,0.4598552152590053,LH_SomMotB_S2_1,SomMotB
23,0.897825318767267,0.14599336287795792,0.9024530836348434,0.3841434184662712,0.5183096651685722,LH_SomMotB_S2_2,SomMotB
24,0.802662670055262,0.2338144455840268,0.8284288148048722,0.3844583206577456,0.4439704941471266,LH_SomMotB_Aud_3,SomMotB
25,0.8640725224996041,0.1788236667901613,0.8766754586170781,0.473381502857916,0.40329395575916205,LH_SomMotB_S2_3,SomMotB
26,0.9196703563641544,0.14472114394370916,0.9244159754658585,0.39290663607500137,0.5315093393908572,LH_SomMotB_Cent_1,SomMotB
27,0.8128376097929239,0.23619221677773075,0.8375612060499583,0.3340988822703483,0.5034623237796101,LH_SomMotB_Cent_2,SomMotB
28,0.8555473863162995,0.1819996286102267,0.8822100770104389,0.38450651738650427,0.4977035596239346,LH_DorsAttnA_TempOcc_1,DorsAttnA
29,0.8872233738489541,0.16234829849605148,0.9055533454038379,0.5322884701043876,0.3732648752994503,LH_DorsAttnA_TempOcc_2,DorsAttnA
30,0.7820953454058863,0.2584970741747884,0.8408538262596054,0.3346269142891027,0.5062269119705027,LH_DorsAttnA_ParOcc_1,DorsAttnA
31,0.852582724680813,0.21019193817405238,0.8798653601306209,0.4433431929336971,0.43652216719692377,LH_DorsAttnA_SPL_1,DorsAttnA
32,0.8895108271385058,0.17747202036693788,0.9141213095249736,0.3628465040680996,0.551274805456874,LH_DorsAttnA_SPL_2,DorsAttnA
33,0.8058353175896826,0.23538924888322976,0.8467671959131923,0.33739271010951477,0.5093744858036775,LH_DorsAttnA_SPL_3,DorsAttnA
34,0.8518667218112039,0.20525992575909566,0.8658003005192525,0.4199257818616967,0.4458745186575558,LH_DorsAttnB_PostC_1,DorsAttnB
35,0.8602262821636504,0.20871173655653835,0.8881269505359085,0.319967885500831,0.5681590650350775,LH_DorsAttnB_PostC_2,DorsAttnB
