network,accuracy,n_regions,n_samples,Analysis,Strategy,Phase
SomMotB,0.9642857142857144,15,3360,Full Connectivity,OVR,CV
DorsAttnB,0.9629464285714284,10,2240,Full Connectivity,OVR,CV
DorsAttnA,0.956845238095238,12,2688,Full Connectivity,OVR,CV
SalVentAttnB,0.9566964285714286,10,2240,Full Connectivity,OVR,CV
Putamen_post,0.9508928571428572,2,448,Full Connectivity,OVR,CV
DefaultA,0.9486607142857144,14,3136,Full Connectivity,OVR,CV
Thalamus_VA,0.9486607142857144,2,448,Full Connectivity,OVR,CV
Caudate_post,0.9486607142857144,2,448,Full Connectivity,OVR,CV
ContB,0.9485119047619048,15,3360,Full Connectivity,OVR,CV
DefaultB,0.9477415966386554,17,3808,Full Connectivity,OVR,CV
ContA,0.9447544642857144,16,3584,Full Connectivity,OVR,CV
SalVentAttnA,0.9400111607142856,16,3584,Full Connectivity,OVR,CV
LimbicB,0.921875,6,1344,Full Connectivity,OVR,CV
Hippocampus_ant,0.9151785714285714,2,448,Full Connectivity,OVR,CV
Thalamus_DA,0.9107142857142856,2,448,Full Connectivity,OVR,CV
TempPar,0.8950892857142857,6,1344,Full Connectivity,OVR,CV
Accumbens_core,0.8772321428571429,2,448,Full Connectivity,OVR,CV
Amygdala_med,0.8459821428571429,2,448,Full Connectivity,OVR,CV
Accumbens_shell,0.8325892857142857,2,448,Full Connectivity,OVR,CV
Thalamus_VP,0.8236607142857143,2,448,Full Connectivity,OVR,CV
Hippocampus_post,0.8147321428571429,2,448,Full Connectivity,OVR,CV
LimbicA,0.8046875,8,1792,Full Connectivity,OVR,CV
Thalamus_DP,0.7410714285714286,2,448,Full Connectivity,OVR,CV
Amygdala_lat,0.7321428571428571,2,448,Full Connectivity,OVR,CV
Pallidum_post,0.4508928571428571,2,448,Full Connectivity,OVR,CV
Pallidum_ant,0.3995535714285714,2,448,Full Connectivity,OVR,CV
SomMotA,0.9605263157894736,19,3800,Full Connectivity,MULTINOMIAL,Task
VisCent,0.9558333333333332,12,2400,Full Connectivity,MULTINOMIAL,Task
DefaultC,0.9466666666666668,6,1200,Full Connectivity,MULTINOMIAL,Task
DorsAttnB,0.946,10,2000,Full Connectivity,MULTINOMIAL,Task
ContB,0.943,15,3000,Full Connectivity,MULTINOMIAL,Task
Caudate_ant,0.9375,2,400,Full Connectivity,MULTINOMIAL,Task
DorsAttnA,0.9345833333333332,12,2400,Full Connectivity,MULTINOMIAL,Task
VisPeri,0.93375,12,2400,Full Connectivity,MULTINOMIAL,Task
ContC,0.9308333333333332,6,1200,Full Connectivity,MULTINOMIAL,Task
DefaultA,0.9264285714285714,14,2800,Full Connectivity,MULTINOMIAL,Task
SalVentAttnB,0.9205,10,2000,Full Connectivity,MULTINOMIAL,Task
DefaultB,0.9129411764705884,17,3400,Full Connectivity,MULTINOMIAL,Task
LimbicB,0.9091666666666668,6,1200,Full Connectivity,MULTINOMIAL,Task
Putamen_ant,0.8975,2,400,Full Connectivity,MULTINOMIAL,Task
ContA,0.8896875,16,3200,Full Connectivity,MULTINOMIAL,Task
SomMotB,0.8883333333333333,15,3000,Full Connectivity,MULTINOMIAL,Task
SalVentAttnA,0.8865625,16,3200,Full Connectivity,MULTINOMIAL,Task
Caudate_post,0.885,2,400,Full Connectivity,MULTINOMIAL,Task
TempPar,0.845,6,1200,Full Connectivity,MULTINOMIAL,Task
Hippocampus_ant,0.84,2,400,Full Connectivity,MULTINOMIAL,Task
Thalamus_DA,0.8375,2,400,Full Connectivity,MULTINOMIAL,Task
Thalamus_VA,0.835,2,400,Full Connectivity,MULTINOMIAL,Task
Accumbens_core,0.8125,2,400,Full Connectivity,MULTINOMIAL,Task
Amygdala_med,0.8125,2,400,Full Connectivity,MULTINOMIAL,Task
Putamen_post,0.7975,2,400,Full Connectivity,MULTINOMIAL,Task
LimbicA,0.78875,8,1600,Full Connectivity,MULTINOMIAL,Task
Thalamus_DP,0.725,2,400,Full Connectivity,MULTINOMIAL,Task
Accumbens_shell,0.715,2,400,Full Connectivity,MULTINOMIAL,Task
Amygdala_lat,0.7025,2,400,Full Connectivity,MULTINOMIAL,Task
Thalamus_VP,0.7025,2,400,Full Connectivity,MULTINOMIAL,Task
Hippocampus_post,0.6825,2,400,Full Connectivity,MULTINOMIAL,Task
Pallidum_post,0.44,2,400,Full Connectivity,MULTINOMIAL,Task
Pallidum_ant,0.2525,2,400,Full Connectivity,MULTINOMIAL,Task
SomMotA,0.9152631578947368,19,3800,Full Connectivity,OVO,Task
VisCent,0.9125,12,2400,Full Connectivity,OVO,Task
DorsAttnB,0.8945,10,2000,Full Connectivity,OVO,Task
ContB,0.89,15,3000,Full Connectivity,OVO,Task
VisPeri,0.8883333333333333,12,2400,Full Connectivity,OVO,Task
DefaultC,0.88,6,1200,Full Connectivity,OVO,Task
DorsAttnA,0.8670833333333333,12,2400,Full Connectivity,OVO,Task
Caudate_ant,0.8575,2,400,Full Connectivity,OVO,Task
SalVentAttnB,0.855,10,2000,Full Connectivity,OVO,Task
ContC,0.8533333333333334,6,1200,Full Connectivity,OVO,Task
DefaultB,0.8520588235294118,17,3400,Full Connectivity,OVO,Task
DefaultA,0.85,14,2800,Full Connectivity,OVO,Task
LimbicB,0.845,6,1200,Full Connectivity,OVO,Task
ContA,0.82125,16,3200,Full Connectivity,OVO,Task
Putamen_ant,0.82,2,400,Full Connectivity,OVO,Task
Caudate_post,0.82,2,400,Full Connectivity,OVO,Task
SomMotB,0.814,15,3000,Full Connectivity,OVO,Task
SalVentAttnA,0.8040625,16,3200,Full Connectivity,OVO,Task
Thalamus_DA,0.7925,2,400,Full Connectivity,OVO,Task
Accumbens_core,0.7875,2,400,Full Connectivity,OVO,Task
Hippocampus_ant,0.77,2,400,Full Connectivity,OVO,Task
TempPar,0.7675,6,1200,Full Connectivity,OVO,Task
Amygdala_med,0.745,2,400,Full Connectivity,OVO,Task
LimbicA,0.744375,8,1600,Full Connectivity,OVO,Task
Thalamus_VA,0.715,2,400,Full Connectivity,OVO,Task
Putamen_post,0.71,2,400,Full Connectivity,OVO,Task
Thalamus_DP,0.6775,2,400,Full Connectivity,OVO,Task
Thalamus_VP,0.66,2,400,Full Connectivity,OVO,Task
Accumbens_shell,0.6475,2,400,Full Connectivity,OVO,Task
Amygdala_lat,0.6375,2,400,Full Connectivity,OVO,Task
Hippocampus_post,0.5975,2,400,Full Connectivity,OVO,Task
Pallidum_post,0.415,2,400,Full Connectivity,OVO,Task
Pallidum_ant,0.245,2,400,Full Connectivity,OVO,Task
SomMotA,0.9676315789473684,19,3800,Full Connectivity,OVR,Task
VisCent,0.96375,12,2400,Full Connectivity,OVR,Task
ContC,0.9633333333333334,6,1200,Full Connectivity,OVR,Task
DefaultC,0.9583333333333334,6,1200,Full Connectivity,OVR,Task
DorsAttnB,0.951,10,2000,Full Connectivity,OVR,Task
ContB,0.9443333333333334,15,3000,Full Connectivity,OVR,Task
VisPeri,0.9383333333333334,12,2400,Full Connectivity,OVR,Task
Caudate_ant,0.9375,2,400,Full Connectivity,OVR,Task
Putamen_ant,0.9375,2,400,Full Connectivity,OVR,Task
DefaultA,0.9339285714285714,14,2800,Full Connectivity,OVR,Task
DefaultB,0.9314705882352942,17,3400,Full Connectivity,OVR,Task
DorsAttnA,0.9291666666666668,12,2400,Full Connectivity,OVR,Task
SalVentAttnB,0.9265,10,2000,Full Connectivity,OVR,Task
LimbicB,0.9025,6,1200,Full Connectivity,OVR,Task
Caudate_post,0.9025,2,400,Full Connectivity,OVR,Task
SomMotB,0.9013333333333332,15,3000,Full Connectivity,OVR,Task
ContA,0.900625,16,3200,Full Connectivity,OVR,Task
SalVentAttnA,0.8896875,16,3200,Full Connectivity,OVR,Task
Thalamus_VA,0.8825,2,400,Full Connectivity,OVR,Task
Putamen_post,0.86,2,400,Full Connectivity,OVR,Task
Thalamus_DA,0.86,2,400,Full Connectivity,OVR,Task
Hippocampus_ant,0.855,2,400,Full Connectivity,OVR,Task
TempPar,0.8541666666666666,6,1200,Full Connectivity,OVR,Task
Amygdala_med,0.815,2,400,Full Connectivity,OVR,Task
Accumbens_core,0.805,2,400,Full Connectivity,OVR,Task
LimbicA,0.745,8,1600,Full Connectivity,OVR,Task
Thalamus_VP,0.685,2,400,Full Connectivity,OVR,Task
Accumbens_shell,0.675,2,400,Full Connectivity,OVR,Task
Thalamus_DP,0.6725,2,400,Full Connectivity,OVR,Task
Hippocampus_post,0.67,2,400,Full Connectivity,OVR,Task
Amygdala_lat,0.6325,2,400,Full Connectivity,OVR,Task
Pallidum_post,0.3925,2,400,Full Connectivity,OVR,Task
Pallidum_ant,0.19,2,400,Full Connectivity,OVR,Task
