Analysis,Strategy,CV_Accuracy,Task_Accuracy,Accuracy_Drop,CV_Balanced_Acc,Task_Balanced_Acc,Balanced_Acc_Drop
Full Connectivity,MULTINOMIAL,0.9241263854679803,0.8923922413793104,0.031734144088669924,0.9241263854679802,0.8923922413793102,0.031734144088670035
Full Connectivity,OVO,0.8687846366995073,0.8304956896551724,0.03828894704433494,0.8687846366995075,0.8304956896551725,0.03828894704433494
Full Connectivity,OVR,0.931707974137931,0.8963362068965517,0.03537176724137936,0.931707974137931,0.8963362068965517,0.03537176724137936
Left Hemisphere,MULTINOMIAL,0.9181804187192119,0.8693103448275862,0.048870073891625676,0.9181804187192119,0.869310344827586,0.0488700738916259
Left Hemisphere,OVO,0.8814270320197044,0.8358620689655173,0.04556496305418711,0.8814270320197043,0.8358620689655173,0.045564963054187
Left Hemisphere,OVR,0.9226447044334976,0.8756896551724138,0.04695504926108374,0.9226447044334976,0.8756896551724138,0.04695504926108374
Right Hemisphere,MULTINOMIAL,0.9135621921182266,0.8630603448275862,0.050501847290640445,0.9135621921182265,0.8630603448275862,0.050501847290640334
Right Hemisphere,OVO,0.8752693965517241,0.8235775862068966,0.051691810344827505,0.8752693965517241,0.8235775862068965,0.051691810344827616
Right Hemisphere,OVR,0.9208358990147784,0.8710344827586207,0.04980141625615764,0.9208358990147782,0.8710344827586207,0.04980141625615753
