region_name,accuracy_mean,accuracy_std,accuracy_min,accuracy_max
aCAU-lh,0.939,0.0329,0.9018,0.9643
LH_DefaultB_Temp_4,0.939,0.0323,0.9018,0.9598
RH_ContB_PFCld_3,0.939,0.0482,0.8839,0.9732
LH_DorsAttnA_TempOcc_1,0.9375,0.0236,0.9107,0.9554
LH_DefaultC_PHC_1,0.9375,0.0354,0.8973,0.9643
LH_DefaultA_PFCm_2,0.9375,0.044,0.8884,0.9732
LH_SalVentAttnA_FrMed_2,0.9375,0.0387,0.8929,0.9598
RH_DorsAttnA_TempOcc_1,0.936,0.0229,0.9107,0.9554
LH_ContB_PFCl_1,0.936,0.0452,0.8839,0.9643
RH_SalVentAttnB_PFCmp_1,0.936,0.0538,0.8795,0.9866
RH_SomMotA_7,0.936,0.0498,0.8795,0.9732
LH_ContA_IPS_2,0.9345,0.0372,0.8929,0.9643
LH_SomMotA_2,0.9345,0.0206,0.9107,0.9464
LH_ContB_IPL_1,0.9345,0.0372,0.8929,0.9643
RH_SomMotB_S2_2,0.933,0.0389,0.8884,0.9598
LH_DefaultC_IPL_1,0.933,0.0249,0.9062,0.9554
RH_DorsAttnB_PostC_1,0.933,0.0431,0.8839,0.9643
RH_SalVentAttnB_Ins_2,0.933,0.0466,0.8795,0.9643
LH_SalVentAttnB_Ins_1,0.9315,0.0338,0.8929,0.9554
LH_DorsAttnA_SPL_1,0.9315,0.0494,0.8795,0.9777
RH_VisCent_ExStr_2,0.9315,0.0225,0.9107,0.9554
RH_DorsAttnA_SPL_3,0.9315,0.0533,0.8705,0.9688
LH_DefaultB_PFCd_4,0.9315,0.0533,0.8705,0.9688
LH_DefaultB_PFCd_3,0.9315,0.038,0.8884,0.9598
LH_DefaultB_PFCv_3,0.9301,0.0364,0.8884,0.9554
LH_DefaultB_Temp_3,0.9301,0.0358,0.8929,0.9643
LH_SomMotA_1,0.9301,0.0341,0.8929,0.9598
RH_SalVentAttnA_ParMed_2,0.9286,0.044,0.8795,0.9643
RH_ContB_Temp_1,0.9271,0.0574,0.8616,0.9688
RH_DefaultB_AntTemp_1,0.9256,0.0502,0.8705,0.9688
LH_DefaultA_PFCm_1,0.9256,0.0372,0.8839,0.9554
LH_DorsAttnB_PostC_3,0.9256,0.0469,0.8795,0.9732
RH_SomMotA_8,0.9256,0.0533,0.8661,0.9688
RH_SalVentAttnB_PFCl_1,0.9256,0.0482,0.8705,0.9598
LH_SomMotB_Cent_2,0.9241,0.0464,0.8705,0.9509
LH_DefaultB_Temp_1,0.9241,0.0161,0.9062,0.9375
LH_ContA_PFClv_1,0.9241,0.0313,0.8884,0.9464
THA-VA-rh,0.9241,0.0381,0.8839,0.9598
LH_SomMotB_Aud_1,0.9241,0.0272,0.8929,0.942
RH_SomMotA_3,0.9226,0.0229,0.8973,0.942
RH_ContA_PFCl_1,0.9226,0.0422,0.875,0.9554
LH_LimbicB_OFC_2,0.9226,0.0456,0.8705,0.9554
RH_VisCent_ExStr_3,0.9226,0.0304,0.8884,0.9464
RH_ContB_PFCld_2,0.9226,0.0415,0.875,0.9509
pCAU-rh,0.9211,0.0364,0.8795,0.9464
RH_SomMotB_Aud_2,0.9211,0.0458,0.8705,0.9598
RH_SalVentAttnA_FrMed_2,0.9211,0.0589,0.8571,0.9732
RH_SalVentAttnB_PFClv_1,0.9211,0.0372,0.8795,0.9509
LH_ContA_IPS_3,0.9211,0.0405,0.875,0.9509
LH_VisCent_ExStr_2,0.9196,0.0313,0.8839,0.942
LH_SalVentAttnA_FrOper_2,0.9182,0.0498,0.8616,0.9554
LH_DefaultB_PFCv_1,0.9182,0.0405,0.875,0.9554
aHIP-rh,0.9182,0.0262,0.8884,0.9375
pPUT-lh,0.9182,0.0361,0.8795,0.9509
RH_DefaultB_Temp_1,0.9167,0.0482,0.8616,0.9509
pCAU-lh,0.9167,0.0385,0.875,0.9509
RH_DefaultC_IPL_1,0.9152,0.0389,0.8705,0.942
pPUT-rh,0.9152,0.0381,0.875,0.9509
LH_ContA_PFCd_1,0.9152,0.0453,0.8661,0.9554
RH_DefaultB_PFCd_1,0.9137,0.0538,0.8571,0.9643
RH_SomMotB_S2_1,0.9137,0.0374,0.8705,0.9375
LH_SalVentAttnB_PFCl_1,0.9137,0.0338,0.875,0.9375
RH_ContB_PFClv_1,0.9137,0.0335,0.875,0.933
LH_ContB_Temp_1,0.9122,0.0297,0.8795,0.9375
LH_SomMotB_Aud_3,0.9122,0.0515,0.8527,0.942
RH_SalVentAttnB_IPL_1,0.9107,0.0312,0.8795,0.942
RH_ContB_PFClv_2,0.9107,0.0497,0.8571,0.9554
LH_SalVentAttnA_FrOper_1,0.9107,0.0543,0.8482,0.9464
RH_ContA_PFCl_2,0.9092,0.0304,0.875,0.933
LH_ContB_PFClv_1,0.9092,0.0477,0.8571,0.9509
RH_SomMotA_5,0.9077,0.0477,0.8527,0.9375
RH_DorsAttnB_PostC_2,0.9048,0.0465,0.8527,0.942
LH_SalVentAttnB_IPL_1,0.9048,0.0627,0.8393,0.9643
THA-VA-lh,0.9048,0.0456,0.8527,0.9375
RH_ContA_Cingm_1,0.9048,0.0492,0.8482,0.9375
LH_DorsAttnA_SPL_3,0.9033,0.0447,0.8527,0.9375
LH_ContA_Cingm_1,0.9018,0.0431,0.8527,0.933
RH_ContA_PFCd_1,0.9003,0.0638,0.8304,0.9554
RH_SalVentAttnA_Ins_2,0.9003,0.0229,0.875,0.9196
RH_TempPar_1,0.8988,0.0284,0.8661,0.9152
RH_DefaultA_IPL_1,0.8958,0.049,0.8393,0.9241
RH_LimbicB_OFC_1,0.8958,0.0538,0.8393,0.9464
RH_ContB_PFCld_1,0.8958,0.038,0.8527,0.9241
RH_DefaultA_PFCd_1,0.8943,0.0424,0.8527,0.9375
LH_SomMotB_S2_1,0.8929,0.0365,0.8527,0.9241
RH_DorsAttnB_FEF_1,0.8929,0.0549,0.8304,0.933
LH_ContA_PFCl_2,0.8914,0.0347,0.8527,0.9196
RH_LimbicB_OFC_2,0.8914,0.0529,0.8304,0.9241
RH_ContB_Temp_2,0.8914,0.0415,0.8438,0.9196
LH_SalVentAttnA_Ins_1,0.8899,0.0576,0.8259,0.9375
RH_TempPar_3,0.8899,0.0225,0.8661,0.9107
RH_LimbicA_TempPole_4,0.8884,0.0431,0.8393,0.9196
RH_TempPar_4,0.8869,0.0533,0.8259,0.9241
LH_DorsAttnB_FEF_1,0.8839,0.0526,0.8259,0.9286
THA-DA-rh,0.8824,0.0361,0.8438,0.9152
aHIP-lh,0.881,0.0372,0.8393,0.9107
RH_LimbicB_OFC_4,0.8795,0.0503,0.8214,0.9107
THA-DA-lh,0.878,0.0452,0.8259,0.9062
LH_ContB_PFClv_2,0.8765,0.0415,0.8304,0.9107
LH_DorsAttnA_ParOcc_1,0.8765,0.0254,0.8482,0.8973
LH_TempPar_1,0.872,0.04,0.8259,0.8973
RH_TempPar_2,0.872,0.0361,0.8304,0.8929
RH_SalVentAttnB_Ins_1,0.8631,0.0663,0.7902,0.9196
NAc-shell-lh,0.8616,0.0354,0.8214,0.8884
LH_ContA_PFCl_3,0.8616,0.0614,0.7946,0.9152
NAc-core-rh,0.8616,0.0272,0.8304,0.8795
RH_DorsAttnA_ParOcc_1,0.8601,0.0456,0.808,0.8929
NAc-core-lh,0.8586,0.044,0.808,0.8884
LH_LimbicA_TempPole_1,0.8571,0.0349,0.817,0.8795
LH_ContA_Temp_1,0.8512,0.0262,0.8214,0.8705
LH_DefaultB_Temp_2,0.8512,0.0374,0.808,0.875
LH_DefaultB_IPL_1,0.8467,0.0452,0.7946,0.875
mAMY-rh,0.8348,0.0279,0.8036,0.8571
RH_LimbicA_TempPole_1,0.8348,0.0389,0.7902,0.8616
RH_SalVentAttnA_ParMed_1,0.8289,0.0529,0.7679,0.8616
LH_TempPar_2,0.8229,0.0329,0.7857,0.8482
LH_DefaultB_PFCv_2,0.8214,0.0702,0.7411,0.8705
mAMY-lh,0.8214,0.0584,0.7545,0.8616
THA-VP-rh,0.8199,0.038,0.7768,0.8482
LH_VisPeri_ExStrInf_3,0.8185,0.029,0.7902,0.8482
RH_SalVentAttnA_PrC_1,0.817,0.0272,0.7857,0.8348
pHIP-rh,0.811,0.0574,0.7455,0.8527
RH_LimbicA_TempPole_2,0.7991,0.0549,0.7366,0.8393
RH_SalVentAttnA_Ins_1,0.7932,0.054,0.7321,0.8348
LH_LimbicB_OFC_1,0.7902,0.0349,0.75,0.8125
pHIP-lh,0.7872,0.022,0.7723,0.8125
LH_LimbicA_TempPole_2,0.7842,0.0338,0.7455,0.808
NAc-shell-rh,0.7842,0.0211,0.7679,0.808
LH_LimbicA_TempPole_3,0.7798,0.0422,0.7321,0.8125
THA-VP-lh,0.7768,0.0619,0.7054,0.8125
THA-DP-rh,0.747,0.0358,0.7098,0.7812
lAMY-lh,0.744,0.029,0.7143,0.7723
lAMY-rh,0.7351,0.0364,0.7098,0.7768
RH_LimbicA_TempPole_3,0.7336,0.0492,0.7009,0.7902
THA-DP-lh,0.7202,0.0287,0.6875,0.7411
LH_LimbicA_TempPole_4,0.6458,0.0469,0.5982,0.692
RH_DefaultA_PFCm_2,0.6101,0.0521,0.5536,0.6562
pGP-lh,0.4896,0.0498,0.433,0.5268
aGP-rh,0.4613,0.0726,0.3795,0.5179
pGP-rh,0.4613,0.0068,0.4554,0.4688
aGP-lh,0.4494,0.0515,0.4196,0.5089
