region_idx,region_name,network,hemisphere,accuracy,n_samples,Analysis,Strategy,Phase
54,LH_LimbicA_TempPole_3,LimbicA,left,0.8125,224,Full Connectivity,MULTINOMIAL,CV
55,LH_LimbicA_TempPole_4,LimbicA,left,0.6919642857142857,224,Full Connectivity,MULTINOMIAL,CV
56,LH_ContA_Temp_1,ContA,left,0.8705357142857143,224,Full Connectivity,MULTINOMIAL,CV
57,LH_ContA_IPS_1,ContA,left,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
58,LH_ContA_IPS_2,ContA,left,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
59,LH_ContA_IPS_3,ContA,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
60,LH_ContA_PFCd_1,ContA,left,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
61,LH_ContA_PFClv_1,ContA,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
62,LH_ContA_PFCl_1,ContA,left,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
63,LH_ContA_PFCl_2,ContA,left,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
64,LH_ContA_PFCl_3,ContA,left,0.875,224,Full Connectivity,MULTINOMIAL,CV
65,LH_ContA_Cingm_1,ContA,left,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
66,LH_ContB_Temp_1,ContB,left,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
67,LH_ContB_IPL_1,ContB,left,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
68,LH_ContB_PFCl_1,ContB,left,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
69,LH_ContB_PFClv_1,ContB,left,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
70,LH_ContB_PFClv_2,ContB,left,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
71,LH_ContC_pCun_1,ContC,left,1.0,224,Full Connectivity,MULTINOMIAL,CV
72,LH_ContC_pCun_2,ContC,left,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
73,LH_ContC_Cingp_1,ContC,left,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
74,LH_DefaultA_IPL_1,DefaultA,left,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
75,LH_DefaultA_PFCd_1,DefaultA,left,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.96875,224,Full Connectivity,MULTINOMIAL,CV
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
80,LH_DefaultA_PFCm_2,DefaultA,left,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
81,LH_DefaultA_PFCm_3,DefaultA,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
82,LH_DefaultB_Temp_1,DefaultB,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
