region_idx,region_name,network,hemisphere,accuracy_cv,accuracy_task,accuracy_drop
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.9732142857142856,0.925,0.04821428571428554
193,RH_DefaultC_IPL_1,DefaultC,right,0.9330357142857144,0.885,0.048035714285714404
124,RH_SomMotB_Aud_2,SomMotB,right,0.9330357142857144,0.885,0.048035714285714404
158,RH_LimbicB_OFC_3,LimbicB,right,0.9776785714285714,0.93,0.04767857142857135
50,LH_LimbicB_OFC_1,LimbicB,left,0.8125,0.765,0.04749999999999999
0,LH_VisCent_ExStr_2,VisCent,left,0.9419642857142856,0.895,0.04696428571428557
87,LH_DefaultB_PFCd_1,DefaultB,left,0.9866071428571428,0.94,0.04660714285714285
180,RH_ContC_pCun_1,ContC,right,0.9910714285714286,0.945,0.04607142857142865
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.9151785714285714,0.87,0.0451785714285714
185,RH_DefaultA_pCunPCC_1,DefaultA,right,1.0,0.955,0.04500000000000004
128,RH_SomMotB_S2_4,SomMotB,right,0.9642857142857144,0.92,0.04428571428571437
25,LH_SomMotB_S2_3,SomMotB,left,0.96875,0.925,0.043749999999999956
207,THA-DA-rh,Thalamus_DA,right,0.8883928571428571,0.845,0.04339285714285712
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.9821428571428572,0.94,0.04214285714285726
55,LH_LimbicA_TempPole_4,LimbicA,left,0.6919642857142857,0.65,0.041964285714285676
230,aCAU-lh,Caudate_ant,left,0.9508928571428572,0.91,0.040892857142857175
184,RH_DefaultA_PFCd_1,DefaultA,right,0.8928571428571429,0.855,0.03785714285714292
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9375,0.9,0.03749999999999998
219,mAMY-lh,Amygdala_med,left,0.8616071428571429,0.825,0.03660714285714295
73,LH_ContC_Cingp_1,ContC,left,0.9866071428571428,0.95,0.03660714285714284
170,RH_ContB_Temp_1,ContB,right,0.9508928571428572,0.915,0.03589285714285717
162,RH_LimbicA_TempPole_3,LimbicA,right,0.7901785714285714,0.755,0.03517857142857139
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.9196428571428572,0.885,0.0346428571428572
209,NAc-core-rh,Accumbens_core,right,0.8794642857142857,0.845,0.034464285714285725
122,RH_SomMotA_11,SomMotA,right,0.96875,0.935,0.03374999999999995
54,LH_LimbicA_TempPole_3,LimbicA,left,0.8125,0.78,0.03249999999999997
199,RH_TempPar_4,TempPar,right,0.9107142857142856,0.88,0.030714285714285583
179,RH_ContB_PFCld_3,ContB,right,0.9598214285714286,0.93,0.029821428571428554
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.9598214285714286,0.93,0.029821428571428554
231,pCAU-lh,Caudate_post,left,0.9241071428571428,0.895,0.029107142857142776
