region_idx,region_name,network,hemisphere,accuracy
112,RH_SomMotA_1,SomMotA,right,0.9508928571428572
228,aPUT-lh,Putamen_ant,left,0.9508928571428572
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.9508928571428572
80,LH_DefaultA_PFCm_2,DefaultA,left,0.9508928571428572
97,LH_DefaultC_PHC_1,DefaultC,left,0.9508928571428572
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.9508928571428572
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.9508928571428572
27,LH_SomMotB_Cent_2,SomMotB,left,0.9508928571428572
189,RH_DefaultB_Temp_1,DefaultB,right,0.9508928571428572
126,RH_SomMotB_S2_2,SomMotB,right,0.9508928571428572
173,RH_ContB_IPL_2,ContB,right,0.9508928571428572
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.9508928571428572
13,LH_SomMotA_2,SomMotA,left,0.9464285714285714
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.9464285714285714
195,RH_DefaultC_PHC_1,DefaultC,right,0.9464285714285714
123,RH_SomMotB_Aud_1,SomMotB,right,0.9464285714285714
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.9464285714285714
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.9464285714285714
67,LH_ContB_IPL_1,ContB,left,0.9464285714285714
58,LH_ContA_IPS_2,ContA,left,0.9464285714285714
89,LH_DefaultB_PFCd_3,DefaultB,left,0.9464285714285714
24,LH_SomMotB_Aud_3,SomMotB,left,0.9419642857142856
0,LH_VisCent_ExStr_2,VisCent,left,0.9419642857142856
51,LH_LimbicB_OFC_2,LimbicB,left,0.9419642857142856
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.9419642857142856
175,RH_ContB_PFCld_2,ContB,right,0.9419642857142856
119,RH_SomMotA_8,SomMotA,right,0.9419642857142856
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.9419642857142856
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.9419642857142856
59,LH_ContA_IPS_3,ContA,left,0.9375
61,LH_ContA_PFClv_1,ContA,left,0.9375
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.9375
20,LH_SomMotB_Aud_1,SomMotB,left,0.9375
12,LH_SomMotA_1,SomMotA,left,0.9375
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.9375
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9375
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.9375
167,RH_ContA_PFCl_1,ContA,right,0.9375
215,pCAU-rh,Caudate_post,right,0.9375
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.9375
82,LH_DefaultB_Temp_1,DefaultB,left,0.9375
169,RH_ContA_Cingm_1,ContA,right,0.9375
176,RH_ContB_PFClv_1,ContB,right,0.9330357142857144
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.9330357142857144
168,RH_ContA_PFCl_2,ContA,right,0.9330357142857144
124,RH_SomMotB_Aud_2,SomMotB,right,0.9330357142857144
125,RH_SomMotB_S2_1,SomMotB,right,0.9330357142857144
116,RH_SomMotA_5,SomMotA,right,0.9330357142857144
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.9330357142857144
84,LH_DefaultB_Temp_3,DefaultB,left,0.9330357142857144
103,RH_VisCent_ExStr_3,VisCent,right,0.9330357142857144
193,RH_DefaultC_IPL_1,DefaultC,right,0.9330357142857144
200,aHIP-rh,Hippocampus_ant,right,0.9285714285714286
101,RH_VisCent_ExStr_2,VisCent,right,0.9285714285714286
114,RH_SomMotA_3,SomMotA,right,0.9285714285714286
206,THA-VA-rh,Thalamus_VA,right,0.9285714285714286
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.9285714285714286
91,LH_DefaultB_PFCv_1,DefaultB,left,0.9241071428571428
22,LH_SomMotB_S2_1,SomMotB,left,0.9241071428571428
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.9241071428571428
222,THA-VA-lh,Thalamus_VA,left,0.9241071428571428
229,pPUT-lh,Putamen_post,left,0.9241071428571428
183,RH_DefaultA_IPL_1,DefaultA,right,0.9241071428571428
231,pCAU-lh,Caudate_post,left,0.9241071428571428
60,LH_ContA_PFCd_1,ContA,left,0.9241071428571428
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.9196428571428572
171,RH_ContB_Temp_2,ContB,right,0.9196428571428572
66,LH_ContB_Temp_1,ContB,left,0.9196428571428572
65,LH_ContA_Cingm_1,ContA,left,0.9196428571428572
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.9196428571428572
63,LH_ContA_PFCl_2,ContA,left,0.9196428571428572
69,LH_ContB_PFClv_1,ContB,left,0.9196428571428572
177,RH_ContB_PFClv_2,ContB,right,0.9196428571428572
157,RH_LimbicB_OFC_2,LimbicB,right,0.9196428571428572
191,RH_DefaultB_PFCd_1,DefaultB,right,0.9196428571428572
213,pPUT-rh,Putamen_post,right,0.9196428571428572
196,RH_TempPar_1,TempPar,right,0.9151785714285714
166,RH_ContA_PFCd_1,ContA,right,0.9151785714285714
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.9151785714285714
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.9107142857142856
70,LH_ContB_PFClv_2,ContB,left,0.9107142857142856
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.9107142857142856
174,RH_ContB_PFCld_1,ContB,right,0.9107142857142856
199,RH_TempPar_4,TempPar,right,0.9107142857142856
159,RH_LimbicB_OFC_4,LimbicB,right,0.9107142857142856
216,aHIP-lh,Hippocampus_ant,left,0.9107142857142856
163,RH_LimbicA_TempPole_4,LimbicA,right,0.90625
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.90625
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.90625
223,THA-DA-lh,Thalamus_DA,left,0.9017857142857144
156,RH_LimbicB_OFC_1,LimbicB,right,0.9017857142857144
98,LH_TempPar_1,TempPar,left,0.8973214285714286
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.8973214285714286
184,RH_DefaultA_PFCd_1,DefaultA,right,0.8928571428571429
198,RH_TempPar_3,TempPar,right,0.8928571428571429
197,RH_TempPar_2,TempPar,right,0.8928571428571429
207,THA-DA-rh,Thalamus_DA,right,0.8883928571428571
225,NAc-core-lh,Accumbens_core,left,0.8883928571428571
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.8839285714285714
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.8794642857142857
52,LH_LimbicA_TempPole_1,LimbicA,left,0.8794642857142857
