region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
THA-VA-lh,Subcortical,0.8214285714285714,0.1785714285714286,0.49,0.51,0.3314285714285714,184.56642800318212,left,1
LH_SomMotB_Cent_1,SomMotB,0.8928571428571429,0.1071428571428571,0.63,0.37,0.2628571428571429,243.06472919418775,left,2
aPUT-lh,Subcortical,0.9553571428571428,0.044642857142857206,0.725,0.275,0.23035714285714282,504.6948356807504,left,3
LH_SomMotB_Cent_2,SomMotB,0.9464285714285714,0.0535714285714286,0.72,0.28,0.22642857142857142,414.9214659685861,left,4
pCAU-lh,Subcortical,0.875,0.125,0.655,0.345,0.21999999999999997,174.60317460317458,left,5
pPUT-lh,Subcortical,0.8705357142857143,0.1294642857142857,0.665,0.33499999999999996,0.20553571428571427,157.54174650971805,left,6
pGP-lh,Subcortical,0.6294642857142857,0.3705357142857143,0.43,0.5700000000000001,0.19946428571428576,53.68643660482554,left,7
aGP-lh,Subcortical,0.5580357142857143,0.4419642857142857,0.36,0.64,0.19803571428571431,44.70692574377168,left,8
LH_ContA_PFCl_2,ContA,0.9375,0.0625,0.74,0.26,0.1975,311.02362204724415,left,9
LH_LimbicA_TempPole_4,LimbicA,0.6875,0.3125,0.49,0.51,0.1975,62.99840510366826,left,10
LH_SomMotB_Aud_3,SomMotB,0.9553571428571428,0.044642857142857206,0.76,0.24,0.19535714285714278,428.01251956181454,left,11
LH_ContA_PFClv_1,ContA,0.9419642857142856,0.05803571428571441,0.75,0.25,0.1919642857142856,325.166364186327,left,12
LH_DefaultB_Temp_3,DefaultB,0.9419642857142856,0.05803571428571441,0.755,0.245,0.18696428571428558,316.6969147005436,left,13
LH_TempPar_1,TempPar,0.9151785714285714,0.0848214285714286,0.74,0.26,0.1751785714285714,204.11985018726583,left,14
NAc-core-lh,Subcortical,0.9196428571428572,0.0803571428571428,0.745,0.255,0.1746428571428572,214.66198419666398,left,15
LH_SalVentAttnB_Ins_1,SalVentAttnB,0.9330357142857144,0.06696428571428559,0.76,0.24,0.1730357142857144,254.5980031529171,left,16
NAc-shell-lh,Subcortical,0.8660714285714286,0.1339285714285714,0.695,0.30500000000000005,0.17107142857142865,126.78665960825843,left,17
LH_ContA_Cingm_1,ContA,0.75,0.25,0.58,0.42000000000000004,0.17000000000000004,67.72908366533866,left,18
LH_ContC_Cingp_1,ContC,0.96875,0.03125,0.8,0.19999999999999996,0.16874999999999996,523.2558139534882,left,19
LH_DefaultB_PFCv_2,DefaultB,0.8169642857142857,0.1830357142857143,0.66,0.33999999999999997,0.15696428571428567,85.29012225887828,left,20
LH_SomMotB_S2_1,SomMotB,0.9464285714285714,0.0535714285714286,0.79,0.20999999999999996,0.15642857142857136,286.6492146596856,left,21
LH_DefaultA_PFCd_1,DefaultA,0.9508928571428572,0.049107142857142794,0.795,0.20499999999999996,0.15589285714285717,311.11903064861053,left,22
LH_SalVentAttnA_FrOper_2,SalVentAttnA,0.9598214285714286,0.0401785714285714,0.805,0.19499999999999995,0.15482142857142855,375.97571552471834,left,23
THA-DA-lh,Subcortical,0.7678571428571429,0.2321428571428571,0.615,0.385,0.1528571428571429,65.5637254901961,left,24
LH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9553571428571428,0.044642857142857206,0.805,0.19499999999999995,0.15035714285714274,329.42097026603994,left,25
LH_DefaultA_pCunPCC_3,DefaultA,0.9821428571428572,0.017857142857142794,0.835,0.16500000000000004,0.14714285714285724,780.3030303030334,left,26
LH_SomMotB_Aud_1,SomMotB,0.9375,0.0625,0.8,0.19999999999999996,0.13749999999999996,216.53543307086608,left,27
LH_SalVentAttnA_Ins_1,SalVentAttnA,0.9419642857142856,0.05803571428571441,0.805,0.19499999999999995,0.13696428571428554,232.00241984270943,left,28
aHIP-lh,Subcortical,0.9196428571428572,0.0803571428571428,0.785,0.21499999999999997,0.13464285714285718,165.49604916593518,left,29
LH_VisCent_ExStr_2,VisCent,0.9107142857142856,0.08928571428571441,0.78,0.21999999999999997,0.13071428571428556,144.77848101265783,left,30
pHIP-lh,Subcortical,0.7366071428571429,0.2633928571428571,0.61,0.39,0.12660714285714292,47.88599216533841,left,31
LH_DefaultA_pCunPCC_2,DefaultA,0.9732142857142856,0.026785714285714413,0.85,0.15000000000000002,0.12321428571428561,443.44473007711844,left,32
