Metric,Multinomial,OvR,OvR - Multinomial
Accuracy,0.9135621921182266,0.9208358990147784,0.007273706896551713
Balanced Accuracy,0.9135621921182265,0.9208358990147782,0.007273706896551713
Precision,0.9168810961801005,0.9218675277062208,0.004986431526120327
Recall,0.9135621921182266,0.9208358990147784,0.007273706896551713
F1 Score,0.914946866110722,0.9209915046058741,0.006044638495152133
