region_id,region_name,network,accuracy_multinomial,accuracy_ovr,ovr_advantage
10,RH_VisPeri_ExStrSup_2,VisPeri,0.9910714285714286,1.0,0.008928571428571397
6,RH_VisPeri_ExStrInf_1,VisPeri,0.9910714285714286,0.9955357142857144,0.0044642857142858094
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9910714285714286,1.0,0.008928571428571397
0,RH_VisCent_ExStr_1,VisCent,0.9821428571428572,0.9821428571428572,0.0
9,RH_VisPeri_ExStrSup_1,VisPeri,0.9821428571428572,0.9866071428571428,0.004464285714285587
11,RH_VisPeri_ExStrSup_3,VisPeri,0.9821428571428572,0.9866071428571428,0.004464285714285587
5,RH_VisCent_ExStr_5,VisCent,0.9821428571428572,0.9910714285714286,0.008928571428571397
8,RH_VisPeri_StriCal_1,VisPeri,0.9821428571428572,0.9910714285714286,0.008928571428571397
94,RH_DefaultC_Rsp_1,DefaultC,0.9821428571428572,0.9866071428571428,0.004464285714285587
35,RH_DorsAttnA_SPL_4,DorsAttnA,0.9776785714285714,0.9866071428571428,0.008928571428571397
65,RH_ContA_IPS_2,ContA,0.9776785714285714,0.9821428571428572,0.0044642857142858094
80,RH_ContC_pCun_1,ContC,0.9776785714285714,0.9955357142857144,0.017857142857143016
28,RH_SomMotB_S2_4,SomMotB,0.9732142857142856,0.9910714285714286,0.017857142857143016
13,RH_SomMotA_2,SomMotA,0.9732142857142856,0.9910714285714286,0.017857142857143016
17,RH_SomMotA_6,SomMotA,0.9732142857142856,0.9821428571428572,0.008928571428571619
4,RH_VisCent_ExStr_4,VisCent,0.9732142857142856,0.9821428571428572,0.008928571428571619
85,RH_DefaultA_pCunPCC_1,DefaultA,0.9732142857142856,0.9910714285714286,0.017857142857143016
7,RH_VisPeri_ExStrInf_2,VisPeri,0.96875,0.9821428571428572,0.013392857142857206
86,RH_DefaultA_PFCm_1,DefaultA,0.96875,0.9776785714285714,0.008928571428571397
58,RH_LimbicB_OFC_3,LimbicB,0.96875,0.96875,0.0
54,RH_SalVentAttnB_Ins_2,SalVentAttnB,0.96875,0.9821428571428572,0.013392857142857206
73,RH_ContB_IPL_2,ContB,0.9642857142857144,0.9776785714285714,0.013392857142856984
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,0.9642857142857144,0.9821428571428572,0.017857142857142794
39,RH_DorsAttnB_PostC_4,DorsAttnB,0.9642857142857144,0.9821428571428572,0.017857142857142794
23,RH_SomMotB_Aud_1,SomMotB,0.9642857142857144,0.9866071428571428,0.02232142857142838
36,RH_DorsAttnB_PostC_1,DorsAttnB,0.9642857142857144,0.9598214285714286,-0.0044642857142858094
92,RH_DefaultB_PFCv_1,DefaultB,0.9642857142857144,0.9732142857142856,0.008928571428571175
88,RH_DefaultA_PFCm_3,DefaultA,0.9642857142857144,0.9866071428571428,0.02232142857142838
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9642857142857144,0.9821428571428572,0.017857142857142794
27,RH_SomMotB_S2_3,SomMotB,0.9598214285714286,0.9776785714285714,0.017857142857142794
32,RH_DorsAttnA_SPL_1,DorsAttnA,0.9598214285714286,0.9598214285714286,0.0
1,RH_VisCent_ExStr_2,VisCent,0.9598214285714286,0.9732142857142856,0.013392857142856984
70,RH_ContB_Temp_1,ContB,0.9598214285714286,0.9776785714285714,0.017857142857142794
89,RH_DefaultB_Temp_1,DefaultB,0.9598214285714286,0.96875,0.008928571428571397
34,RH_DorsAttnA_SPL_3,DorsAttnA,0.9598214285714286,0.9776785714285714,0.017857142857142794
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9553571428571428,0.9776785714285714,0.022321428571428603
24,RH_SomMotB_Aud_2,SomMotB,0.9553571428571428,0.9732142857142856,0.017857142857142794
15,RH_SomMotA_4,SomMotA,0.9553571428571428,0.9642857142857144,0.008928571428571619
12,RH_SomMotA_1,SomMotA,0.9553571428571428,0.9776785714285714,0.022321428571428603
112,aPUT-rh,Subcortical,0.9553571428571428,0.9821428571428572,0.026785714285714413
33,RH_DorsAttnA_SPL_2,DorsAttnA,0.9553571428571428,0.9732142857142856,0.017857142857142794
18,RH_SomMotA_7,SomMotA,0.9553571428571428,0.9553571428571428,0.0
91,RH_DefaultB_PFCd_1,DefaultB,0.9508928571428572,0.9464285714285714,-0.0044642857142858094
72,RH_ContB_IPL_1,ContB,0.9508928571428572,0.9642857142857144,0.013392857142857206
20,RH_SomMotA_9,SomMotA,0.9508928571428572,0.9732142857142856,0.02232142857142838
21,RH_SomMotA_10,SomMotA,0.9508928571428572,0.9821428571428572,0.03125
64,RH_ContA_IPS_1,ContA,0.9464285714285714,0.9732142857142856,0.02678571428571419
25,RH_SomMotB_S2_1,SomMotB,0.9464285714285714,0.9642857142857144,0.017857142857143016
38,RH_DorsAttnB_PostC_3,DorsAttnB,0.9464285714285714,0.96875,0.022321428571428603
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,0.9464285714285714,0.9642857142857144,0.017857142857143016
49,RH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9464285714285714,0.9464285714285714,0.0
26,RH_SomMotB_S2_2,SomMotB,0.9464285714285714,0.9553571428571428,0.008928571428571397
67,RH_ContA_PFCl_1,ContA,0.9464285714285714,0.9732142857142856,0.02678571428571419
75,RH_ContB_PFCld_2,ContB,0.9464285714285714,0.9553571428571428,0.008928571428571397
95,RH_DefaultC_PHC_1,DefaultC,0.9464285714285714,0.9508928571428572,0.0044642857142858094
81,RH_ContC_pCun_2,ContC,0.9419642857142856,0.9553571428571428,0.013392857142857206
50,RH_SalVentAttnB_IPL_1,SalVentAttnB,0.9419642857142856,0.9464285714285714,0.0044642857142858094
22,RH_SomMotA_11,SomMotA,0.9419642857142856,0.9464285714285714,0.0044642857142858094
96,RH_TempPar_1,TempPar,0.9375,0.9419642857142856,0.004464285714285587
90,RH_DefaultB_AntTemp_1,DefaultB,0.9375,0.9553571428571428,0.017857142857142794
19,RH_SomMotA_8,SomMotA,0.9375,0.9419642857142856,0.004464285714285587
14,RH_SomMotA_3,SomMotA,0.9375,0.9598214285714286,0.022321428571428603
97,RH_TempPar_2,TempPar,0.9375,0.9241071428571428,-0.013392857142857206
37,RH_DorsAttnB_PostC_2,DorsAttnB,0.9375,0.9375,0.0
76,RH_ContB_PFClv_1,ContB,0.9330357142857144,0.9375,0.004464285714285587
82,RH_ContC_Cingp_1,ContC,0.9330357142857144,0.9508928571428572,0.017857142857142794
2,RH_VisCent_Striate_1,VisCent,0.9285714285714286,0.9508928571428572,0.022321428571428603
55,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.9285714285714286,0.9598214285714286,0.03125
78,RH_ContB_PFCmp_1,ContB,0.9285714285714286,0.9642857142857144,0.03571428571428581
99,RH_TempPar_4,TempPar,0.9285714285714286,0.9285714285714286,0.0
79,RH_ContB_PFCld_3,ContB,0.9285714285714286,0.9553571428571428,0.02678571428571419
29,RH_SomMotB_Cent_1,SomMotB,0.9241071428571428,0.9508928571428572,0.026785714285714413
