Metric,Multinomial,OvR,OvR - Multinomial
Accuracy,0.9181804187192119,0.9226447044334976,0.004464285714285698
Balanced Accuracy,0.9181804187192119,0.9226447044334976,0.004464285714285698
Precision,0.9200627954140995,0.9233737531185097,0.0033109577044101446
Recall,0.9181804187192119,0.9226447044334976,0.004464285714285698
F1 Score,0.9189565749505898,0.9227752976528023,0.003818722702212507
