region_id,region_name,network,accuracy_multinomial,accuracy_ovr,ovr_advantage
23,LH_SomMotB_S2_2,SomMotB,0.9955357142857144,0.9955357142857144,0.0
11,LH_VisPeri_ExStrSup_2,VisPeri,0.9910714285714286,0.9955357142857144,0.0044642857142858094
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9910714285714286,0.9910714285714286,0.0
5,LH_VisCent_ExStr_5,VisCent,0.9910714285714286,0.9910714285714286,0.0
1,LH_VisCent_ExStr_1,VisCent,0.9866071428571428,0.9955357142857144,0.008928571428571619
4,LH_VisCent_ExStr_4,VisCent,0.9866071428571428,0.9821428571428572,-0.004464285714285587
87,LH_DefaultB_PFCd_1,DefaultB,0.9866071428571428,0.9910714285714286,0.0044642857142858094
9,LH_VisPeri_StriCal_1,VisPeri,0.9821428571428572,0.9866071428571428,0.004464285714285587
76,LH_DefaultA_pCunPCC_1,DefaultA,0.9821428571428572,0.9910714285714286,0.008928571428571397
78,LH_DefaultA_pCunPCC_3,DefaultA,0.9821428571428572,0.9866071428571428,0.004464285714285587
34,LH_DorsAttnB_PostC_1,DorsAttnB,0.9821428571428572,0.9732142857142856,-0.008928571428571619
94,LH_DefaultB_PFCv_4,DefaultB,0.9776785714285714,0.9866071428571428,0.008928571428571397
96,LH_DefaultC_Rsp_1,DefaultC,0.9776785714285714,1.0,0.022321428571428603
71,LH_ContC_pCun_1,ContC,0.9732142857142856,0.9866071428571428,0.013392857142857206
88,LH_DefaultB_PFCd_2,DefaultB,0.9732142857142856,0.9821428571428572,0.008928571428571619
77,LH_DefaultA_pCunPCC_2,DefaultA,0.9732142857142856,0.9866071428571428,0.013392857142857206
16,LH_SomMotA_5,SomMotA,0.9732142857142856,0.9776785714285714,0.0044642857142858094
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,0.96875,0.9821428571428572,0.013392857142857206
2,LH_VisCent_Striate_1,VisCent,0.96875,0.9910714285714286,0.022321428571428603
35,LH_DorsAttnB_PostC_2,DorsAttnB,0.96875,0.9776785714285714,0.008928571428571397
81,LH_DefaultA_PFCm_3,DefaultA,0.96875,0.9910714285714286,0.022321428571428603
73,LH_ContC_Cingp_1,ContC,0.96875,0.9732142857142856,0.004464285714285587
74,LH_DefaultA_IPL_1,DefaultA,0.96875,0.9955357142857144,0.026785714285714413
62,LH_ContA_PFCl_1,ContA,0.96875,0.9419642857142856,-0.026785714285714413
21,LH_SomMotB_Aud_2,SomMotB,0.9642857142857144,0.9732142857142856,0.008928571428571175
25,LH_SomMotB_S2_3,SomMotB,0.9642857142857144,0.9776785714285714,0.013392857142856984
31,LH_DorsAttnA_SPL_1,DorsAttnA,0.9642857142857144,0.9598214285714286,-0.0044642857142858094
89,LH_DefaultB_PFCd_3,DefaultB,0.9642857142857144,0.9642857142857144,0.0
6,LH_VisPeri_ExStrInf_1,VisPeri,0.9642857142857144,0.96875,0.004464285714285587
